Combo_full,GATES_lift,GATES_bot_mean,GATES_top_mean
seller_N_total_value_high,11.8303990995943,-5.47878243872927,6.35161666086505
seller_N_1_total_value_high,31.5579632321828,-43.8136450480256,-12.2556818158428
buyer_N_total_value_high,19.440839832092,3.07785491998817,22.5186947520801
buyer_N_1_total_value_high,30.5617159586899,-45.9776429526381,-15.4159269939482
buyer_N_gaspaid_high,12.4846448128211,-18.9925157325417,-6.50787091972061
buyer_N_1_gaspaid_high,50.7304862546373,15.3262770280902,66.0567632827275
seller_N_gaspaid_high,19.3927015224172,-14.7202343540288,4.67246716838835
seller_N_1_gaspaid_high,75.4300014119972,19.77198195118,95.2019833631772
buyer_N_gaslimit_cost_high,32.0760714143785,12.5078542999668,44.5839257143453
buyer_N_1_gaslimit_cost_high,22.6928621760866,3.13584598214636,25.8287081582329
seller_N_gaslimit_cost_high,14.3464191756152,3.33343244277814,17.6798516183933
seller_N_1_gaslimit_cost_high,12.1530495510477,-3.5997177222455,8.55333182880216
