Combo_full,GATES_lift,GATES_bot_mean,GATES_top_mean
seller_N_total_value_high,8.2354153133435,-16.9144067612212,-8.67899144787769
seller_N_1_total_value_high,23.6136643598508,-53.64524985038,-30.0315854905292
buyer_N_total_value_high,11.7994705986995,-0.840038618540581,10.9594319801589
buyer_N_1_total_value_high,27.6202607487328,-48.3524737712735,-20.7322130225406
buyer_N_gaspaid_high,9.04306471885413,-19.4171599819345,-10.3740952630804
buyer_N_1_gaspaid_high,36.5524006467246,28.5321410026656,65.0845416493902
seller_N_gaspaid_high,7.82179042281128,2.67432989880888,10.4961203216202
seller_N_1_gaspaid_high,48.7607198246697,57.8076843603756,106.568404185045
buyer_N_gaslimit_cost_high,30.9976299883373,23.6730814486876,54.6707114370249
buyer_N_1_gaslimit_cost_high,21.6788484132353,21.971154158876,43.6500025721113
seller_N_gaslimit_cost_high,18.4568042434721,34.7897889535175,53.2465931969896
seller_N_1_gaslimit_cost_high,13.3057271754814,0.261738978236379,13.5674661537178
