treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0
seller_N_total_value_high,`time_n_sale_str_2024-04`,binary,4206,,,4132,74,-14.1231802750317,-11.9946432203122,2.12853705471952
seller_N_total_value_high,`time_n_sale_str_2024-05`,binary,4206,,,4164,42,-14.1004049181109,-12.6309146600107,1.46949025810015
seller_N_total_value_high,`time_n_sale_str_2024-06`,binary,4206,,,4145,61,-14.1035415135166,-12.8754905115993,1.22805100191734
seller_N_total_value_high,`time_n_sale_str_2024-07`,binary,4206,,,4178,28,-14.104073377049,-11.3487830508349,2.75529032621408
seller_N_total_value_high,`time_n_sale_str_2024-08`,binary,4206,,,4156,50,-14.1142833364412,-11.7124589696917,2.40182436674948
seller_N_total_value_high,`time_n_sale_str_2024-09`,binary,4206,,,4179,27,-14.0993404548888,-11.979286435319,2.12005401956981
seller_N_total_value_high,`time_n_sale_str_2024-10`,binary,4206,,,4175,31,-14.0971496488583,-12.5478938951783,1.54925575367999
seller_N_total_value_high,`time_n_sale_str_2024-11`,binary,4206,,,4095,111,-14.1834438280855,-10.4809190876031,3.70252474048244
seller_N_total_value_high,`time_n_sale_str_2024-12`,binary,4206,,,4076,130,-14.1830269984528,-11.0351265310794,3.14790046737347
seller_N_total_value_high,`time_n_sale_str_2025-01`,binary,4206,,,4124,82,-14.1441190808987,-11.1492366476543,2.99488243324448
seller_N_total_value_high,`time_n_sale_str_2025-02`,binary,4206,,,4115,91,-14.1685459634538,-10.3408555507898,3.82769041266396
seller_N_total_value_high,`time_n_sale_str_2025-03`,binary,4206,,,4177,29,-14.1085401022789,-10.8004306039706,3.30810949830827
seller_N_total_value_high,`time_n-1_sale_str_2021-06`,binary,4206,,,3677,529,-13.9172604052536,-15.2567447724322,-1.33948436717863
seller_N_total_value_high,`time_n-1_sale_str_2021-07`,binary,4206,,,3970,236,-14.0538319844913,-14.6223369334895,-0.568504948998161
seller_N_total_value_high,`time_n-1_sale_str_2021-08`,binary,4206,,,3828,378,-13.9413700995836,-15.5476713056299,-1.60630120604626
seller_N_total_value_high,`time_n-1_sale_str_2021-09`,binary,4206,,,4126,80,-14.0495772695609,-15.9503585065727,-1.90078123701176
seller_N_total_value_high,`time_n-1_sale_str_2021-10`,binary,4206,,,4153,53,-14.0706406828449,-15.2681837524358,-1.19754306959086
seller_N_total_value_high,`time_n-1_sale_str_2021-11`,binary,4206,,,4108,98,-14.0571171250199,-15.2851769913512,-1.22805986633136
seller_N_total_value_high,`time_n-1_sale_str_2021-12`,binary,4206,,,4156,50,-14.0719694635417,-15.2295880850913,-1.15761862154952
seller_N_total_value_high,`time_n-1_sale_str_2022-01`,binary,4206,,,4084,122,-14.0505291749488,-15.2641257724845,-1.21359659753565
seller_N_total_value_high,`time_n-1_sale_str_2022-02`,binary,4206,,,4170,36,-14.0849034820863,-14.1815826231672,-0.0966791410808607
seller_N_total_value_high,`time_n-1_sale_str_2022-03`,binary,4206,,,4121,85,-14.0800339964113,-14.3619340649759,-0.281900068564537
seller_N_total_value_high,`time_n-1_sale_str_2022-04`,binary,4206,,,4142,64,-14.0962562936405,-13.4045457261728,0.691710567467711
seller_N_total_value_high,`time_n-1_sale_str_2022-05`,binary,4206,,,4141,65,-14.0984358924083,-13.2763302195583,0.822105672850023
seller_N_total_value_high,`time_n-1_sale_str_2022-06`,binary,4206,,,4161,45,-14.0951055529674,-13.2188953074798,0.876210245487643
seller_N_total_value_high,`time_n-1_sale_str_2022-07`,binary,4206,,,4175,31,-14.0895908728288,-13.5658903443119,0.523700528516971
seller_N_total_value_high,`time_n-1_sale_str_2022-08`,binary,4206,,,4180,26,-14.090718608971,-13.2838734321335,0.806845176837451
seller_N_total_value_high,`time_n-1_sale_str_2022-09`,binary,4206,,,4192,14,-14.0926123371462,-12.0252555297896,2.06735680735668
seller_N_total_value_high,`time_n-1_sale_str_2022-10`,binary,4206,,,4189,17,-14.0936387625769,-12.1371598999541,1.9564788626228
seller_N_total_value_high,`time_n-1_sale_str_2022-11`,binary,4206,,,4139,67,-14.0969457026167,-13.3929288299022,0.704016872714512
seller_N_total_value_high,`time_n-1_sale_str_2022-12`,binary,4206,,,4147,59,-14.1024992565783,-12.9071199610848,1.19537929549347
seller_N_total_value_high,`time_n-1_sale_str_2023-01`,binary,4206,,,4150,56,-14.0966042619976,-13.2799429900717,0.816661271925948
seller_N_total_value_high,`time_n-1_sale_str_2023-02`,binary,4206,,,4146,60,-14.0843858707462,-14.1786779103371,-0.0942920395908846
seller_N_total_value_high,`time_n-1_sale_str_2023-03`,binary,4206,,,4149,57,-14.081923652877,-14.3628641920617,-0.280940539184755
seller_N_total_value_high,`time_n-1_sale_str_2023-04`,binary,4206,,,4106,100,-14.0904984715159,-13.8899777068985,0.200520764617421
seller_N_total_value_high,`time_n-1_sale_str_2023-05`,binary,4206,,,4162,44,-14.0918678949936,-13.5052344493324,0.586633445661237
seller_N_total_value_high,`time_n-1_sale_str_2023-06`,binary,4206,,,4175,31,-14.0937879223202,-13.0006425499044,1.0931453724158
seller_N_total_value_high,`time_n-1_sale_str_2023-07`,binary,4206,,,4151,55,-14.0905438287174,-13.7224920314169,0.368051797300581
seller_N_total_value_high,`time_n-1_sale_str_2023-08`,binary,4206,,,4131,75,-14.1112065095359,-12.6825387178844,1.42866779165149
seller_N_total_value_high,`time_n-1_sale_str_2023-09`,binary,4206,,,4172,34,-14.092479746385,-13.2576174357567,0.834862310628278
seller_N_total_value_high,`time_n-1_sale_str_2023-10`,binary,4206,,,4167,39,-14.1030060316562,-12.2399579698149,1.86304806184129
seller_N_total_value_high,`time_n-1_sale_str_2023-11`,binary,4206,,,4163,43,-14.0950511727236,-13.18340610897,0.911645063753586
seller_N_total_value_high,`time_n-1_sale_str_2023-12`,binary,4206,,,4184,22,-14.0952507187343,-12.2752494340839,1.82000128465042
seller_N_total_value_high,`time_n-1_sale_str_2024-01`,binary,4206,,,4181,25,-14.0987945823806,-11.9009738320382,2.19782075034236
seller_N_total_value_high,`time_n-1_sale_str_2024-02`,binary,4206,,,4184,22,-14.098711215685,-11.6171258321882,2.48158538349681
seller_N_total_value_high,`time_n-1_sale_str_2024-03`,binary,4206,,,4123,83,-14.1458220914311,-11.1007230332951,3.04509905813604
seller_N_total_value_high,`time_n-1_sale_str_2024-04`,binary,4206,,,4148,58,-14.1181509794148,-11.7671419331298,2.35100904628494
seller_N_total_value_high,`time_n-1_sale_str_2024-05`,binary,4206,,,4171,35,-14.1110840492602,-11.0643692934201,3.04671475584012
seller_N_total_value_high,`time_n-1_sale_str_2024-06`,binary,4206,,,4153,53,-14.1154369346987,-11.7580170741561,2.3574198605426
seller_N_total_value_high,`time_n-1_sale_str_2024-07`,binary,4206,,,4182,24,-14.1055904564069,-10.6252169183519,3.48037353805504
seller_N_total_value_high,`time_n-1_sale_str_2024-08`,binary,4206,,,4165,41,-14.1138252883493,-11.231760213638,2.88206507471127
seller_N_total_value_high,`time_n-1_sale_str_2024-09`,binary,4206,,,4176,30,-14.1103755289546,-10.655209527317,3.45516600163762
seller_N_total_value_high,`time_n-1_sale_str_2024-10`,binary,4206,,,4169,37,-14.1184901508609,-10.3945690755437,3.72392107531715
seller_N_total_value_high,`time_n-1_sale_str_2024-11`,binary,4206,,,4111,95,-14.1827676752869,-9.88659559610101,4.29617207918589
seller_N_total_value_high,`time_n-1_sale_str_2024-12`,binary,4206,,,4117,89,-14.1646755887957,-10.4338774793513,3.73079810944435
seller_N_total_value_high,`time_n-1_sale_str_2025-01`,binary,4206,,,4158,48,-14.1344648330223,-9.86416081306836,4.27030401995395
seller_N_total_value_high,`time_n-1_sale_str_2025-02`,binary,4206,,,4123,83,-14.1677952751344,-10.0092117512624,4.15858352387207
seller_N_total_value_high,`time_n-1_sale_str_2025-03`,binary,4206,,,4193,13,-14.1002491888325,-9.40304968916917,4.69719949966338
seller_N_total_value_high,`Background_recoded_Army Green`,binary,4206,,,3665,541,-14.0655547480297,-14.2224146824495,-0.156859934419758
seller_N_total_value_high,Background_recoded_Blue,binary,4206,,,3702,504,-14.1049665729435,-13.9444409557484,0.160525617195153
seller_N_total_value_high,Background_recoded_Gray,binary,4206,,,3715,491,-14.1097362878369,-13.904102210631,0.205634077205907
seller_N_total_value_high,`Background_recoded_New Punk Blue`,binary,4206,,,3701,505,-14.0644988519182,-14.2413351362077,-0.176836284289537
seller_N_total_value_high,Background_recoded_Orange,binary,4206,,,3672,534,-14.1025812078953,-13.9698619837876,0.132719224107634
seller_N_total_value_high,Background_recoded_Purple,binary,4206,,,3642,564,-14.0927483015776,-14.040416986504,0.0523313150736318
seller_N_total_value_high,Background_recoded_Yellow,binary,4206,,,3679,527,-14.0780411004822,-14.1394142050476,-0.0613731045653978
seller_N_total_value_high,`Clothes_recoded_Bayc T Black`,binary,4206,,,4108,98,-14.0994675239628,-13.5099174111713,0.589550112791519
seller_N_total_value_high,`Clothes_recoded_Bayc T Red`,binary,4206,,,4151,55,-14.0878428664766,-13.9263410179973,0.161501848479308
seller_N_total_value_high,`Clothes_recoded_Biker Vest`,binary,4206,,,4089,117,-14.0925208001018,-13.8484354112648,0.244085388836966
seller_N_total_value_high,`Clothes_recoded_Black Holes T`,binary,4206,,,4128,78,-14.094355018741,-13.62932022271,0.465034796030933
seller_N_total_value_high,`Clothes_recoded_Black T`,binary,4206,,,4063,143,-14.0901487515101,-13.9602106108276,0.129938140682512
seller_N_total_value_high,`Clothes_recoded_Blue Dress`,binary,4206,,,4160,46,-14.084177690729,-14.2262022022085,-0.142024511479576
seller_N_total_value_high,`Clothes_recoded_Bone Necklace`,binary,4206,,,4133,73,-14.0820300125854,-14.2952664755979,-0.21323646301253
seller_N_total_value_high,`Clothes_recoded_Bone Tee`,binary,4206,,,4119,87,-14.082251053316,-14.2504874267274,-0.168236373411352
seller_N_total_value_high,`Clothes_recoded_Caveman Pelt`,binary,4206,,,4145,61,-14.0789501788196,-14.5464918610975,-0.467541682277922
seller_N_total_value_high,`Clothes_recoded_Cowboy Shirt`,binary,4206,,,4151,55,-14.0864452404658,-14.0318236647374,0.0546215757283424
seller_N_total_value_high,Clothes_recoded_Guayabera,binary,4206,,,4092,114,-14.0731032753656,-14.5389990520885,-0.465895776722926
seller_N_total_value_high,Clothes_recoded_Hawaiian,binary,4206,,,4093,113,-14.0928578496082,-13.8275868698014,0.26527097980682
seller_N_total_value_high,`Clothes_recoded_Hip Hop`,binary,4206,,,4157,49,-14.0822564262278,-14.3805006307126,-0.298244204484796
seller_N_total_value_high,`Clothes_recoded_Lab Coat`,binary,4206,,,4145,61,-14.0810384679849,-14.4045909006004,-0.323552432615539
seller_N_total_value_high,`Clothes_recoded_Leather Jacket`,binary,4206,,,4102,104,-14.1012919057554,-13.4719720896681,0.62931981608727
seller_N_total_value_high,`Clothes_recoded_Leather Punk Jacket`,binary,4206,,,4153,53,-14.0818967683431,-14.3861738831152,-0.304277114772136
seller_N_total_value_high,`Clothes_recoded_Lumberjack Shirt`,binary,4206,,,4114,92,-14.0893505577328,-13.9238728284904,0.165477729242454
seller_N_total_value_high,`Clothes_recoded_Navy Striped Tee`,binary,4206,,,4075,131,-14.0973895301724,-13.7230699181795,0.374319611992885
seller_N_total_value_high,Clothes_recoded_No_Clothes,binary,4206,,,3436,770,-13.9880317921508,-14.521697736239,-0.533665944088238
seller_N_total_value_high,Clothes_recoded_Other_Clothes,binary,4206,,,4085,121,-14.0995443092802,-13.6193883580536,0.480155951226587
seller_N_total_value_high,`Clothes_recoded_Prison Jumpsuit`,binary,4206,,,4105,101,-14.0768408745945,-14.4470564804305,-0.370215605835968
seller_N_total_value_high,`Clothes_recoded_Prom Dress`,binary,4206,,,4160,46,-14.0917118665681,-13.5448506480576,0.546861218510561
seller_N_total_value_high,`Clothes_recoded_Puffy Vest`,binary,4206,,,4106,100,-14.0841300396361,-14.1514655198829,-0.0673354802467845
seller_N_total_value_high,`Clothes_recoded_Rainbow Suspenders`,binary,4206,,,4147,59,-14.1070099312271,-12.5900730497499,1.51693688147718
seller_N_total_value_high,`Clothes_recoded_Sailor Shirt`,binary,4206,,,4079,127,-14.0893480070761,-13.9695588493748,0.11978915770135
seller_N_total_value_high,Clothes_recoded_Service,binary,4206,,,4147,59,-14.0911706082729,-13.7033895292623,0.387781079010587
seller_N_total_value_high,`Clothes_recoded_Sleeveless Logo T`,binary,4206,,,4140,66,-14.0890595350308,-13.8769396925255,0.212119842505292
seller_N_total_value_high,`Clothes_recoded_Sleeveless T`,binary,4206,,,4102,104,-14.0687845460458,-14.7541373735997,-0.685352827553992
seller_N_total_value_high,`Clothes_recoded_Smoking Jacket`,binary,4206,,,4105,101,-14.0742485366818,-14.5524183332204,-0.478169796538634
seller_N_total_value_high,`Clothes_recoded_Striped Tee`,binary,4206,,,4014,192,-14.1043070696396,-13.6973745687543,0.406932500885315
seller_N_total_value_high,`Clothes_recoded_Stunt Jacket`,binary,4206,,,4134,72,-14.0819438582486,-14.3031747879797,-0.22123092973116
seller_N_total_value_high,Clothes_recoded_Tanktop,binary,4206,,,4106,100,-14.0821164202092,-14.2341447335508,-0.152028313341576
seller_N_total_value_high,`Clothes_recoded_Tie Dye`,binary,4206,,,4147,59,-14.0812290873995,-14.4021604964097,-0.320931409010182
seller_N_total_value_high,Clothes_recoded_Toga,binary,4206,,,4122,84,-14.0960019971277,-13.5817174115925,0.514284585535146
seller_N_total_value_high,`Clothes_recoded_Tuxedo Tee`,binary,4206,,,4099,107,-14.0836863230501,-14.1640584724459,-0.0803721493958154
seller_N_total_value_high,`Clothes_recoded_Tweed Suit`,binary,4206,,,4147,59,-14.0910106622412,-13.714631837625,0.376378824616173
seller_N_total_value_high,`Clothes_recoded_Vietnam Jacket`,binary,4206,,,4107,99,-14.0897708846514,-13.9181360754611,0.171634809190312
seller_N_total_value_high,`Clothes_recoded_Wool Turtleneck`,binary,4206,,,4114,92,-14.089131147079,-13.9336843005552,0.155446846523823
seller_N_total_value_high,`Clothes_recoded_Work Vest`,binary,4206,,,4114,92,-14.0844939392196,-14.1410481389655,-0.0565541997459125
seller_N_total_value_high,`Earring_recoded_Diamond Stud`,binary,4206,,,4110,96,-14.0838960879918,-14.1642872196626,-0.0803911316707495
seller_N_total_value_high,`Earring_recoded_Gold Hoop`,binary,4206,,,4009,197,-14.083784291079,-14.1253465573513,-0.0415622662722335
seller_N_total_value_high,`Earring_recoded_Gold Stud`,binary,4206,,,4017,189,-14.0943989928437,-13.901501272386,0.192897720457724
seller_N_total_value_high,Earring_recoded_No_Earring,binary,4206,,,1270,2936,-14.2003806414408,-14.0361379700628,0.164242671377979
seller_N_total_value_high,`Earring_recoded_Silver Hoop`,binary,4206,,,3848,358,-14.0861359306955,-14.0813783056366,0.00475762505892163
seller_N_total_value_high,`Earring_recoded_Silver Stud`,binary,4206,,,3840,366,-14.0582958606433,-14.373574835693,-0.315278975049649
seller_N_total_value_high,Eyes_recoded_Angry,binary,4206,,,4019,187,-14.0967384217708,-13.8491592387024,0.247579183068334
seller_N_total_value_high,Eyes_recoded_Blindfold,binary,4206,,,4099,107,-14.0979597677243,-13.617265484411,0.480694283313376
seller_N_total_value_high,Eyes_recoded_Bloodshot,binary,4206,,,3843,363,-14.0778491633002,-14.1691739949629,-0.0913248316627442
seller_N_total_value_high,Eyes_recoded_Bored,binary,4206,,,3491,715,-14.1174354744894,-13.930933221387,0.186502253102411
seller_N_total_value_high,Eyes_recoded_Closed,binary,4206,,,3892,314,-14.0709069295487,-14.2694736462751,-0.198566716726392
seller_N_total_value_high,Eyes_recoded_Coins,binary,4206,,,3996,210,-14.0929128309168,-13.9490705828116,0.14384224810518
seller_N_total_value_high,Eyes_recoded_Crazy,binary,4206,,,4045,161,-14.091700246924,-13.9357577386747,0.155942508249275
seller_N_total_value_high,Eyes_recoded_Eyepatch,binary,4206,,,4054,152,-14.0608270567178,-14.7499447815791,-0.689117724861243
seller_N_total_value_high,Eyes_recoded_Heart,binary,4206,,,4036,170,-14.0941774402926,-13.8852020336063,0.208975406686287
seller_N_total_value_high,Eyes_recoded_Holographic,binary,4206,,,4150,56,-14.0868474191213,-14.0029947389385,0.0838526801828667
seller_N_total_value_high,Eyes_recoded_Hypnotized,binary,4206,,,4106,100,-14.0906517878556,-13.8836825379913,0.206969249864233
seller_N_total_value_high,Eyes_recoded_Other_Eyes,binary,4206,,,4123,83,-14.0659382611912,-15.0689282390678,-1.00298997787656
seller_N_total_value_high,Eyes_recoded_Robot,binary,4206,,,4054,152,-14.0832890254887,-14.1508604302817,-0.0675714047929876
seller_N_total_value_high,Eyes_recoded_Sad,binary,4206,,,3969,237,-14.0980678794257,-13.8791269252893,0.218940954136343
seller_N_total_value_high,Eyes_recoded_Scumbag,binary,4206,,,4107,99,-14.0877886511564,-14.0003687316654,0.0874199194909622
seller_N_total_value_high,Eyes_recoded_Sleepy,binary,4206,,,3881,325,-14.1196271828123,-13.6809581484298,0.43866903438251
