model,treatment,display_label,subgroup,metric,ATE_pct,CI95_lo_pct,CI95_hi_pct,GATES_lift,GATES_bot_mean,GATES_top_mean,cutoff_raw,split_rule,p_value,q_value_bh,kept_pct,total_covariates,count_gt_0_10,count_gt_0_25,median_abs_smd,p90_abs_smd,max_abs_smd,flags
PDS,seller_N_total_value_high,Seller N High — Total Value,Seller N High,Total Value,-10.213877638562,-15.0929960097441,-5.05438432819659,11.8051389049837,-19.6650975035593,-7.85995859857559,1762.46958490957,median,0.000157246563591145,0.00030239723767528,100,,,,,,,***
PDS,seller_N_gaspaid_high,Seller N High — Gas Paid,Seller N High,Gas Paid,18.3441150424776,11.4943082366188,25.6147491893878,28.5858752011583,13.1233302617634,41.7092054629217,6.7019714396823,median,3.08380597403222e-08,1.54190298701611e-07,100,,,,,,,***
PDS,seller_N_gaslimit_cost_high,Seller N High — Gas Limit Cost,Seller N High,Gas Limit Cost,-5.14228359232092,-10.3195591134462,0.333877411041761,9.36164417257974,3.08915352434201,12.4507976969218,0.0103419376233987,median,0.0652466725454841,0.0906203785353946,100,,,,,,,**
PDS,seller_N_1_total_value_high,Seller N-1 High — Total Value,Seller N-1 High,Total Value,-15.7655044236846,-20.10947286285,-11.1853369947682,18.6008957271768,-30.511190629199,-11.9102949020222,1306.24452976845,median,2.14061108949113e-10,1.33788193093196e-09,100,,,,,,,***
PDS,seller_N_1_gaspaid_high,Seller N-1 High — Gas Paid,Seller N-1 High,Gas Paid,21.8334349009246,15.147078740449,28.9080541349734,41.3114758938866,17.3695534311147,58.6810293250013,8.47635829037632,median,7.01268014702894e-12,5.84390012252411e-11,100,,,,,,,***
PDS,seller_N_1_gaslimit_cost_high,Seller N-1 High — Gas Limit Cost,Seller N-1 High,Gas Limit Cost,-8.1444003366933,-13.0876313989655,-2.92001788333216,9.88781366494717,-1.54593496524946,8.34187869969771,0.0111078712655934,median,0.00261275261081738,0.00408242595440216,100,,,,,,,***
PDS,buyer_N_total_value_high,Buyer N High — Total Value,Buyer N High,Total Value,11.9673563886729,5.87506249873806,18.4102148399442,17.4642154856254,-1.97775694771723,15.4864585379082,799.667736908218,median,7.49710172022664e-05,0.000156189619171388,100,,,,,,,***
PDS,buyer_N_gaspaid_high,Buyer N High — Gas Paid,Buyer N High,Gas Paid,-1.28102426689822,-8.59497555458154,6.61816709662522,19.5964516201886,-34.5962644147402,-14.9998127945516,3.26250570589215,median,0.742700990609866,0.807283685445506,79.4103661436044,,,,,,,""
PDS,buyer_N_gaslimit_cost_high,Buyer N High — Gas Limit Cost,Buyer N High,Gas Limit Cost,3.30517752746484,-1.75650566579472,8.62764782853807,20.3330827166199,13.4559438043413,33.7890265209611,0.00998400187183293,median,0.204582041180691,0.255727551475863,100,,,,,,,""
PDS,seller_N_Tvalue_Gaslimit_11vs00,Combination — Seller N High — Total Value + Gas Limit,Combination — Seller N High,Total Value + Gas Limit,-12.0886160330787,-21.5675135022706,-1.46415374446659,9.51688749652677,-23.989209354793,-14.4723218582662,,,0.0268735525041881,0.0395199301532178,100,,,,,,,***
