treatment,ATE_pct_grf,p_grf,ATE_pct_pds,p_pds
seller_N_total_value_high,-14.1067821783005,6.75343844839071e-07,-10.213877638562,0.000157246563591145
seller_N_1_total_value_high,-20.0737366115314,3.93253575341233e-13,-15.7655044236846,2.14061108949113e-10
buyer_N_total_value_high,6.6447507030166,0.029322848585875,11.9673563886729,7.49710172022664e-05
buyer_N_gaspaid_high,-24.8007695352004,0.0175186464571244,-1.28102426689822,0.742700990609866
seller_N_gaspaid_high,23.9298523171685,1.75860185559528e-10,18.3441150424776,3.08380597403222e-08
seller_N_1_gaspaid_high,31.9578951168523,2.20250720836753e-16,21.8334349009246,7.01268014702894e-12
buyer_N_gaslimit_cost_high,20.3790408129458,2.47742679234612e-11,3.30517752746484,0.204582041180691
seller_N_gaslimit_cost_high,7.46427956388593,0.0186270247596741,-5.14228359232092,0.0652466725454841
seller_N_1_gaslimit_cost_high,3.09375861399079,0.307897831276633,-8.1444003366933,0.00261275261081738
seller_N_Tvalue_Gaslimit_11vs00,-19.4568934955134,0.000195924807520901,-12.0886160330787,0.0268735525041881
seller_N_Gaslimit_given_TvalueHigh,6.86409304300866,0.117282188021241,5.3080938919766,0.266869231183513
seller_N_1_Tvalue_Gaslimit_11vs00,-24.2018541086492,7.83691535217195e-07,-25.1971687945766,2.08990543030227e-07
seller_N_1_Gaslimit_given_TvalueHigh,5.95387450102833,0.195018488099623,0.918981889965909,0.839196837469261
buyer_N_Tvalue_Gaspaid_11vs00,-1.28943225158866,0.684455198599648,0.041676836716098,0.989292525077359
buyer_N_Gaspaid_given_TvalueHigh,-8.99978526029972,0.0532210555097579,-6.68184387454273,0.13744381750378
seller_N_Tvalue_Gaspaid_11vs00,2.64500613179499,0.443581913781039,10.9563421499657,0.00180205180629865
seller_N_Gaspaid_given_TvalueHigh,20.1927104494382,1.22394094773131e-05,18.9002660219855,2.02027055643574e-05
seller_N_1_Tvalue_Gaspaid_11vs00,-1.48102360930534,0.669538485192796,-3.57769450214471,0.294474761831435
seller_N_1_Gaspaid_given_TvalueHigh,19.6939960618988,2.75732245123007e-05,16.4122681473933,0.000259268447487034
buyer_N_Tvalue_Gaslimit_11vs00,32.8132474780395,6.39912504931526e-09,32.5919931388573,3.16896338792394e-07
buyer_N_Gaslimit_given_TvalueHigh,35.6701873885486,1.6125704842735e-11,23.0978390512594,1.06186829444831e-05
all_total_value_11vs00,-30.7017206670251,2.5129343978354e-08,-28.0712052830908,5.0927375070979e-06
seller_total_value_11vs00,-32.9111739377105,1.83920207683854e-16,-32.1461197635851,2.33875354339929e-15
combo3_TV_crosslayer_11vs00,57.9541485295467,2.01874398557399e-26,62.295164618845,4.15431335149292e-07
combo4_GP_crosslayer_11vs00,99.5588586468345,3.11721723718387e-62,124.457764919348,3.07758504712397e-15
