feature,importance,rank,treatment,k
Eyes_Bored,0.263414634146342,1,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Background_Orange,0.200696864111498,2,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Background_Army.Green,0.112891986062718,3,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_No,0.112891986062718,4,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Eyes_Bloodshot,0.112891986062718,5,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_Navy.Striped.Tee,0.0260162601626016,6,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Eyes_Coins,0.0260162601626016,7,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Eyes_Sad,0.0260162601626016,8,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Eyes_Wide.Eyed,0.0250871080139373,9,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Eyes_Zombie,0.0250871080139373,10,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
month_sale,0.0250871080139373,11,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Background_Aquamarine,0,12,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Background_Blue,0,13,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Background_Gray,0,14,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Background_New.Punk.Blue,0,15,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Background_Purple,0,16,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Background_Yellow,0,17,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_Bandolier,0,18,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_Bayc.T.Black,0,19,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_Bayc.T.Red,0,20,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_Biker.Vest,0,21,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_Black.Holes.T,0,22,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_Black.T,0,23,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_Bone.Necklace,0,24,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
Clothes_Bone.Tee,0,25,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4
