month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-12.9393236830275,-12.9878952091067,-12.8997704409186
2,67,-12.9434572707335,-13.0008681625127,-12.8849801116302
3,106,-12.921868147063,-12.9633978142013,-12.8827884678209
4,120,-12.9244687503017,-12.9663664436051,-12.8799963053012
5,5638,-12.9439436126293,-12.9497472692518,-12.9395946214893
6,1945,-12.9413758032655,-12.9498559047059,-12.9327040058385
7,460,-12.9382529330694,-12.9562652794202,-12.9197820379211
8,433,-12.9348900382242,-12.9521871190559,-12.9137871660086
9,85,-12.9602511637992,-13.0080893110235,-12.9182589108216
10,75,-12.9401195103028,-12.978082826329,-12.9026743033478
11,115,-12.9505423978918,-12.9874015139574,-12.9128623611132
12,89,-12.9127488289773,-12.9517816141401,-12.8670676385473
