month_sale,n,mean_pct,lo_pct,hi_pct
1,50,41.3025350410816,41.1528912402352,41.4399494437857
2,29,41.258719082103,41.0792599314991,41.4205066802868
3,45,41.4236435840543,41.3130595334304,41.5218049995025
4,48,41.4193613617891,41.2814302228622,41.542459973942
5,2345,41.3838875491764,41.3675697506612,41.39861657214
6,1785,45.1877757434724,45.1685890037467,45.2051160940988
7,452,42.6411486934102,42.6032406013375,42.6804661199052
8,429,42.4735634150504,42.4367720815697,42.5104756851847
9,85,42.4269242037801,42.341141850751,42.5200160441686
10,75,42.4275180403925,42.3221801601112,42.5373483558549
11,115,42.5101176614486,42.4410800897157,42.5851347516403
12,84,42.4602676971605,42.3749087964991,42.5624109228438
