gates_dec,n,mean_pct,lo_pct,hi_pct
1,481,-18.8027251813381,-18.8115226423625,-18.7945038022137
2,481,-18.7088991055086,-18.7103285121145,-18.707693709364
3,481,-18.6637483459885,-18.6646959169259,-18.6627380612542
4,480,-18.6258401714008,-18.6267168546816,-18.6250164560058
5,481,-18.5938512465503,-18.594499856608,-18.5931306527941
6,481,-18.5628697099939,-18.5636114982341,-18.5621823453622
7,480,-18.5303846687184,-18.5313203775533,-18.5295318502023
8,481,-18.4931562083861,-18.4941770769365,-18.4921725729742
9,481,-18.4454907075698,-18.4469832479834,-18.4438395042566
10,481,-18.3513616924632,-18.3557537185262,-18.3466228579898
