treatment,k,family,level,n,mean_pct,lo_pct,hi_pct
Clothes_No+Earring_No+Hat_No,3,Fur,Black,771,56.2703691541232,56.2335023635408,56.3056658704146
Clothes_No+Earring_No+Hat_No,3,Fur,Brown,627,56.2864647874443,56.2406318575769,56.3315033588835
Clothes_No+Earring_No+Hat_No,3,Fur,Cream,330,56.2667296292296,56.2174073863074,56.3204968929898
Clothes_No+Earring_No+Hat_No,3,Fur,Dark.Brown,794,56.2429737484168,56.2055814968222,56.2784587701294
Clothes_No+Earring_No+Hat_No,3,Fur,Golden.Brown,271,56.1944182372059,56.1305315546761,56.2513234289725
Clothes_No+Earring_No+Hat_No,3,Fur,Red,332,56.2019777109397,56.1431337741607,56.2621046605721
Clothes_No+Earring_No+Hat_No,3,Fur,Tan,589,56.2581760411939,56.2165107378849,56.3032174851295
