month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-6.54916414110775,-6.88939819135913,-6.24920796177783
2,67,-6.63172020385317,-7.06533375765803,-6.21892149752301
3,106,-6.52001588988093,-6.86863748966307,-6.17268775649332
4,120,-6.88157183633218,-7.23571678111893,-6.57750213795237
5,5638,-5.93785569148586,-5.98603218273131,-5.89201401089853
6,1945,-6.5994221358395,-6.67834666800589,-6.50064816172265
7,460,-7.00671034979367,-7.17900443691905,-6.8323450094561
8,433,-7.52227019572843,-7.68020121882223,-7.35044099382097
9,85,-7.320579724482,-7.65009414799359,-6.98122960884104
10,75,-7.18590842870836,-7.58022623028114,-6.7931188724755
11,115,-7.19421903489282,-7.50867911896584,-6.81737985709703
12,89,-6.94872335661174,-7.3347526042509,-6.58767224744227
