gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-9.48364101235971,-9.51179309805352,-9.451248453223
2,925,-8.3795900276052,-8.39591053426889,-8.3621348794218
3,925,-7.72941959604645,-7.73993494208499,-7.71938900088679
4,926,-7.1732761348116,-7.18502119040026,-7.16328421483744
5,925,-6.57532916389468,-6.58584414626579,-6.56461718592653
6,925,-6.05126272394583,-6.05912130423891,-6.04219405632406
7,926,-5.55788315559867,-5.56760381301815,-5.54788793409716
8,925,-4.97674506546362,-4.98736837010861,-4.96518392432747
9,925,-4.18010343041478,-4.19776745687121,-4.16511212578278
10,926,-2.73538148723813,-2.78044729692953,-2.68506046313224
