feature,importance,rank,treatment,k
month_sale,0.776883528596604,1,Clothes_Other+Earring_No,2
Mouth_Bored,0.0482135229965609,2,Clothes_Other+Earring_No,2
Mouth_Bored.Unshaven,0.0257070449806846,3,Clothes_Other+Earring_No,2
Hat_No,0.0213219265413565,4,Clothes_Other+Earring_No,2
Eyes_Bored,0.00473820589807922,5,Clothes_Other+Earring_No,2
Background_Blue,0.0011845514745198,6,Clothes_Other+Earring_No,2
Background_Aquamarine,0,7,Clothes_Other+Earring_No,2
Background_Army.Green,0,8,Clothes_Other+Earring_No,2
Background_Gray,0,9,Clothes_Other+Earring_No,2
Background_New.Punk.Blue,0,10,Clothes_Other+Earring_No,2
Background_Orange,0,11,Clothes_Other+Earring_No,2
Background_Purple,0,12,Clothes_Other+Earring_No,2
Background_Yellow,0,13,Clothes_Other+Earring_No,2
Eyes_3d,0,14,Clothes_Other+Earring_No,2
Eyes_Angry,0,15,Clothes_Other+Earring_No,2
Eyes_Blindfold,0,16,Clothes_Other+Earring_No,2
Eyes_Bloodshot,0,17,Clothes_Other+Earring_No,2
Eyes_Closed,0,18,Clothes_Other+Earring_No,2
Eyes_Coins,0,19,Clothes_Other+Earring_No,2
Eyes_Crazy,0,20,Clothes_Other+Earring_No,2
Eyes_Cyborg,0,21,Clothes_Other+Earring_No,2
Eyes_Eyepatch,0,22,Clothes_Other+Earring_No,2
Eyes_Heart,0,23,Clothes_Other+Earring_No,2
Eyes_Holographic,0,24,Clothes_Other+Earring_No,2
Eyes_Hypnotized,0,25,Clothes_Other+Earring_No,2
