month_sale,n,mean_pct,lo_pct,hi_pct
1,110,-10.7463302732571,-10.784720950292,-10.7113050601873
2,62,-10.7857708641041,-10.8294607908816,-10.737348251487
3,97,-10.7665686173898,-10.805433258743,-10.7302110394453
4,111,-10.7304604838921,-10.7603945921105,-10.6989913476831
5,5082,-10.7513291541139,-10.7560339861807,-10.7473748486398
6,1776,-10.7329317852018,-10.7402819558019,-10.7257557919616
7,417,-10.7248663840965,-10.7409148711721,-10.7079473451941
8,366,-10.7444015948525,-10.7632692832469,-10.7292644557874
9,80,-10.7384890036419,-10.7780148223768,-10.704528609133
10,61,-10.7454962190162,-10.7905565141693,-10.6980565301175
11,101,-10.7115352766555,-10.7462648176913,-10.6807382851986
12,68,-10.7341540484843,-10.7638330931044,-10.703335822999
