gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-12.660602630736,-12.668817551485,-12.6526832932127
2,925,-12.5017060750817,-12.5035774457365,-12.4999396976428
3,925,-12.4217398735263,-12.4229848791579,-12.4205150255155
4,926,-12.3595525904766,-12.360665965548,-12.358503166767
5,925,-12.3004579677167,-12.3015113764809,-12.2994337735074
6,925,-12.2461281520311,-12.2471047727425,-12.2451880200955
7,926,-12.1895350337118,-12.1906757153971,-12.1884324433065
8,925,-12.1241799631456,-12.1255333057955,-12.1231065797926
9,925,-12.0396203139701,-12.0415214297037,-12.0380682931062
10,926,-11.8920384324048,-11.8978356287862,-11.8860698265966
