feature,importance,rank,treatment,k
month_sale,0.0924108093373012,1,Earring_No+Mouth_Bored,2
Fur_Golden.Brown,0.084457643159617,2,Earring_No+Mouth_Bored,2
Fur_Gray,0.0578618701336691,3,Earring_No+Mouth_Bored,2
Fur_Dark.Brown,0.0546187338765727,4,Earring_No+Mouth_Bored,2
Hat_No,0.0472744039196116,5,Earring_No+Mouth_Bored,2
Clothes_No,0.0471023796287534,6,Earring_No+Mouth_Bored,2
Eyes_Bored,0.0421139882958364,7,Earring_No+Mouth_Bored,2
Fur_Cream,0.0414936492753828,8,Earring_No+Mouth_Bored,2
Fur_Brown,0.0404953128973977,9,Earring_No+Mouth_Bored,2
Hat_Beanie,0.0394266078581182,10,Earring_No+Mouth_Bored,2
Background_Orange,0.0366515479269818,11,Earring_No+Mouth_Bored,2
Background_Yellow,0.0344016559275634,12,Earring_No+Mouth_Bored,2
Background_New.Punk.Blue,0.0305071433936476,13,Earring_No+Mouth_Bored,2
Fur_Black,0.0298807142776062,14,Earring_No+Mouth_Bored,2
Background_Purple,0.0293779032201656,15,Earring_No+Mouth_Bored,2
Background_Army.Green,0.0274407600798369,16,Earring_No+Mouth_Bored,2
Background_Aquamarine,0.0272841621420994,17,Earring_No+Mouth_Bored,2
Background_Gray,0.0269106478619582,18,Earring_No+Mouth_Bored,2
Eyes_Bloodshot,0.0254745043524402,19,Earring_No+Mouth_Bored,2
Eyes_Sad,0.0241993242588512,20,Earring_No+Mouth_Bored,2
Background_Blue,0.0205092720661788,21,Earring_No+Mouth_Bored,2
Eyes_Closed,0.0203673059861891,22,Earring_No+Mouth_Bored,2
Eyes_Sleepy,0.0177054864560105,23,Earring_No+Mouth_Bored,2
Eyes_Coins,0.0172483705845717,24,Earring_No+Mouth_Bored,2
Eyes_Angry,0.0164555269211175,25,Earring_No+Mouth_Bored,2
