month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-5.24097603811278,-5.54520603918198,-4.94349273787655
2,67,-5.48037339759874,-5.84429632588579,-5.13065563624281
3,106,-5.33901119999918,-5.72496768523524,-4.99582717457705
4,120,-5.15344751578493,-5.46013714623412,-4.83814181679025
5,5638,-5.38003075593165,-5.42759500350501,-5.33372513769749
6,1945,-5.39269644741369,-5.46789204282711,-5.312371359828
7,460,-5.88484934590143,-6.03309425871609,-5.74521200026622
8,433,-6.48343178191931,-6.61939816001068,-6.33934545562793
9,85,-6.19003142028631,-6.49076568440008,-5.87017843999271
10,75,-6.22291419678394,-6.56701634919916,-5.84016392837023
11,115,-6.27667236432703,-6.56467203743742,-5.98291619474442
12,89,-6.1003244088566,-6.42153566699695,-5.82646635158958
