gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-8.56497477456953,-8.60652572432057,-8.52787871310208
2,925,-7.40080062920282,-7.41597475807794,-7.3872250929357
3,925,-6.78327004400048,-6.79408381417465,-6.77354084677814
4,926,-6.28191491980129,-6.29132753758278,-6.27237866933896
5,925,-5.7657554387747,-5.77506079530449,-5.757666632925
6,925,-5.25211030929316,-5.26109936844039,-5.24157247125665
7,926,-4.72568470986414,-4.73528378486872,-4.71607855253398
8,925,-4.19679737937499,-4.20720999284908,-4.18586548790028
9,925,-3.55921628114122,-3.57346040252204,-3.54534457415119
10,926,-2.34208030884118,-2.39111022863511,-2.2943024396977
