gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-12.9604649158768,-12.9853239820932,-12.9370076064006
2,925,-11.663755380825,-11.6903221690019,-11.6420938210044
3,925,-9.62164894789949,-9.66518470077669,-9.58122880500068
4,926,-8.63386295725963,-8.64163294166152,-8.62669851632973
5,925,-8.25465036427432,-8.26143231370012,-8.24754515982407
6,925,-7.85759779912794,-7.8646591537327,-7.85022295446785
7,926,-7.44306759792563,-7.45098252802786,-7.43486911625215
8,925,-6.53863683467163,-6.5739181409132,-6.50154300953707
9,925,-4.82241989536179,-4.84800842269216,-4.79535200517356
10,926,-2.91478042064704,-2.96477737343073,-2.8584272763402
