month_sale,n,mean_pct,lo_pct,hi_pct
1,121,51.99606096131,51.8643933852463,52.1212023384812
2,67,51.85526403196,51.6278290249061,52.1073983052054
3,106,51.9514794638444,51.8145914661649,52.0844986431557
4,120,52.1788886990467,51.9816387604149,52.4448179638168
5,5638,52.0313248738468,52.0072475415522,52.0526248522081
6,1945,52.0414497804562,52.0056107523375,52.079964634965
7,460,52.0572837400902,51.9761991474169,52.1344547737736
8,433,52.0584636175,51.9787446070448,52.1301305102451
9,85,52.045631568215,51.8877186523946,52.2200773155292
10,75,51.984089377246,51.8239455365917,52.142104915342
11,115,51.9220629820597,51.7463475287139,52.0773954188644
12,89,51.9151050344176,51.7130469155043,52.1112575607346
