gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,39.2901503344075,39.2735732030705,39.3058432789421
2,925,39.6269189719666,39.6231618153505,39.6303576583383
3,925,39.8019924466186,39.7990268517819,39.8049791146655
4,926,39.9397820238434,39.9373537473565,39.9424309596814
5,925,40.0603846781569,40.0584843593114,40.0625531548458
6,925,40.1760595195577,40.1737110517457,40.1781968160454
7,926,40.3005357592197,40.2982094392676,40.3029163171264
8,925,40.4353770161742,40.4324785144101,40.4382121831174
9,925,40.6090967650372,40.6048383221314,40.6131001596818
10,926,40.9517853337235,40.937888305968,40.9652926492284
