feature,importance,rank,treatment,k
Earring_No,0.453473294226613,1,Fur_Black+Mouth_Bored,2
month_sale,0.195615930842853,2,Fur_Black+Mouth_Bored,2
Hat_No,0.0489039827107132,3,Fur_Black+Mouth_Bored,2
Background_Aquamarine,0.00444581661006484,4,Fur_Black+Mouth_Bored,2
Background_Army.Green,0,5,Fur_Black+Mouth_Bored,2
Background_Blue,0,6,Fur_Black+Mouth_Bored,2
Background_Gray,0,7,Fur_Black+Mouth_Bored,2
Background_New.Punk.Blue,0,8,Fur_Black+Mouth_Bored,2
Background_Orange,0,9,Fur_Black+Mouth_Bored,2
Background_Purple,0,10,Fur_Black+Mouth_Bored,2
Background_Yellow,0,11,Fur_Black+Mouth_Bored,2
Clothes_Bandolier,0,12,Fur_Black+Mouth_Bored,2
Clothes_Bayc.T.Black,0,13,Fur_Black+Mouth_Bored,2
Clothes_Bayc.T.Red,0,14,Fur_Black+Mouth_Bored,2
Clothes_Biker.Vest,0,15,Fur_Black+Mouth_Bored,2
Clothes_Black.Holes.T,0,16,Fur_Black+Mouth_Bored,2
Clothes_Black.T,0,17,Fur_Black+Mouth_Bored,2
Clothes_Bone.Necklace,0,18,Fur_Black+Mouth_Bored,2
Clothes_Bone.Tee,0,19,Fur_Black+Mouth_Bored,2
Clothes_Caveman.Pelt,0,20,Fur_Black+Mouth_Bored,2
Clothes_Cowboy.Shirt,0,21,Fur_Black+Mouth_Bored,2
Clothes_Guayabera,0,22,Fur_Black+Mouth_Bored,2
Clothes_Hawaiian,0,23,Fur_Black+Mouth_Bored,2
Clothes_Hip.Hop,0,24,Fur_Black+Mouth_Bored,2
Clothes_Lab.Coat,0,25,Fur_Black+Mouth_Bored,2
