month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-6.68452456080581,-7.03241473206694,-6.31844767799239
2,67,-6.73510611355465,-7.26075233396801,-6.23261618520995
3,106,-6.72378777908338,-7.09480436630478,-6.35475518423907
4,120,-7.05849142426839,-7.41230286550377,-6.73939164183716
5,5638,-6.65084313142009,-6.70397318446501,-6.60133834295226
6,1945,-10.7393082781454,-10.8318276863798,-10.6435420441369
7,460,-10.8176817108281,-11.0016299340747,-10.6149215680458
8,433,-10.7894476625498,-10.9672568274542,-10.5873703181863
9,85,-10.3184184966486,-10.7874459755465,-9.82443044084088
10,75,-10.5697398500571,-11.0058041567118,-10.0411328461572
11,115,-10.8489922406266,-11.2566176594822,-10.4380489362509
12,89,-10.3246975260045,-10.801570541139,-9.85656866990616
