treatment,k,family,level,n,mean_pct,lo_pct,hi_pct
Earring_No+Mouth_Other,2,Fur,Black,576,43.056138914676,42.9212897974587,43.1919763419597
Earring_No+Mouth_Other,2,Fur,Blue,321,42.5762079595811,42.3937896398318,42.7575358775655
Earring_No+Mouth_Other,2,Fur,Brown,715,42.5670499077766,42.4531673194149,42.6808326646874
Earring_No+Mouth_Other,2,Fur,Cream,555,42.4252014426629,42.2915694006061,42.560438828305
Earring_No+Mouth_Other,2,Fur,Dark.Brown,741,43.0107812100738,42.8810065363739,43.1404559667435
Earring_No+Mouth_Other,2,Fur,Golden.Brown,335,43.486716133565,43.3169621052597,43.6407949459721
Earring_No+Mouth_Other,2,Fur,Gray,338,42.6490951258373,42.4917249913627,42.8429722586829
Earring_No+Mouth_Other,2,Fur,Pink,443,42.4448067338234,42.3036124431988,42.5948325472701
