month_sale,n,mean_pct,lo_pct,hi_pct
1,69,33.8663083938558,33.7352985322853,33.981967322249
2,33,33.8500000835316,33.7073885575294,33.9831309566174
3,68,33.7667661855908,33.6608740008248,33.8639754592993
4,79,33.8308539279698,33.7041659775312,33.9506331559404
5,2121,33.7628648658195,33.7437473521807,33.7807220292556
6,1860,33.6954010086704,33.6767929159968,33.7125179487505
7,447,33.7276711971717,33.6876959948074,33.7689186056984
8,433,33.7052925580502,33.6647433832871,33.742540169119
9,85,33.6868511443325,33.6069913725487,33.7646878135355
10,75,33.741531968325,33.6384934011052,33.8425129803047
11,115,33.7336244932046,33.6518813050852,33.8178683604723
12,89,33.8140105750314,33.7292035143714,33.8959881217824
