gates_dec,n,mean_pct,lo_pct,hi_pct
1,925,31.1142892648004,31.1034626609138,31.1256073231667
2,925,31.4569489674957,31.4528252272805,31.4611998484902
3,924,31.7034145733939,31.6982146049865,31.708359701964
4,925,32.6390328427775,32.6023959444471,32.6765447132123
5,925,33.4447178217252,33.4406517454788,33.4490271199586
6,924,33.6097309252978,33.6072229794665,33.6125802396395
7,925,33.7328405593234,33.7309449004448,33.7347605151123
8,924,33.8448875812268,33.8428148531029,33.8472687121431
9,925,33.9831935312222,33.9803005547917,33.9864548499123
10,925,34.2275388162232,34.2193324006416,34.2372257218187
