month_sale,n,mean_pct,lo_pct,hi_pct
1,121,33.7454697988443,33.6777828251536,33.8043022723703
2,67,33.7455507960185,33.6842888978352,33.8205425418205
3,106,33.7913026021383,33.7274760805241,33.8437893107862
4,119,33.7539823840264,33.6905649163736,33.8182190204519
5,5632,33.7540878819056,33.746345635961,33.7613297666986
6,1945,31.5008077583994,31.4853161451977,31.5143864691964
7,460,31.4905590479813,31.4603985923214,31.5169538390741
8,433,31.5207799908299,31.4934028354897,31.5509949129562
9,85,31.577289545083,31.506591640627,31.6401767239571
10,75,31.5712711333787,31.4923816688506,31.6536682773351
11,115,31.5090008927079,31.4399529574081,31.5791624280015
12,89,31.4745788488613,31.4182843731988,31.5338256484262
