month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-19.349942866627,-19.3776840617069,-19.3220278864643
2,67,-19.388501681297,-19.4245853782946,-19.3524536334717
3,106,-19.3683307572098,-19.3952989022623,-19.3391690373249
4,120,-19.3507565086348,-19.3787406553206,-19.325318506656
5,5638,-19.3659526870843,-19.3696618991963,-19.362270127591
6,1945,-19.3720048385176,-19.3787635397675,-19.3656621937124
7,460,-19.3637879979957,-19.3768222049697,-19.3512038137848
8,433,-19.3797916515574,-19.3952548652455,-19.3638889883446
9,85,-19.3299096788502,-19.3678682110467,-19.2951216741383
10,75,-19.3586396829656,-19.3933888214143,-19.3263014398437
11,115,-19.3562531594935,-19.3864137851987,-19.3261509704583
12,89,-19.3858534989742,-19.4158151483638,-19.3569588917526
