treatment,k,family,level,n,mean_pct,lo_pct,hi_pct
Eyes_Wide.Eyed,1,Fur,Black,1101,-8.99890456201186,-9.01963815614518,-8.97649542731993
Eyes_Wide.Eyed,1,Fur,Brown,792,-8.20480690340756,-8.22785859058502,-8.18227133945333
Eyes_Wide.Eyed,1,Fur,Dark.Brown,824,-8.29299568659372,-8.31551219285061,-8.27025925588808
Eyes_Wide.Eyed,1,Fur,Golden.Brown,582,-8.29077700802635,-8.32150693401529,-8.25850864167642
Eyes_Wide.Eyed,1,Fur,Pink,353,-8.33979947428064,-8.38424677158984,-8.3012263146924
Eyes_Wide.Eyed,1,Fur,Red,331,-8.34316293053461,-8.38469537355218,-8.29929846176429
Eyes_Wide.Eyed,1,Fur,Tan,336,-8.29593204196849,-8.34022646347852,-8.25744850314351
