month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-19.1377925402169,-19.1682262563868,-19.1097567361886
2,67,-19.2209880614186,-19.2831636385827,-19.1694698544183
3,106,-19.1306316183911,-19.1664240719435,-19.101428733555
4,120,-19.1427936558051,-19.1827798551261,-19.0938033809925
5,5638,-19.1379262355186,-19.1419559334387,-19.1335455886969
6,1945,-19.1358698256157,-19.1430941914409,-19.1284990383804
7,460,-19.1575037369515,-19.1712091413232,-19.1428293475876
8,433,-19.126884004085,-19.1416943915329,-19.1109864354326
9,85,-19.1252027293734,-19.1565127291001,-19.0901795514955
10,75,-19.1337545030402,-19.1696181136685,-19.099162745767
11,115,-19.1213805874383,-19.1507858092077,-19.0944538436532
12,89,-19.1422237492485,-19.1795941823588,-19.1064229381475
