month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-6.17434424262337,-6.21387054748897,-6.12320450264792
2,67,-6.20341469924453,-6.26683046717329,-6.13032553681736
3,106,-6.18658121968666,-6.23199567015491,-6.1377356824039
4,120,-6.19632842046707,-6.25967523905178,-6.11432055106391
5,5638,-6.1949385552613,-6.20233317304363,-6.18764688401035
6,1945,-6.20050315091227,-6.21328571602706,-6.18728463630265
7,460,-6.19571100488385,-6.22091412930528,-6.16880808265553
8,433,-6.18152265178232,-6.20793585989867,-6.15983528873547
9,85,-6.17251431171985,-6.2294922968075,-6.11206642437809
10,75,-6.15216007007491,-6.20447326200791,-6.10004589086073
11,115,-6.19704867463979,-6.25025594611568,-6.14285964796079
12,89,-6.12307020344524,-6.17060047577105,-6.07450750201853
