treatment,k,family,level,n,mean_pct,lo_pct,hi_pct
Earring_No+Mouth_Other,2,Background,Aquamarine,679,42.8633840015203,42.7357408681659,42.97872602129
Earring_No+Mouth_Other,2,Background,Army.Green,612,42.9184000193012,42.7834998528519,43.0480228535266
Earring_No+Mouth_Other,2,Background,Blue,662,42.784637491221,42.6594521643145,42.9110415551855
Earring_No+Mouth_Other,2,Background,Gray,597,42.9360541037874,42.7993653259719,43.0725070691999
Earring_No+Mouth_Other,2,Background,New.Punk.Blue,731,42.9798492686258,42.8596931609016,43.10756156839
Earring_No+Mouth_Other,2,Background,Orange,754,42.7506264060288,42.6187980993951,42.8670798931555
Earring_No+Mouth_Other,2,Background,Purple,622,43.2303208943954,43.1034008743669,43.3612102907432
Earring_No+Mouth_Other,2,Background,Yellow,885,42.5873453894213,42.4836259938918,42.6994231929417
