gates_dec,n,mean_pct,lo_pct,hi_pct
1,925,-11.7804982439669,-11.7871926132303,-11.7742283864269
2,925,-11.6041723851758,-11.6063420105937,-11.6019064799051
3,925,-11.4713939812092,-11.4744378521186,-11.4682956416385
4,925,-10.8742285485958,-10.9020360111668,-10.8491113669544
5,925,-10.4138324548908,-10.4152720871526,-10.4123612827356
6,925,-10.3471986566887,-10.3482689597574,-10.3461316430712
7,925,-10.294331559015,-10.2952154712417,-10.2934490959577
8,925,-10.2433790563031,-10.2443083922013,-10.2423788919938
9,925,-10.1840046852936,-10.185368501888,-10.1827139890701
10,925,-10.0779091453659,-10.0818185581782,-10.0739053434643
