decile,n,mean_pct,lo_pct,hi_pct
1,102,91.6601969680516,91.2643857581202,92.0361369721023
2,102,95.7109823442963,95.556725577374,95.8782779742276
3,102,98.2093275482884,98.0813584856336,98.3205471648001
4,101,100.163064129629,100.064586551014,100.260484229633
5,102,101.805503126585,101.731613284934,101.886913563683
6,102,103.485513841648,103.392653681729,103.588235653208
7,101,105.494332543734,105.374267905246,105.607520183516
8,102,107.517389362116,107.400261760076,107.645755131293
9,102,110.275968941199,110.10916141513,110.461451006381
10,102,114.949662938534,114.51762354176,115.447059697502
