decile,n,mean_pct,lo_pct,hi_pct
1,247,22.9656964494264,22.8175410310241,23.1173314902191
2,246,25.7288733493011,25.6526311794834,25.8132348213862
3,246,27.9726608369474,27.8872115640694,28.0526283119889
4,246,30.1325908914624,30.0720354203817,30.2029357501097
5,246,31.6806635092194,31.6297581493152,31.7325774769019
6,246,33.1486618431951,33.0848091617429,33.2129739169043
7,246,34.9370662908986,34.8686793261966,35.0072141000786
8,246,36.83551313469,36.7621409409301,36.9073397050675
9,246,39.2609283340421,39.1670482123113,39.3485929516474
10,247,43.7265213044196,43.4479920973581,43.9929912815527
