decile,n,mean_pct,lo_pct,hi_pct
1,359,15.4007296205988,15.1281370354143,15.6517470998029
2,358,20.0519416439158,19.9586104661496,20.142752971573
3,358,22.9505123528963,22.8636351058102,23.0281826848759
4,358,25.442041804135,25.377211482788,25.5106679040467
5,359,27.7553131907234,27.6835516617833,27.8308907370862
6,358,30.2907075712887,30.2104780713972,30.3611271085799
7,358,32.8657467569313,32.7899302111087,32.941905642065
8,358,35.6993696420385,35.6094100435186,35.8026615696424
9,358,39.5855775732797,39.4584103883549,39.7453955646255
10,359,47.6663058652401,47.1824046902546,48.2171381935408
