decile,n,mean_pct,lo_pct,hi_pct
1,223,-41.8015837305027,-41.8922730019166,-41.7200128605887
2,222,-40.1100472731632,-40.1671767817458,-40.0439309745169
3,222,-38.2755877711048,-38.3599851458382,-38.1993831308198
4,223,-34.3911587618593,-34.580520721937,-34.200436709801
5,222,-31.5540415754238,-31.6135916831483,-31.493075073123
6,222,-30.3583189456626,-30.3941288692625,-30.3236209605069
7,223,-29.4029622517609,-29.4421645552344,-29.3619433414071
8,222,-28.1443510756775,-28.1937658182922,-28.0949053398962
9,222,-26.6467701192417,-26.7178577809651,-26.5780787300802
10,223,-24.0607184736254,-24.2165231311617,-23.9235711218842
