decile,n,mean_pct,lo_pct,hi_pct
1,397,-49.6480102924397,-49.8664144876542,-49.4225085215391
2,396,-42.2079888348285,-42.322525143013,-42.1044983096071
3,397,-39.5181954775039,-39.5762122861191,-39.4654239790363
4,396,-37.666809931173,-37.7179633873733,-37.615497162779
5,397,-34.6196119761894,-34.7795747081669,-34.4552595705198
6,396,-29.1849139211611,-29.253978450775,-29.1130933616669
7,396,-27.6441360983923,-27.6751278921158,-27.6102122213935
8,397,-26.511211723345,-26.5418709494755,-26.4793087405781
9,396,-25.3134086815781,-25.3490557276086,-25.2761827802259
10,397,-23.3940171456316,-23.4820734737066,-23.2949608345692
