decile,n,mean_pct,lo_pct,hi_pct
1,363,-12.8802850702454,-13.1413580480669,-12.5713263486576
2,363,-6.85191798768946,-6.98173890711049,-6.71781605798152
3,363,-3.44218519755008,-3.53399630595116,-3.34006795554962
4,362,-0.542340307503372,-0.621200326755664,-0.460730045449709
5,363,2.37348506791287,2.28387197364617,2.4640004990391
6,363,5.05737483259253,4.98737260698095,5.13280579407388
7,362,7.77041116225264,7.67918177719191,7.86424012379463
8,363,11.0621566873169,10.9549161183394,11.1661025247788
9,363,14.9625789448233,14.8165033662952,15.1106479986471
10,363,22.6847584276373,22.2796686837385,23.1023102542139
