decile,n,mean_pct,lo_pct,hi_pct
1,421,-19.6650975035593,-19.7507717475459,-19.5863738760377
2,421,-17.8781807382954,-17.9161041870514,-17.8377250504327
3,420,-16.6081243427658,-16.6393104706862,-16.5781081976992
4,421,-15.5320668107499,-15.554283608393,-15.5082485778933
5,420,-14.6847716878423,-14.7074793085945,-14.6617346367298
6,421,-13.9145872835002,-13.9358874981106,-13.8927703170925
7,420,-12.9691333626253,-12.9980245068397,-12.9404018171278
8,421,-11.719216644351,-11.7576420080599,-11.6769451765072
9,420,-10.0212806161995,-10.0690890072583,-9.97613126316919
10,421,-7.85995859857559,-7.95797131637238,-7.76205180421979
