treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0,SMD_kept
seller_N_total_value_high,`time_n_sale_str_2023-02`,binary,7323,,,7229,94,0.784246128656371,0.448736239271233,-0.335509889385138,0.0551207389733194
seller_N_total_value_high,`time_n_sale_str_2023-03`,binary,7323,,,7222,101,0.784767264334595,0.434725619049082,-0.350041645285513,0.0613532047845063
seller_N_total_value_high,`time_n_sale_str_2023-04`,binary,7323,,,7182,141,0.789567415214735,0.289526911178545,-0.50004050403619,0.101081776312394
seller_N_total_value_high,`time_n_sale_str_2023-05`,binary,7323,,,7259,64,0.785263331628026,0.176092910321253,-0.609170421306773,0.0601572985677265
seller_N_total_value_high,`time_n_sale_str_2023-06`,binary,7323,,,7212,111,0.781912507592587,0.651742935050992,-0.130169572541595,0.0424797339316089
seller_N_total_value_high,`time_n_sale_str_2023-07`,binary,7323,,,7187,136,0.789132852358792,0.294107798865884,-0.495025053492908,0.0521746152243106
seller_N_total_value_high,`time_n_sale_str_2023-08`,binary,7323,,,7191,132,0.77439725929964,1.08186196155069,0.307464702251047,0.0767299274581643
seller_N_total_value_high,`time_n_sale_str_2023-09`,binary,7323,,,7269,54,0.776556943533535,1.23526014820614,0.458703204672608,0.0505017510830062
seller_N_total_value_high,`time_n_sale_str_2023-10`,binary,7323,,,7186,137,0.805034842988252,-0.536378913614473,-1.34141375660272,0.0461270583821589
seller_N_total_value_high,`time_n_sale_str_2023-11`,binary,7323,,,7223,100,0.790451081852813,0.0206830632553379,-0.769768018597475,0.100818381502415
seller_N_total_value_high,`time_n_sale_str_2023-12`,binary,7323,,,7242,81,0.777915950071877,0.960853828739113,0.182937878667236,0.00223349517292312
seller_N_total_value_high,`time_n_sale_str_2024-01`,binary,7323,,,7181,142,0.812007672180472,-0.841764953377257,-1.65377262555773,0.0911307420554491
seller_N_total_value_high,`time_n_sale_str_2024-02`,binary,7323,,,7185,138,0.777432174688965,0.910480401508618,0.133048226819654,-6.28548768009298e-05
