"traits_combination","k","treated_count","control_count","treated_ok","control_ok","treated_kept","control_kept","treated_prop","control_prop","treated_prop_kept","control_prop_kept","ATE","CI_lower","CI_upper","StdErr","p_value","ATE_pct","CI_lower_pct","CI_upper_pct","overlap_alpha","target_sample","n_total","n_kept","kept_pct"
"Fur_Pink",1,477,8777,477,8777,212,4694,0.0515452777177437,0.948454722282256,0.0432123929881777,0.956787607011822,0.00248253253284732,-0.0969707689569951,0.10193583402269,0.0507414803519604,0.960978977540575,0.248561656828028,-9.24174646703465,10.7312417664864,0.05,"overlap",9254,4906,53.0149124702831
"Mouth_Dumbfounded",1,481,8773,481,8773,259,4694,0.0519775232331965,0.948022476766804,0.0522915404805169,0.947708459519483,-0.0626652570279798,-0.136952635859115,0.0116221218031556,0.0379017238934364,0.0982572814462426,-6.07421689704052,-12.7988472769165,1.16899210632626,0.05,"overlap",9254,4953,53.5228009509401
"Eyes_Wide.Eyed",1,510,8744,510,8744,353,6195,0.0551113032202291,0.944888696779771,0.053909590714722,0.946090409285278,-0.0877092346031042,-0.142600363399622,-0.0328181058065863,0.0280056779574071,0.00173715949765163,-8.39728129868599,-13.2899475231441,-3.2285434758357,0.05,"overlap",9254,6548,70.7585908796196
"Eyes_Sad",1,519,8735,519,8735,373,6014,0.0560838556299978,0.943916144370002,0.058399874745577,0.941600125254423,-0.111932752126779,-0.176930723015952,-0.0469347812376059,0.0331622300454966,0.00073733025867484,-10.5895617903158,-16.2162174609813,-4.58503759811989,0.05,"overlap",9254,6387,69.0188026799222
"Hat_Beanie",1,531,8723,531,8723,426,7212,0.0573805921763562,0.942619407823644,0.0557737627651218,0.944226237234878,-0.0511696556669602,-0.107182150385444,0.00484283905152387,0.028577803427798,0.0733673928150345,-4.98825359540367,-10.1637978902281,0.485458454942767,0.05,"overlap",9254,7638,82.5372811757078
"Fur_Cream",1,591,8663,591,8663,547,8117,0.0638642749081478,0.936135725091852,0.063134810710988,0.936865189289012,-0.0339467933412106,-0.088033353924664,0.0201397672422427,0.0275951839711497,0.21863310040493,-3.33770659540692,-8.42696669865877,2.03439407198043,0.05,"overlap",9254,8664,93.6243786470715
"Fur_Tan",1,592,8662,592,8662,562,8337,0.063972336287011,0.936027663712989,0.0631531632767727,0.936846836723227,-0.0581901793384226,-0.106701643276279,-0.00967871540056641,0.0247507469070695,0.0187206485582974,-5.65294982219383,-10.1206205837833,-0.963202738275382,0.05,"overlap",9254,8899,96.1638210503566
"Mouth_Grin",1,658,8596,658,8596,655,8578,0.0711043872919818,0.928895612708018,0.070941189212607,0.929058810787393,-0.0179537154671538,-0.0696088176342712,0.0337013866999635,0.026354643962815,0.49572257474389,-1.77935077250995,-6.72413727253374,3.42757121268493,0.05,"overlap",9254,9233,99.7730711043873
"Mouth_Bored.Cigarette",1,669,8585,669,8585,669,8583,0.072293062459477,0.927706937540523,0.0723086900129702,0.92769130998703,-0.0147026752208897,-0.0643788945077407,0.0349735440659613,0.0253450098402301,0.561846252231784,-1.45951186598353,-6.23503380898386,3.55923108753387,0.05,"overlap",9254,9252,99.9783877242274
"Eyes_Closed",1,677,8577,677,8577,672,8520,0.0731575534903825,0.926842446509617,0.0731070496083551,0.926892950391645,-0.024437786494679,-0.0766014193829875,0.0277258463936296,0.0266140984124023,0.358499981910865,-2.41416013984194,-7.37410310881522,2.81137846794464,0.05,"overlap",9254,9192,99.3300194510482
"Eyes_Sleepy",1,689,8565,689,8565,687,8551,0.0744542900367409,0.925545709963259,0.0743667460489283,0.925633253951072,-0.0421460080744478,-0.0890696675712253,0.00477765142232972,0.0239406426003967,0.0783336341112171,-4.12702119375559,-8.5218159274623,0.478908259635769,0.05,"overlap",9254,9238,99.8271017938189
"Fur_Golden.Brown",1,727,8527,727,8527,727,8526,0.0785606224335423,0.921439377566458,0.0785691127201989,0.921430887279801,-0.0453696274122402,-0.0897224545004975,-0.00101680032398299,0.0226289934123762,0.0449701546507493,-4.43558157439613,-8.58151220374409,-0.101628355769778,0.05,"overlap",9254,9253,99.9891938621137
"Mouth_Other",1,743,8511,743,8511,743,8500,0.0802896044953534,0.919710395504647,0.0803851563345234,0.919614843665477,0.330341116399477,0.275180012859158,0.385502219939796,0.0281434201736321,0,39.1442691439554,31.6767688650698,47.0352576424851,0.05,"overlap",9254,9243,99.8811324832505
"Earring_Silver.Stud",1,759,8495,759,8495,759,8495,0.0820185865571645,0.917981413442836,0.0820185865571645,0.917981413442836,0.0101477354377848,-0.0371330132772465,0.057428484152816,0.0241228309770567,0.673996551055989,1.01993983108857,-3.64520378473561,5.91095248313223,0.05,"overlap",9254,9254,100
"Eyes_Bloodshot",1,776,8478,776,8478,776,8478,0.0838556299978388,0.916144370002161,0.0838556299978388,0.916144370002161,-0.0121975688370676,-0.0583502006612523,0.033955062987117,0.0235472611347881,0.604455674643301,-1.21234800346673,-5.66804615406865,3.45381166308878,0.05,"overlap",9254,9254,100
"Earring_Silver.Hoop",1,802,8452,802,8452,802,8452,0.0866652258482818,0.913334774151718,0.0866652258482818,0.913334774151718,-0.00788529960869316,-0.0503519435286771,0.0345813443112908,0.0216666550612163,0.715904979844987,-0.785429218819411,-4.91052956347785,3.5186231462403,0.05,"overlap",9254,9254,100
"Background_Gray",1,1082,8172,1082,8172,1082,8172,0.116922411929976,0.883077588070024,0.116922411929976,0.883077588070024,0.0041111372957201,-0.0352835975088151,0.0435058721002553,0.0200993544921098,0.837930941288852,0.411959961326125,-3.46683882060155,4.44661275038327,0.05,"overlap",9254,9254,100
"Background_Blue",1,1142,8112,1142,8112,1142,8112,0.123406094661768,0.876593905338232,0.123406094661768,0.876593905338232,-0.00797084909051328,-0.0467111614109516,0.030769463229925,0.0197654654696114,0.686748498666103,-0.793916610887568,-4.56369853493748,3.12477359582557,0.05,"overlap",9254,9254,100
"Fur_Black",1,1149,8105,1149,8105,1149,8105,0.12416252431381,0.87583747568619,0.12416252431381,0.87583747568619,-0.0840407264791551,-0.120300917834649,-0.0477805351236615,0.0185000976303539,5.55335193297424e-06,-8.06061883402661,-11.3346413308186,-4.66570105783366,0.05,"overlap",9254,9254,100
"Background_New.Punk.Blue",1,1156,8098,1156,8098,1156,8098,0.124918953965853,0.875081046034147,0.124918953965853,0.875081046034147,-0.00737311175025831,-0.0473014487844903,0.0325552252839737,0.0203716005276694,0.717403666885765,-0.734599704266559,-4.62001675506712,3.30909443093947,0.05,"overlap",9254,9254,100
"Background_Army.Green",1,1158,8096,1158,8096,1158,8096,0.125135076723579,0.874864923276421,0.125135076723579,0.874864923276421,0.0134911666659428,-0.0266675821225457,0.0536499154544312,0.0204891575451472,0.510246479899888,1.3582583097111,-2.63151420127905,5.5115157979901,0.05,"overlap",9254,9254,100
"Background_Aquamarine",1,1159,8095,1159,8095,1159,8095,0.125243138102442,0.874756861897558,0.125243138102442,0.874756861897558,-0.0371212681323259,-0.0738057758253537,-0.000436760439298162,0.0187165855576672,0.0473299691932751,-3.64407207704425,-7.11479181481699,-0.0436665073342057,0.05,"overlap",9254,9254,100
"Background_Yellow",1,1176,8078,1176,8078,1176,8078,0.127080181543116,0.872919818456883,0.127080181543116,0.872919818456883,-0.0193334895399224,-0.0566940785050415,0.0180270994251967,0.0190615249822036,0.310455021147548,-1.91477962562889,-5.51169147978229,1.81905683950725,0.05,"overlap",9254,9254,100
"Background_Orange",1,1183,8071,1183,8071,1183,8071,0.127836611195159,0.872163388804841,0.127836611195159,0.872163388804841,0.0343585154890006,-0.00782095252910977,0.076537983507111,0.0215201367439339,0.110360442479319,3.49555878315737,-0.779044845531829,7.95431943950224,0.05,"overlap",9254,9254,100
"Background_Purple",1,1198,8056,1198,8056,1198,8056,0.129457531878107,0.870542468121893,0.129457531878107,0.870542468121893,0.0200906180753667,-0.0200755517987758,0.0602567879495093,0.020492943813338,0.326904698636102,2.02937928975628,-1.98753796687177,6.21092483866359,0.05,"overlap",9254,9254,100
"Fur_Dark.Brown",1,1264,7990,1264,7990,1264,7990,0.136589582883078,0.863410417116922,0.136589582883078,0.863410417116922,-0.0321065901382438,-0.0717555590067605,0.00754237873027295,0.0202290657492432,0.112478357618951,-3.15966456696485,-6.92416164898553,0.75708941149224,0.05,"overlap",9254,9254,100
"Fur_Brown",1,1281,7973,1281,7973,1281,7973,0.138426626323752,0.861573373676248,0.138426626323752,0.861573373676248,-0.0492121100461913,-0.085734549936199,-0.0126896701561835,0.0186338979030652,0.00826619068087875,-4.8020816066778,-8.21621610012085,-1.26094957789634,0.05,"overlap",9254,9254,100
"Mouth_Bored.Unshaven",1,1442,7812,1442,7812,1442,7812,0.155824508320726,0.844175491679274,0.155824508320726,0.844175491679274,-0.0516507279261863,-0.0860723116618284,-0.0172291441905442,0.0175620325181848,0.00327107009919692,-5.03395011835347,-8.24721191446112,-1.70815712198737,0.05,"overlap",9254,9254,100
"Eyes_Bored",1,1586,7668,1586,7668,1586,7668,0.171385346877026,0.828614653122974,0.171385346877026,0.828614653122974,-0.0271121162683117,-0.0615048461710149,0.00728061363439153,0.0175473111748486,0.122325305269884,-2.67478819884074,-5.96516113607185,0.73071817400705,0.05,"overlap",9254,9254,100
"Clothes_No",1,1736,7518,1736,7518,1736,7518,0.187594553706505,0.812405446293495,0.187594553706505,0.812405446293495,0.00363710453205206,-0.0277334126437989,0.035007621707903,0.0160053659060464,0.820234930611143,0.364372682296144,-2.73523721985299,3.56276020206221,0.05,"overlap",9254,9254,100
"Hat_No",1,2088,7166,2088,7166,2088,7166,0.22563215906635,0.77436784093365,0.22563215906635,0.77436784093365,-0.0130666755241069,-0.0439750914495454,0.0178417404013316,0.0157695999619584,0.407331326590976,-1.2981677137698,-4.30222058941541,1.80018550756049,0.05,"overlap",9254,9254,100
"Mouth_Bored",1,2127,7127,2127,7127,2127,7127,0.229846552842014,0.770153447157986,0.229846552842014,0.770153447157986,-0.0568380900032238,-0.0872239552468963,-0.0264522247595512,0.0155029924712615,0.000246118179777044,-5.52529790288879,-8.3528176025434,-2.61054292286013,0.05,"overlap",9254,9254,100
"Earring_No",1,6530,2724,6530,2724,6530,2724,0.705640803976659,0.294359196023341,0.705640803976659,0.294359196023341,-0.0384868855502894,-0.0670403994306011,-0.0099333716699778,0.0145681193266896,0.00824529015910591,-3.77556760381339,-6.4842579253696,-0.988419868614054,0.05,"overlap",9254,9254,100
"Clothes_Hawaiian+Earring_No",2,186,9068,186,9068,87,3568,0.0200994164685541,0.979900583531446,0.0238030095759234,0.976196990424077,0.0404370042484934,-0.128162916140987,0.209036924637974,0.0860203675456534,0.638293295744842,4.12657123202953,-12.0289951496766,23.2490506955834,0.02,"overlap",9254,3655,39.4964339744975
"Clothes_Sailor.Shirt+Earring_No",2,188,9066,188,9066,85,4224,0.0203155392262805,0.97968446077372,0.0197261545602228,0.980273845439777,-0.149195774200244,-0.256668567968172,-0.0417229804323172,0.0548330580448608,0.00651026335004445,-13.8599541595632,-22.6375424755255,-4.08645569402825,0.02,"overlap",9254,4309,46.5636481521504
"Earring_No+Hat_Army.Hat",2,193,9061,193,9061,104,4636,0.0208558461205965,0.979144153879403,0.0219409282700422,0.978059071729958,-0.160229058282139,-0.26002076188489,-0.0604373546793894,0.050914134491199,0.00164929732812946,-14.8051379272921,-22.896442251452,-5.86472614845832,0.02,"overlap",9254,4740,51.2210935811541
"Earring_No+Hat_Sea.Captain.s.Hat",2,189,9065,189,9065,85,4192,0.0204236006051437,0.979576399394856,0.0198737432779986,0.980126256722001,0.0691618507289421,-0.089928787886108,0.228252489343992,0.0811686931709439,0.394172217025018,7.16096359140574,-8.60037294397138,25.6402513633796,0.02,"overlap",9254,4277,46.2178517397882
"Earring_No+Hat_Other",2,208,9046,208,9046,144,5330,0.0224767668035444,0.977523233196456,0.0263061746437706,0.97369382535623,0.294142689249253,0.157112448945202,0.431172929553305,0.0699133879102305,2.58503861283454e-05,34.1975375465005,17.0127186071024,53.9061676193829,0.02,"overlap",9254,5474,59.1527987897126
"Earring_No+Fur_Zombie",2,189,9065,189,9065,85,4173,0.0204236006051437,0.979576399394856,0.019962423673086,0.980037576326914,0.133078261989909,0.00743098108464202,0.258725542895176,0.0641057555639118,0.0379015787618058,14.2339396586934,0.745865934097267,29.5278257718511,0.02,"overlap",9254,4258,46.0125351199481
"Earring_No+Eyes_Zombie",2,203,9051,203,9051,127,5396,0.0219364599092284,0.978063540090772,0.0229947492304907,0.977005250769509,0.0819777817470541,-0.0308870893468959,0.194842652841004,0.0575841179050765,0.154557107603841,8.54316931657206,-3.04149566237844,21.5119775802334,0.02,"overlap",9254,5523,59.6822995461422
"Earring_No+Hat_Short.Mohawk",2,198,9056,198,9056,98,4899,0.0213961530149125,0.978603846985088,0.0196117670602361,0.980388232939764,-0.0814708660439504,-0.18832510176173,0.0253833696738294,0.0545174672029489,0.135071278597116,-7.82404360346731,-17.1654633084558,2.57082706038503,0.02,"overlap",9254,4997,53.9982710179382
"Earring_No+Hat_Halo",2,201,9053,201,9053,117,5705,0.0217203371515021,0.978279662848498,0.0200961868773617,0.979903813122638,0.0155155670957418,-0.137561317139595,0.168592451331079,0.078100451140478,0.842527398779014,1.56365584467937,-12.8519088357883,18.363765066291,0.02,"overlap",9254,5822,62.9133347741517
"Clothes_Navy.Striped.Tee+Earring_No",2,211,9043,211,9043,152,6711,0.022800950940134,0.977199049059866,0.0221477487979018,0.977852251202098,-0.0384977272558925,-0.150181960361557,0.0731865058497723,0.0569817515845229,0.499285102502264,-3.77661083512604,-13.9448624061555,7.59311856631177,0.02,"overlap",9254,6863,74.1625243138102
"Clothes_Black.T+Earring_No",2,224,9030,224,9030,193,7738,0.0242057488653555,0.975794251134644,0.0243348884125583,0.975665111587442,-0.0175504863660812,-0.110401555775032,0.07530058304287,0.0473729945964037,0.711028974985959,-1.73973736231203,-10.4525519858336,7.82081932809506,0.02,"overlap",9254,7931,85.7034795763994
"Earring_No+Eyes_Sunglasses",2,214,9040,214,9040,162,6131,0.0231251350767236,0.976874864923276,0.0257428889242015,0.974257111075798,0.0148777026283727,-0.109874511528668,0.139629916785413,0.0636490888556328,0.815182384931154,1.49889265470464,-10.4053440793461,14.9848180594036,0.02,"overlap",9254,6293,68.0030257186082
"Earring_No+Mouth_Phoneme.Vuh",2,224,9030,224,9030,181,7785,0.0242057488653555,0.975794251134644,0.0227215666582978,0.977278433341702,-0.0494134425605825,-0.13625918926787,0.0374323041467046,0.0443090544424934,0.264764870670289,-4.82124611366881,-12.7383569638313,3.81417168136493,0.02,"overlap",9254,7966,86.0816944024206
"Earring_No+Eyes_Eyepatch",2,224,9030,224,9030,173,7366,0.0242057488653555,0.975794251134644,0.022947340496087,0.977052659503913,-0.0372103799931602,-0.137304989558308,0.0628842295719872,0.051068678349565,0.466225519609751,-3.65265815051771,-12.82956751314,6.49035477551738,0.02,"overlap",9254,7539,81.4674735249622
"Earring_No+Eyes_Robot",2,235,9019,235,9019,203,7894,0.0253944240328507,0.974605575967149,0.0250710139557861,0.974928986044214,0.0177241466047396,-0.0633802622104614,0.0988285554199406,0.0413798004159189,0.668411994027925,1.78821514108709,-6.14135031549666,10.3877029600914,0.02,"overlap",9254,8097,87.4972984655284
