"traits_combination","k","treated_count","control_count","treated_ok","control_ok","treated_kept","control_kept","treated_prop","control_prop","treated_prop_kept","control_prop_kept","ATE","CI_lower","CI_upper","StdErr","p_value","ATE_pct","CI_lower_pct","CI_upper_pct","overlap_alpha","target_sample","n_total","n_kept","kept_pct"
"Earring_No+Hat_Fisherman.s.Hat",2,225,9029,225,9029,188,7647,0.0243138102442187,0.975686189755781,0.0239948947032546,0.976005105296745,-0.0928989517300401,-0.172207034663611,-0.013590868796469,0.0404633076191689,0.0216826686300482,-8.87144205249133,-15.8195127662605,-1.34989299201821,0.02,"overlap",9254,7835,84.6660903393127
"Earring_No+Hat_Cowboy.Hat",2,234,9020,234,9020,206,7603,0.0252863626539875,0.974713637346013,0.026379818158535,0.973620181841465,-0.0250946712338501,-0.111271130925073,0.0610817884573724,0.0439675814751135,0.568166435746319,-2.47824173938861,-10.5303863750463,6.29858506048788,0.02,"overlap",9254,7809,84.3851307542684
"Earring_No+Hat_Fez",2,237,9017,237,9017,218,8194,0.025610546790577,0.974389453209423,0.0259153590109368,0.974084640989063,-0.075743725310138,-0.162588912482371,0.0111014618620953,0.0443087689654252,0.0873672073549077,-7.2946243467,-15.0059483455468,1.11633117526733,0.02,"overlap",9254,8412,90.901231899719
"Earring_No+Fur_Cheetah",2,261,8993,261,8993,252,8746,0.0282040198832937,0.971795980116706,0.0280062236052456,0.971993776394754,0.0390720397977249,-0.0489905483873597,0.127134627982809,0.0449298919311656,0.384506800267171,3.98453912036103,-4.78098706117631,13.5569886974243,0.02,"overlap",9254,8998,97.2336287011022
"Earring_No+Eyes_Heart",2,262,8992,262,8992,256,8880,0.0283120812621569,0.971687918737843,0.0280210157618214,0.971978984238179,-0.0361388330472988,-0.103687921374106,0.0314102552795083,0.0344638205749016,0.294361310071085,-3.54936211722635,-9.84934055352407,3.19087630764505,0.02,"overlap",9254,9136,98.7248757294143
"Earring_No+Fur_White",2,272,8982,272,8982,6,127,0.0293926950507888,0.970607304949211,0.0451127819548872,0.954887218045113,-0.0742213049864145,-0.565688239771046,0.417245629798217,0.250748436114608,0.767230788296264,-7.15338030957148,-43.2030886721904,51.7775277987379,0.05,"overlap",9254,133,1.43721633888048
"Earring_No+Eyes_Crazy",2,280,8974,280,8974,26,367,0.0302571860816944,0.969742813918306,0.0661577608142494,0.933842239185751,0.0922828263695073,-0.245353191817008,0.429918844556022,0.172263274584957,0.59216032534983,9.66749468167609,-21.7571857782893,53.713277179366,0.05,"overlap",9254,393,4.24681218932354
"Clothes_Striped.Tee+Earring_No",2,258,8996,258,8996,258,8992,0.0278798357467041,0.972120164253296,0.0278918918918919,0.972108108108108,-0.113874111069646,-0.170864844335175,-0.056883377804118,0.0290769047273104,8.99154076745567e-05,-10.7629711647367,-15.7064506720008,-5.52957635750527,0.02,"overlap",9254,9250,99.9567754484547
"Earring_No+Hat_Seaman.s.Hat",2,272,8982,272,8982,272,8898,0.0293926950507888,0.970607304949211,0.0296619411123228,0.970338058887677,-0.0189489214255575,-0.0911617826707083,0.0532639398195934,0.0368432965536484,0.607034406594558,-1.87705192341178,-8.71299875965568,5.4707987820908,0.02,"overlap",9254,9170,99.0922844175492
"Clothes_Other+Earring_No",2,274,8980,274,8980,274,8973,0.0296088178085152,0.970391182191485,0.0296312317508381,0.970368768249162,0.284444453940049,0.202350780122052,0.366538127758047,0.0418845274581621,1.11237685729293e-11,32.9023489231259,22.4277384969047,44.2731407615675,0.02,"overlap",9254,9247,99.9243570347958
"Earring_No+Eyes_Angry",2,293,8961,293,8961,4,152,0.0316619840069159,0.968338015993084,0.0256410256410256,0.974358974358974,-0.185749019899818,-0.632137292424617,0.260639252624981,0.227749118635101,0.414736890898982,-16.9517996715946,-46.8545287836269,29.775941767586,0.05,"overlap",9254,156,1.68575751026583
"Earring_No+Mouth_Bored.Unshaven.Cigarette",2,287,8967,287,8967,5,118,0.0310136157337368,0.968986384266263,0.040650406504065,0.959349593495935,-0.254177982801741,-0.68182779600984,0.173471830406357,0.218188680208214,0.244040939853094,-22.4446245468334,-49.4308154404222,18.9427180617338,0.05,"overlap",9254,123,1.32915496001729
"Earring_No+Fur_Red",2,299,8955,299,8955,5,183,0.0323103522800951,0.967689647719905,0.0265957446808511,0.973404255319149,0.901903754743608,-0.577944946598212,2.38175245608543,0.755024847623378,0.232268681341923,146.429005222479,-43.894982928758,982.385458288499,0.05,"overlap",9254,188,2.03155392262805
"Earring_No+Eyes_3d",2,300,8954,300,8954,4,174,0.0324184136589583,0.967581586341042,0.0224719101123595,0.97752808988764,-0.0405841828157637,-1.19509735576065,1.11392899012913,0.589037333135148,0.945069879919769,-3.97716736154209,-69.732551435708,204.630380995874,0.05,"overlap",9254,178,1.92349254376486
"Earring_No+Fur_Gray",2,328,8926,328,8926,6,324,0.0354441322671277,0.964555867732872,0.0181818181818182,0.981818181818182,-0.306397924812669,-0.519774757556097,-0.0930210920692402,0.108865730991545,0.0048859705207398,-26.3906348757972,-40.5345525686248,-8.88257184575766,0.05,"overlap",9254,330,3.56602550248541
"Earring_No+Eyes_Coins",2,298,8956,298,8956,3,148,0.0322022909012319,0.967797709098768,0.0198675496688742,0.980132450331126,-0.029703930465048,-0.266539212780487,0.207131351850391,0.120834327711959,0.805818780811731,-2.92671045562256,-23.3974034870769,23.0144142878604,0.05,"overlap",9254,151,1.63172682083423
"Earring_No+Fur_Blue",2,301,8953,301,8953,8,189,0.0325264750378215,0.967473524962179,0.0406091370558376,0.959390862944162,-0.40328468459042,-0.536588834895188,-0.269980534285652,0.0680123215840652,3.03705549598021e-09,-33.1878131753495,-41.5260502821076,-23.6605645791342,0.05,"overlap",9254,197,2.12880916360493
"Earring_No+Fur_Pink",2,314,8940,314,8940,6,179,0.033931272963043,0.966068727036957,0.0324324324324324,0.967567567567568,-0.356377148433058,-0.554034439918116,-0.158719856947999,0.100845556880132,0.000409490796385636,-29.9791512104189,-42.5373169852301,-14.6764646552763,0.05,"overlap",9254,185,1.99913550896909
"Earring_No+Mouth_Dumbfounded",2,337,8917,337,8917,10,283,0.0364166846768965,0.963583315323103,0.0341296928327645,0.965870307167236,-0.15082925365205,-0.357584392475027,0.0559258851709273,0.105487315726009,0.152764932060423,-14.0005472951606,-30.0636324579319,5.75193029696779,0.05,"overlap",9254,293,3.16619840069159
"Earring_No+Eyes_Wide.Eyed",2,367,8887,367,8887,30,780,0.0396585260427923,0.960341473957208,0.037037037037037,0.962962962962963,-0.0881057507269186,-0.349878866331895,0.173667364878058,0.133557712043355,0.509457285130787,-8.43359605346761,-29.5226543657828,18.9659777372327,0.05,"overlap",9254,810,8.75297168791874
"Earring_No+Eyes_Sad",2,366,8888,366,8888,72,1245,0.0395504646639291,0.960449535336071,0.0546697038724374,0.945330296127563,-0.120242758985014,-0.269008455926469,0.0285229379564414,0.0759008657864567,0.113146392776837,-11.3294845055998,-23.5863205863664,2.89336121982171,0.05,"overlap",9254,1317,14.2316835962827
"Earring_No+Hat_Beanie",2,391,8863,391,8863,32,1148,0.042251999135509,0.957748000864491,0.0271186440677966,0.972881355932203,0.202922410031362,-0.140998282131657,0.546843102194382,0.1754697408995,0.247496142422096,22.4977418600606,-13.1509196350756,72.7789942940417,0.05,"overlap",9254,1180,12.7512427058569
"Earring_No+Fur_Cream",2,441,8813,441,8813,152,2980,0.0476550680786687,0.952344931921331,0.0485312899106003,0.9514687100894,-0.0385486917039121,-0.160719687610383,0.0836223042025586,0.0623321407686075,0.536285310182919,-3.7815146820794,-14.8469267729857,8.72181785140615,0.05,"overlap",9254,3132,33.8448238599525
"Earring_No+Fur_Tan",2,423,8831,423,8831,99,2303,0.0457099632591312,0.954290036740869,0.0412156536219817,0.958784346378018,-0.0925743614541101,-0.195100129471813,0.0099514065635929,0.0523090653151546,0.0767675440598723,-8.84185780760268,-17.7247727818986,1.00010864681135,0.05,"overlap",9254,2402,25.9563432029393
"Earring_No+Mouth_Grin",2,451,8803,451,8803,150,3296,0.0487356818673006,0.951264318132699,0.0435287289611143,0.956471271038886,-0.0619593888109098,-0.164566024122108,0.0406472465002881,0.0523503241383663,0.23659001213254,-6.00789426722028,-15.1738250641885,4.14846533828945,0.05,"overlap",9254,3446,37.2379511562568
"Earring_No+Mouth_Bored.Cigarette",2,479,8775,479,8775,261,4629,0.0517614004754701,0.94823859952453,0.0533742331288344,0.946625766871166,0.000372909321482352,-0.0825328072496123,0.083278625892577,0.0422988349852524,0.992965888160451,0.0372978860807116,-7.92187709383466,8.68445894088021,0.05,"overlap",9254,4890,52.842014264102
"Earring_No+Eyes_Closed",2,474,8780,474,8780,227,4417,0.0512210935811541,0.948778906418846,0.0488802756244617,0.951119724375538,-0.0402708902971304,-0.126782349650366,0.0462405690561051,0.0441384996700181,0.361571027428139,-3.94707941354009,-11.907461454864,4.73263349609978,0.05,"overlap",9254,4644,50.1837043440674
"Earring_No+Eyes_Sleepy",2,475,8779,475,8779,235,4248,0.0513291549600173,0.948670845039983,0.0524202542939996,0.947579745706,-0.0457919377590869,-0.122052833654636,0.0304689581364619,0.0389086203548718,0.239231498240691,-4.47593089651985,-11.4898395885198,3.09378873188568,0.05,"overlap",9254,4483,48.44391614437
"Earring_No+Fur_Golden.Brown",2,510,8744,510,8744,346,6285,0.0551113032202291,0.944888696779771,0.0521791584979641,0.947820841502036,-0.0875960041242014,-0.139867567251973,-0.03532444099643,0.0266691648611079,0.0010214810853606,-8.38690849173078,-13.0526625477133,-3.47078149105786,0.05,"overlap",9254,6631,71.6555003241841
"Earring_No+Mouth_Other",2,508,8746,508,8746,334,5208,0.0548951804625027,0.945104819537497,0.0602670516059184,0.939732948394082,0.358537141345585,0.273424625432886,0.443649657258283,0.043424753016683,2.22044604925031e-16,43.1234189104609,31.4458278754281,55.8384421301858,0.05,"overlap",9254,5542,59.8876161659823
"Eyes_Bloodshot+Mouth_Bored",2,194,9060,194,9060,88,4189,0.0209639074994597,0.97903609250054,0.0205751695113397,0.97942483048866,-0.172214338034285,-0.241350713752521,-0.103077962316049,0.0352736610807326,1.04889614549464e-06,-15.8201275653172,-21.4433930753668,-9.79433556851582,0.02,"overlap",9254,4277,46.2178517397882
"Earring_No+Eyes_Bloodshot",2,556,8698,556,8698,464,7340,0.060082126647936,0.939917873352064,0.0594566888774987,0.940543311122501,-0.0515432630178173,-0.10785290179287,0.00476637575723506,0.028729407538292,0.0727981369627497,-5.02374405211762,-10.2240354447603,0.477775299504613,0.05,"overlap",9254,7804,84.3311000648368
"Earring_Silver.Hoop+Mouth_Bored",2,193,9061,193,9061,85,4535,0.0208558461205965,0.979144153879403,0.0183982683982684,0.981601731601732,0.0161443006800181,-0.1376977138968,0.169986315256836,0.0784908237636824,0.837037816355197,1.62753240461582,-12.8637947422016,18.5288630838891,0.02,"overlap",9254,4620,49.9243570347958
"Background_Gray+Hat_No",2,264,8990,264,8990,255,8662,0.0285282040198833,0.971471795980117,0.0285970617920825,0.971402938207917,-0.034230934396121,-0.116395876808933,0.047934008016691,0.0419208889861286,0.414179740732506,-3.36516841972433,-10.987722542462,4.91014207565845,0.02,"overlap",9254,8917,96.3583315323104
"Background_Gray+Mouth_Bored",2,270,8984,270,8984,263,8554,0.0291765722930625,0.970823427706938,0.029828739934218,0.970171260065782,-0.0659162598171649,-0.1361316443504,0.00429912471606998,0.0358241757822627,0.0657691537657672,-6.37907406562856,-12.7272264749684,0.430837921005423,0.02,"overlap",9254,8817,95.2777177436784
"Background_Gray+Earring_No",2,766,8488,766,8488,766,8488,0.0827750162092068,0.917224983790793,0.0827750162092068,0.917224983790793,-0.00412697909280817,-0.0509492824584462,0.0426953242728299,0.0238889302885908,0.862842465322213,-0.411847481760297,-4.96731324474058,4.36198807614254,0.05,"overlap",9254,9254,100
"Background_Blue+Eyes_Bored",2,189,9065,189,9065,92,4416,0.0204236006051437,0.979576399394856,0.0204081632653061,0.979591836734694,-0.0184748355892151,-0.180575270188452,0.143625599010022,0.0827043033669575,0.823236491343237,-1.83052219483735,-16.521015645675,15.4451799704847,0.02,"overlap",9254,4508,48.714069591528
"Background_Blue+Clothes_No",2,209,9045,209,9045,140,6435,0.0225848281824076,0.977415171817592,0.0212927756653992,0.978707224334601,-0.0335802020712551,-0.116972787768631,0.0498123836261212,0.0425472376007022,0.429968722079568,-3.30226454653498,-11.0390598909116,5.1073879206122,0.02,"overlap",9254,6575,71.0503566025503
