"traits_combination","k","treated_count","control_count","treated_ok","control_ok","n_total","n_kept","kept_pct","treated_kept","control_kept","treated_prop","control_prop","treated_prop_kept","control_prop_kept","overlap_alpha","target_sample","ATE","CI_lower","CI_upper","StdErr","ATE_pct","CI_lower_pct","CI_upper_pct","p_value","q_value_bh"
"Mouth_Bored.Unshaven",1,1442,7812,1442,7812,9254,9254,100,1442,7812,0.155824508320726,0.844175491679274,0.155824508320726,0.844175491679274,0.05,"overlap",-0.0516507279261863,-0.0860723116618284,-0.0172291441905442,0.0175620325181848,-5.03395011835347,-8.24721191446112,-1.70815712198737,0.00327107009919692,0.0212220645460093
"Eyes_Bored",1,1586,7668,1586,7668,9254,9254,100,1586,7668,0.171385346877026,0.828614653122974,0.171385346877026,0.828614653122974,0.05,"overlap",-0.0271121162683117,-0.0615048461710149,0.00728061363439153,0.0175473111748486,-2.67478819884074,-5.96516113607185,0.73071817400705,0.122325305269884,0.353679686975968
"Clothes_No",1,1736,7518,1736,7518,9254,9254,100,1736,7518,0.187594553706505,0.812405446293495,0.187594553706505,0.812405446293495,0.05,"overlap",0.00363710453205206,-0.0277334126437989,0.035007621707903,0.0160053659060464,0.364372682296144,-2.73523721985299,3.56276020206221,0.820234930611143,0.945322894869855
"Hat_No",1,2088,7166,2088,7166,9254,9254,100,2088,7166,0.22563215906635,0.77436784093365,0.22563215906635,0.77436784093365,0.05,"overlap",-0.0130666755241069,-0.0439750914495454,0.0178417404013316,0.0157695999619584,-1.2981677137698,-4.30222058941541,1.80018550756049,0.407331326590976,0.725789559073218
"Mouth_Bored",1,2127,7127,2127,7127,9254,9254,100,2127,7127,0.229846552842014,0.770153447157986,0.229846552842014,0.770153447157986,0.05,"overlap",-0.0568380900032238,-0.0872239552468963,-0.0264522247595512,0.0155029924712615,-5.52529790288879,-8.3528176025434,-2.61054292286013,0.000246118179777044,0.00251797830079591
"Earring_No",1,6530,2724,6530,2724,9254,9254,100,6530,2724,0.705640803976659,0.294359196023341,0.705640803976659,0.294359196023341,0.05,"overlap",-0.0384868855502894,-0.0670403994306011,-0.0099333716699778,0.0145681193266896,-3.77556760381339,-6.4842579253696,-0.988419868614054,0.00824529015910591,0.0439761344222749
"Clothes_Hawaiian+Earring_No",2,186,9068,186,9068,9254,3655,39.4964339744975,87,3568,0.0200994164685541,0.979900583531446,0.0238030095759234,0.976196990424077,0.02,"overlap",0.0404370042484934,-0.128162916140987,0.209036924637974,0.0860203675456534,4.12657123202953,-12.0289951496766,23.2490506955834,0.638293295744842,0.853196063658935
"Clothes_Sailor.Shirt+Earring_No",2,188,9066,188,9066,9254,4309,46.5636481521504,85,4224,0.0203155392262805,0.97968446077372,0.0197261545602228,0.980273845439777,0.02,"overlap",-0.149195774200244,-0.256668567968172,-0.0417229804323172,0.0548330580448608,-13.8599541595632,-22.6375424755255,-4.08645569402825,0.00651026335004445,0.036077709398163
"Earring_No+Hat_Army.Hat",2,193,9061,193,9061,9254,4740,51.2210935811541,104,4636,0.0208558461205965,0.979144153879403,0.0219409282700422,0.978059071729958,0.02,"overlap",-0.160229058282139,-0.26002076188489,-0.0604373546793894,0.050914134491199,-14.8051379272921,-22.896442251452,-5.86472614845832,0.00164929732812946,0.0121864747022899
"Earring_No+Hat_Sea.Captain.s.Hat",2,189,9065,189,9065,9254,4277,46.2178517397882,85,4192,0.0204236006051437,0.979576399394856,0.0198737432779986,0.980126256722001,0.02,"overlap",0.0691618507289421,-0.089928787886108,0.228252489343992,0.0811686931709439,7.16096359140574,-8.60037294397138,25.6402513633796,0.394172217025018,0.716145244643123
"Earring_No+Hat_Other",2,208,9046,208,9046,9254,5474,59.1527987897126,144,5330,0.0224767668035444,0.977523233196456,0.0263061746437706,0.97369382535623,0.02,"overlap",0.294142689249253,0.157112448945202,0.431172929553305,0.0699133879102305,34.1975375465005,17.0127186071024,53.9061676193829,2.58503861283454e-05,0.000382011261674438
"Earring_No+Fur_Zombie",2,189,9065,189,9065,9254,4258,46.0125351199481,85,4173,0.0204236006051437,0.979576399394856,0.019962423673086,0.980037576326914,0.02,"overlap",0.133078261989909,0.00743098108464202,0.258725542895176,0.0641057555639118,14.2339396586934,0.745865934097267,29.5278257718511,0.0379015787618058,0.155104922317544
"Earring_No+Eyes_Zombie",2,203,9051,203,9051,9254,5523,59.6822995461422,127,5396,0.0219364599092284,0.978063540090772,0.0229947492304907,0.977005250769509,0.02,"overlap",0.0819777817470541,-0.0308870893468959,0.194842652841004,0.0575841179050765,8.54316931657206,-3.04149566237844,21.5119775802334,0.154557107603841,0.419512149210427
"Earring_No+Hat_Short.Mohawk",2,198,9056,198,9056,9254,4997,53.9982710179382,98,4899,0.0213961530149125,0.978603846985088,0.0196117670602361,0.980388232939764,0.02,"overlap",-0.0814708660439504,-0.18832510176173,0.0253833696738294,0.0545174672029489,-7.82404360346731,-17.1654633084558,2.57082706038503,0.135071278597116,0.378199580071924
"Earring_No+Hat_Halo",2,201,9053,201,9053,9254,5822,62.9133347741517,117,5705,0.0217203371515021,0.978279662848498,0.0200961868773617,0.979903813122638,0.02,"overlap",0.0155155670957418,-0.137561317139595,0.168592451331079,0.078100451140478,1.56365584467937,-12.8519088357883,18.363765066291,0.842527398779014,0.951385473019588
"Clothes_Navy.Striped.Tee+Earring_No",2,211,9043,211,9043,9254,6863,74.1625243138102,152,6711,0.022800950940134,0.977199049059866,0.0221477487979018,0.977852251202098,0.02,"overlap",-0.0384977272558925,-0.150181960361557,0.0731865058497723,0.0569817515845229,-3.77661083512604,-13.9448624061555,7.59311856631177,0.499285102502264,0.776665715003522
"Clothes_Black.T+Earring_No",2,224,9030,224,9030,9254,7931,85.7034795763994,193,7738,0.0242057488653555,0.975794251134644,0.0243348884125583,0.975665111587442,0.02,"overlap",-0.0175504863660812,-0.110401555775032,0.07530058304287,0.0473729945964037,-1.73973736231203,-10.4525519858336,7.82081932809506,0.711028974985959,0.879398043279325
"Earring_No+Eyes_Sunglasses",2,214,9040,214,9040,9254,6293,68.0030257186082,162,6131,0.0231251350767236,0.976874864923276,0.0257428889242015,0.974257111075798,0.02,"overlap",0.0148777026283727,-0.109874511528668,0.139629916785413,0.0636490888556328,1.49889265470464,-10.4053440793461,14.9848180594036,0.815182384931154,0.945322894869855
"Earring_No+Mouth_Phoneme.Vuh",2,224,9030,224,9030,9254,7966,86.0816944024206,181,7785,0.0242057488653555,0.975794251134644,0.0227215666582978,0.977278433341702,0.02,"overlap",-0.0494134425605825,-0.13625918926787,0.0374323041467046,0.0443090544424934,-4.82124611366881,-12.7383569638313,3.81417168136493,0.264764870670289,0.589770637450275
"Earring_No+Eyes_Eyepatch",2,224,9030,224,9030,9254,7539,81.4674735249622,173,7366,0.0242057488653555,0.975794251134644,0.022947340496087,0.977052659503913,0.02,"overlap",-0.0372103799931602,-0.137304989558308,0.0628842295719872,0.051068678349565,-3.65265815051771,-12.82956751314,6.49035477551738,0.466225519609751,0.751866515863153
"Earring_No+Eyes_Robot",2,235,9019,235,9019,9254,8097,87.4972984655284,203,7894,0.0253944240328507,0.974605575967149,0.0250710139557861,0.974928986044214,0.02,"overlap",0.0177241466047396,-0.0633802622104614,0.0988285554199406,0.0413798004159189,1.78821514108709,-6.14135031549666,10.3877029600914,0.668411994027925,0.86988143164373
"Earring_No+Hat_Fisherman.s.Hat",2,225,9029,225,9029,9254,7835,84.6660903393127,188,7647,0.0243138102442187,0.975686189755781,0.0239948947032546,0.976005105296745,0.02,"overlap",-0.0928989517300401,-0.172207034663611,-0.013590868796469,0.0404633076191689,-8.87144205249133,-15.8195127662605,-1.34989299201821,0.0216826686300482,0.0985048703111634
"Earring_No+Hat_Cowboy.Hat",2,234,9020,234,9020,9254,7809,84.3851307542684,206,7603,0.0252863626539875,0.974713637346013,0.026379818158535,0.973620181841465,0.02,"overlap",-0.0250946712338501,-0.111271130925073,0.0610817884573724,0.0439675814751135,-2.47824173938861,-10.5303863750463,6.29858506048788,0.568166435746319,0.816931199505519
"Earring_No+Hat_Fez",2,237,9017,237,9017,9254,8412,90.901231899719,218,8194,0.025610546790577,0.974389453209423,0.0259153590109368,0.974084640989063,0.02,"overlap",-0.075743725310138,-0.162588912482371,0.0111014618620953,0.0443087689654252,-7.2946243467,-15.0059483455468,1.11633117526733,0.0873672073549077,0.286909594523524
"Earring_No+Fur_Cheetah",2,261,8993,261,8993,9254,8998,97.2336287011022,252,8746,0.0282040198832937,0.971795980116706,0.0280062236052456,0.971993776394754,0.02,"overlap",0.0390720397977249,-0.0489905483873597,0.127134627982809,0.0449298919311656,3.98453912036103,-4.78098706117631,13.5569886974243,0.384506800267171,0.715236425671801
"Earring_No+Eyes_Heart",2,262,8992,262,8992,9254,9136,98.7248757294143,256,8880,0.0283120812621569,0.971687918737843,0.0280210157618214,0.971978984238179,0.02,"overlap",-0.0361388330472988,-0.103687921374106,0.0314102552795083,0.0344638205749016,-3.54936211722635,-9.84934055352407,3.19087630764505,0.294361310071085,0.616536287235502
"Earring_No+Fur_White",2,272,8982,272,8982,9254,133,1.43721633888048,6,127,0.0293926950507888,0.970607304949211,0.0451127819548872,0.954887218045113,0.05,"overlap",-0.0742213049864145,-0.565688239771046,0.417245629798217,0.250748436114608,-7.15338030957148,-43.2030886721904,51.7775277987379,0.767230788296264,0.923454251976498
"Earring_No+Eyes_Crazy",2,280,8974,280,8974,9254,393,4.24681218932354,26,367,0.0302571860816944,0.969742813918306,0.0661577608142494,0.933842239185751,0.05,"overlap",0.0922828263695073,-0.245353191817008,0.429918844556022,0.172263274584957,9.66749468167609,-21.7571857782893,53.713277179366,0.59216032534983,0.824684013314423
"Clothes_Striped.Tee+Earring_No",2,258,8996,258,8996,9254,9250,99.9567754484547,258,8992,0.0278798357467041,0.972120164253296,0.0278918918918919,0.972108108108108,0.02,"overlap",-0.113874111069646,-0.170864844335175,-0.056883377804118,0.0290769047273104,-10.7629711647367,-15.7064506720008,-5.52957635750527,8.99154076745567e-05,0.0011958749220716
"Earring_No+Hat_Seaman.s.Hat",2,272,8982,272,8982,9254,9170,99.0922844175492,272,8898,0.0293926950507888,0.970607304949211,0.0296619411123228,0.970338058887677,0.02,"overlap",-0.0189489214255575,-0.0911617826707083,0.0532639398195934,0.0368432965536484,-1.87705192341178,-8.71299875965568,5.4707987820908,0.607034406594558,0.836638094062966
"Clothes_Other+Earring_No",2,274,8980,274,8980,9254,9247,99.9243570347958,274,8973,0.0296088178085152,0.970391182191485,0.0296312317508381,0.970368768249162,0.02,"overlap",0.284444453940049,0.202350780122052,0.366538127758047,0.0418845274581621,32.9023489231259,22.4277384969047,44.2731407615675,1.11237685729293e-11,9.86307480133064e-10
"Earring_No+Eyes_Angry",2,293,8961,293,8961,9254,156,1.68575751026583,4,152,0.0316619840069159,0.968338015993084,0.0256410256410256,0.974358974358974,0.05,"overlap",-0.185749019899818,-0.632137292424617,0.260639252624981,0.227749118635101,-16.9517996715946,-46.8545287836269,29.775941767586,0.414736890898982,0.725789559073218
"Earring_No+Mouth_Bored.Unshaven.Cigarette",2,287,8967,287,8967,9254,123,1.32915496001729,5,118,0.0310136157337368,0.968986384266263,0.040650406504065,0.959349593495935,0.05,"overlap",-0.254177982801741,-0.68182779600984,0.173471830406357,0.218188680208214,-22.4446245468334,-49.4308154404222,18.9427180617338,0.244040939853094,0.564477304355853
"Earring_No+Fur_Red",2,299,8955,299,8955,9254,188,2.03155392262805,5,183,0.0323103522800951,0.967689647719905,0.0265957446808511,0.973404255319149,0.05,"overlap",0.901903754743608,-0.577944946598212,2.38175245608543,0.755024847623378,146.429005222479,-43.894982928758,982.385458288499,0.232268681341923,0.556928701126157
"Earring_No+Eyes_3d",2,300,8954,300,8954,9254,178,1.92349254376486,4,174,0.0324184136589583,0.967581586341042,0.0224719101123595,0.97752808988764,0.05,"overlap",-0.0405841828157637,-1.19509735576065,1.11392899012913,0.589037333135148,-3.97716736154209,-69.732551435708,204.630380995874,0.945069879919769,0.985970300165611
"Earring_No+Fur_Gray",2,328,8926,328,8926,9254,330,3.56602550248541,6,324,0.0354441322671277,0.964555867732872,0.0181818181818182,0.981818181818182,0.05,"overlap",-0.306397924812669,-0.519774757556097,-0.0930210920692402,0.108865730991545,-26.3906348757972,-40.5345525686248,-8.88257184575766,0.0048859705207398,0.0288815146337064
"Earring_No+Eyes_Coins",2,298,8956,298,8956,9254,151,1.63172682083423,3,148,0.0322022909012319,0.967797709098768,0.0198675496688742,0.980132450331126,0.05,"overlap",-0.029703930465048,-0.266539212780487,0.207131351850391,0.120834327711959,-2.92671045562256,-23.3974034870769,23.0144142878604,0.805818780811731,0.94012191094702
"Earring_No+Fur_Blue",2,301,8953,301,8953,9254,197,2.12880916360493,8,189,0.0325264750378215,0.967473524962179,0.0406091370558376,0.959390862944162,0.05,"overlap",-0.40328468459042,-0.536588834895188,-0.269980534285652,0.0680123215840652,-33.1878131753495,-41.5260502821076,-23.6605645791342,3.03705549598021e-09,1.00982095241342e-07
"Earring_No+Fur_Pink",2,314,8940,314,8940,9254,185,1.99913550896909,6,179,0.033931272963043,0.966068727036957,0.0324324324324324,0.967567567567568,0.05,"overlap",-0.356377148433058,-0.554034439918116,-0.158719856947999,0.100845556880132,-29.9791512104189,-42.5373169852301,-14.6764646552763,0.000409490796385636,0.00375601902891653
"Earring_No+Mouth_Dumbfounded",2,337,8917,337,8917,9254,293,3.16619840069159,10,283,0.0364166846768965,0.963583315323103,0.0341296928327645,0.965870307167236,0.05,"overlap",-0.15082925365205,-0.357584392475027,0.0559258851709273,0.105487315726009,-14.0005472951606,-30.0636324579319,5.75193029696779,0.152764932060423,0.418922391011058
"Earring_No+Eyes_Wide.Eyed",2,367,8887,367,8887,9254,810,8.75297168791874,30,780,0.0396585260427923,0.960341473957208,0.037037037037037,0.962962962962963,0.05,"overlap",-0.0881057507269186,-0.349878866331895,0.173667364878058,0.133557712043355,-8.43359605346761,-29.5226543657828,18.9659777372327,0.509457285130787,0.784540830366302
"Earring_No+Eyes_Sad",2,366,8888,366,8888,9254,1317,14.2316835962827,72,1245,0.0395504646639291,0.960449535336071,0.0546697038724374,0.945330296127563,0.05,"overlap",-0.120242758985014,-0.269008455926469,0.0285229379564414,0.0759008657864567,-11.3294845055998,-23.5863205863664,2.89336121982171,0.113146392776837,0.334410449762652
"Earring_No+Hat_Beanie",2,391,8863,391,8863,9254,1180,12.7512427058569,32,1148,0.042251999135509,0.957748000864491,0.0271186440677966,0.972881355932203,0.05,"overlap",0.202922410031362,-0.140998282131657,0.546843102194382,0.1754697408995,22.4977418600606,-13.1509196350756,72.7789942940417,0.247496142422096,0.567534257623082
"Earring_No+Fur_Cream",2,441,8813,441,8813,9254,3132,33.8448238599525,152,2980,0.0476550680786687,0.952344931921331,0.0485312899106003,0.9514687100894,0.05,"overlap",-0.0385486917039121,-0.160719687610383,0.0836223042025586,0.0623321407686075,-3.7815146820794,-14.8469267729857,8.72181785140615,0.536285310182919,0.795069516660767
"Earring_No+Fur_Tan",2,423,8831,423,8831,9254,2402,25.9563432029393,99,2303,0.0457099632591312,0.954290036740869,0.0412156536219817,0.958784346378018,0.05,"overlap",-0.0925743614541101,-0.195100129471813,0.0099514065635929,0.0523090653151546,-8.84185780760268,-17.7247727818986,1.00010864681135,0.0767675440598723,0.261797009229821
"Earring_No+Mouth_Grin",2,451,8803,451,8803,9254,3446,37.2379511562568,150,3296,0.0487356818673006,0.951264318132699,0.0435287289611143,0.956471271038886,0.05,"overlap",-0.0619593888109098,-0.164566024122108,0.0406472465002881,0.0523503241383663,-6.00789426722028,-15.1738250641885,4.14846533828945,0.23659001213254,0.556928701126157
"Earring_No+Mouth_Bored.Cigarette",2,479,8775,479,8775,9254,4890,52.842014264102,261,4629,0.0517614004754701,0.94823859952453,0.0533742331288344,0.946625766871166,0.05,"overlap",0.000372909321482352,-0.0825328072496123,0.083278625892577,0.0422988349852524,0.0372978860807116,-7.92187709383466,8.68445894088021,0.992965888160451,0.992965888160451
"Earring_No+Eyes_Closed",2,474,8780,474,8780,9254,4644,50.1837043440674,227,4417,0.0512210935811541,0.948778906418846,0.0488802756244617,0.951119724375538,0.05,"overlap",-0.0402708902971304,-0.126782349650366,0.0462405690561051,0.0441384996700181,-3.94707941354009,-11.907461454864,4.73263349609978,0.361571027428139,0.691927289898453
"Earring_No+Eyes_Sleepy",2,475,8779,475,8779,9254,4483,48.44391614437,235,4248,0.0513291549600173,0.948670845039983,0.0524202542939996,0.947579745706,0.05,"overlap",-0.0457919377590869,-0.122052833654636,0.0304689581364619,0.0389086203548718,-4.47593089651985,-11.4898395885198,3.09378873188568,0.239231498240691,0.558206829228279
"Earring_No+Fur_Golden.Brown",2,510,8744,510,8744,9254,6631,71.6555003241841,346,6285,0.0551113032202291,0.944888696779771,0.0521791584979641,0.947820841502036,0.05,"overlap",-0.0875960041242014,-0.139867567251973,-0.03532444099643,0.0266691648611079,-8.38690849173078,-13.0526625477133,-3.47078149105786,0.0010214810853606,0.00849106152205997
"Earring_No+Mouth_Other",2,508,8746,508,8746,9254,5542,59.8876161659823,334,5208,0.0548951804625027,0.945104819537497,0.0602670516059184,0.939732948394082,0.05,"overlap",0.358537141345585,0.273424625432886,0.443649657258283,0.043424753016683,43.1234189104609,31.4458278754281,55.8384421301858,2.22044604925031e-16,2.95319324550292e-14
"Eyes_Bloodshot+Mouth_Bored",2,194,9060,194,9060,9254,4277,46.2178517397882,88,4189,0.0209639074994597,0.97903609250054,0.0205751695113397,0.97942483048866,0.02,"overlap",-0.172214338034285,-0.241350713752521,-0.103077962316049,0.0352736610807326,-15.8201275653172,-21.4433930753668,-9.79433556851582,1.04889614549464e-06,2.1462028823198e-05
"Earring_No+Eyes_Bloodshot",2,556,8698,556,8698,9254,7804,84.3311000648368,464,7340,0.060082126647936,0.939917873352064,0.0594566888774987,0.940543311122501,0.05,"overlap",-0.0515432630178173,-0.10785290179287,0.00476637575723506,0.028729407538292,-5.02374405211762,-10.2240354447603,0.477775299504613,0.0727981369627497,0.260209686517322
"Earring_Silver.Hoop+Mouth_Bored",2,193,9061,193,9061,9254,4620,49.9243570347958,85,4535,0.0208558461205965,0.979144153879403,0.0183982683982684,0.981601731601732,0.02,"overlap",0.0161443006800181,-0.1376977138968,0.169986315256836,0.0784908237636824,1.62753240461582,-12.8637947422016,18.5288630838891,0.837037816355197,0.951385473019588
"Background_Gray+Hat_No",2,264,8990,264,8990,9254,8917,96.3583315323104,255,8662,0.0285282040198833,0.971471795980117,0.0285970617920825,0.971402938207917,0.02,"overlap",-0.034230934396121,-0.116395876808933,0.047934008016691,0.0419208889861286,-3.36516841972433,-10.987722542462,4.91014207565845,0.414179740732506,0.725789559073218
