"traits_combination","k","treated_count","control_count","treated_ok","control_ok","n_total","n_kept","kept_pct","treated_kept","control_kept","treated_prop","control_prop","treated_prop_kept","control_prop_kept","overlap_alpha","target_sample","ATE","CI_lower","CI_upper","StdErr","ATE_pct","CI_lower_pct","CI_upper_pct","p_value","q_value_bh"
"Fur_Pink",1,477,8777,477,8777,9254,4906,53.0149124702831,212,4694,0.0515452777177437,0.948454722282256,0.0432123929881777,0.956787607011822,0.05,"overlap",0.00248253253284732,-0.0969707689569951,0.10193583402269,0.0507414803519604,0.248561656828028,-9.24174646703465,10.7312417664864,0.960978977540575,0.985970300165611
"Mouth_Dumbfounded",1,481,8773,481,8773,9254,4953,53.5228009509401,259,4694,0.0519775232331965,0.948022476766804,0.0522915404805169,0.947708459519483,0.05,"overlap",-0.0626652570279798,-0.136952635859115,0.0116221218031556,0.0379017238934364,-6.07421689704052,-12.7988472769165,1.16899210632626,0.0982572814462426,0.314320464719269
"Eyes_Wide.Eyed",1,510,8744,510,8744,9254,6548,70.7585908796196,353,6195,0.0551113032202291,0.944888696779771,0.053909590714722,0.946090409285278,0.05,"overlap",-0.0877092346031042,-0.142600363399622,-0.0328181058065863,0.0280056779574071,-8.39728129868599,-13.2899475231441,-3.2285434758357,0.00173715949765163,0.0124887682804144
"Eyes_Sad",1,519,8735,519,8735,9254,6387,69.0188026799222,373,6014,0.0560838556299978,0.943916144370002,0.058399874745577,0.941600125254423,0.05,"overlap",-0.111932752126779,-0.176930723015952,-0.0469347812376059,0.0331622300454966,-10.5895617903158,-16.2162174609813,-4.58503759811989,0.00073733025867484,0.00653628536425561
"Hat_Beanie",1,531,8723,531,8723,9254,7638,82.5372811757078,426,7212,0.0573805921763562,0.942619407823644,0.0557737627651218,0.944226237234878,0.05,"overlap",-0.0511696556669602,-0.107182150385444,0.00484283905152387,0.028577803427798,-4.98825359540367,-10.1637978902281,0.485458454942767,0.0733673928150345,0.260209686517322
"Fur_Cream",1,591,8663,591,8663,9254,8664,93.6243786470715,547,8117,0.0638642749081478,0.936135725091852,0.063134810710988,0.936865189289012,0.05,"overlap",-0.0339467933412106,-0.088033353924664,0.0201397672422427,0.0275951839711497,-3.33770659540692,-8.42696669865877,2.03439407198043,0.21863310040493,0.540556707881608
"Fur_Tan",1,592,8662,592,8662,9254,8899,96.1638210503566,562,8337,0.063972336287011,0.936027663712989,0.0631531632767727,0.936846836723227,0.05,"overlap",-0.0581901793384226,-0.106701643276279,-0.00967871540056641,0.0247507469070695,-5.65294982219383,-10.1206205837833,-0.963202738275382,0.0187206485582974,0.0889230806519125
"Mouth_Grin",1,658,8596,658,8596,9254,9233,99.7730711043873,655,8578,0.0711043872919818,0.928895612708018,0.070941189212607,0.929058810787393,0.05,"overlap",-0.0179537154671538,-0.0696088176342712,0.0337013866999635,0.026354643962815,-1.77935077250995,-6.72413727253374,3.42757121268493,0.49572257474389,0.776665715003522
"Mouth_Bored.Cigarette",1,669,8585,669,8585,9254,9252,99.9783877242274,669,8583,0.072293062459477,0.927706937540523,0.0723086900129702,0.92769130998703,0.05,"overlap",-0.0147026752208897,-0.0643788945077407,0.0349735440659613,0.0253450098402301,-1.45951186598353,-6.23503380898386,3.55923108753387,0.561846252231784,0.812234255943775
"Eyes_Closed",1,677,8577,677,8577,9254,9192,99.3300194510482,672,8520,0.0731575534903825,0.926842446509617,0.0731070496083551,0.926892950391645,0.05,"overlap",-0.024437786494679,-0.0766014193829875,0.0277258463936296,0.0266140984124023,-2.41416013984194,-7.37410310881522,2.81137846794464,0.358499981910865,0.691927289898453
"Eyes_Sleepy",1,689,8565,689,8565,9254,9238,99.8271017938189,687,8551,0.0744542900367409,0.925545709963259,0.0743667460489283,0.925633253951072,0.05,"overlap",-0.0421460080744478,-0.0890696675712253,0.00477765142232972,0.0239406426003967,-4.12702119375559,-8.5218159274623,0.478908259635769,0.0783336341112171,0.263678371114156
"Fur_Golden.Brown",1,727,8527,727,8527,9254,9253,99.9891938621137,727,8526,0.0785606224335423,0.921439377566458,0.0785691127201989,0.921430887279801,0.05,"overlap",-0.0453696274122402,-0.0897224545004975,-0.00101680032398299,0.0226289934123762,-4.43558157439613,-8.58151220374409,-0.101628355769778,0.0449701546507493,0.181243350562111
"Mouth_Other",1,743,8511,743,8511,9254,9243,99.8811324832505,743,8500,0.0802896044953534,0.919710395504647,0.0803851563345234,0.919614843665477,0.05,"overlap",0.330341116399477,0.275180012859158,0.385502219939796,0.0281434201736321,39.1442691439554,31.6767688650698,47.0352576424851,0,0
"Earring_Silver.Stud",1,759,8495,759,8495,9254,9254,100,759,8495,0.0820185865571645,0.917981413442836,0.0820185865571645,0.917981413442836,0.05,"overlap",0.0101477354377848,-0.0371330132772465,0.057428484152816,0.0241228309770567,1.01993983108857,-3.64520378473561,5.91095248313223,0.673996551055989,0.86988143164373
"Eyes_Bloodshot",1,776,8478,776,8478,9254,9254,100,776,8478,0.0838556299978388,0.916144370002161,0.0838556299978388,0.916144370002161,0.05,"overlap",-0.0121975688370676,-0.0583502006612523,0.033955062987117,0.0235472611347881,-1.21234800346673,-5.66804615406865,3.45381166308878,0.604455674643301,0.836638094062966
"Earring_Silver.Hoop",1,802,8452,802,8452,9254,9254,100,802,8452,0.0866652258482818,0.913334774151718,0.0866652258482818,0.913334774151718,0.05,"overlap",-0.00788529960869316,-0.0503519435286771,0.0345813443112908,0.0216666550612163,-0.785429218819411,-4.91052956347785,3.5186231462403,0.715904979844987,0.879398043279325
"Background_Gray",1,1082,8172,1082,8172,9254,9254,100,1082,8172,0.116922411929976,0.883077588070024,0.116922411929976,0.883077588070024,0.05,"overlap",0.0041111372957201,-0.0352835975088151,0.0435058721002553,0.0200993544921098,0.411959961326125,-3.46683882060155,4.44661275038327,0.837930941288852,0.951385473019588
"Background_Blue",1,1142,8112,1142,8112,9254,9254,100,1142,8112,0.123406094661768,0.876593905338232,0.123406094661768,0.876593905338232,0.05,"overlap",-0.00797084909051328,-0.0467111614109516,0.030769463229925,0.0197654654696114,-0.793916610887568,-4.56369853493748,3.12477359582557,0.686748498666103,0.86988143164373
"Fur_Black",1,1149,8105,1149,8105,9254,9254,100,1149,8105,0.12416252431381,0.87583747568619,0.12416252431381,0.87583747568619,0.05,"overlap",-0.0840407264791551,-0.120300917834649,-0.0477805351236615,0.0185000976303539,-8.06061883402661,-11.3346413308186,-4.66570105783366,5.55335193297424e-06,9.23244758856967e-05
"Background_New.Punk.Blue",1,1156,8098,1156,8098,9254,9254,100,1156,8098,0.124918953965853,0.875081046034147,0.124918953965853,0.875081046034147,0.05,"overlap",-0.00737311175025831,-0.0473014487844903,0.0325552252839737,0.0203716005276694,-0.734599704266559,-4.62001675506712,3.30909443093947,0.717403666885765,0.879398043279325
"Background_Army.Green",1,1158,8096,1158,8096,9254,9254,100,1158,8096,0.125135076723579,0.874864923276421,0.125135076723579,0.874864923276421,0.05,"overlap",0.0134911666659428,-0.0266675821225457,0.0536499154544312,0.0204891575451472,1.3582583097111,-2.63151420127905,5.5115157979901,0.510246479899888,0.784540830366302
"Background_Aquamarine",1,1159,8095,1159,8095,9254,9254,100,1159,8095,0.125243138102442,0.874756861897558,0.125243138102442,0.874756861897558,0.05,"overlap",-0.0371212681323259,-0.0738057758253537,-0.000436760439298162,0.0187165855576672,-3.64407207704425,-7.11479181481699,-0.0436665073342057,0.0473299691932751,0.186301886490207
"Background_Yellow",1,1176,8078,1176,8078,9254,9254,100,1176,8078,0.127080181543116,0.872919818456883,0.127080181543116,0.872919818456883,0.05,"overlap",-0.0193334895399224,-0.0566940785050415,0.0180270994251967,0.0190615249822036,-1.91477962562889,-5.51169147978229,1.81905683950725,0.310455021147548,0.645164340822248
"Background_Orange",1,1183,8071,1183,8071,9254,9254,100,1183,8071,0.127836611195159,0.872163388804841,0.127836611195159,0.872163388804841,0.05,"overlap",0.0343585154890006,-0.00782095252910977,0.076537983507111,0.0215201367439339,3.49555878315737,-0.779044845531829,7.95431943950224,0.110360442479319,0.333589519312487
"Background_Purple",1,1198,8056,1198,8056,9254,9254,100,1198,8056,0.129457531878107,0.870542468121893,0.129457531878107,0.870542468121893,0.05,"overlap",0.0200906180753667,-0.0200755517987758,0.0602567879495093,0.020492943813338,2.02937928975628,-1.98753796687177,6.21092483866359,0.326904698636102,0.65876249876669
"Fur_Dark.Brown",1,1264,7990,1264,7990,9254,9254,100,1264,7990,0.136589582883078,0.863410417116922,0.136589582883078,0.863410417116922,0.05,"overlap",-0.0321065901382438,-0.0717555590067605,0.00754237873027295,0.0202290657492432,-3.15966456696485,-6.92416164898553,0.75708941149224,0.112478357618951,0.334410449762652
"Fur_Brown",1,1281,7973,1281,7973,9254,9254,100,1281,7973,0.138426626323752,0.861573373676248,0.138426626323752,0.861573373676248,0.05,"overlap",-0.0492121100461913,-0.085734549936199,-0.0126896701561835,0.0186338979030652,-4.8020816066778,-8.21621610012085,-1.26094957789634,0.00826619068087875,0.0439761344222749
