feature,avg_rank,times_in_top5,combos_covered
Earring_No,2,1,1
Mouth_Bored,2,1,1
Mouth_Other,2,1,1
Mouth_Bored_Unshaven,3,1,1
Hat_No,3.66666666666667,2,3
Fur_Dark_Brown,4,1,1
month_sale,4.33333333333333,2,3
Eyes_Bored,4.33333333333333,2,3
Background_Army_Green,5.33333333333333,2,3
Background_Orange,7,1,3
Eyes_Sad,8,0,1
Eyes_Wide_Eyed,9,0,1
Clothes_No,9.33333333333333,2,3
Background_Aquamarine,10,0,3
Eyes_Zombie,10,0,1
Clothes_Bandolier,10.5,1,2
Background_Blue,10.6666666666667,0,3
Clothes_Caveman_Pelt,11,0,1
Clothes_Bayc_T_Black,11.5,1,2
Clothes_Cowboy_Shirt,12,0,1
Background_New_Punk_Blue,12.3333333333333,0,3
Clothes_Bayc_T_Red,12.5,1,2
Background_Purple,12.6666666666667,0,3
Background_Yellow,13,0,3
Background_Gray,13,0,3
Eyes_Coins,13,0,2
Clothes_Guayabera,13,0,1
Clothes_Navy_Striped_Tee,13,0,2
Eyes_Bloodshot,13.3333333333333,1,3
Clothes_Biker_Vest,13.5,0,2
Fur_Black,14,0,1
Eyes_3d,14,0,1
Clothes_Hawaiian,14,0,1
Clothes_Black_Holes_T,14.5,0,2
Fur_Brown,15,0,1
Eyes_Angry,15,0,1
Clothes_Hip_Hop,15,0,1
Clothes_Black_T,15.5,0,2
Eyes_Blindfold,16,0,1
Clothes_Lab_Coat,16,0,1
Clothes_Bone_Necklace,16.5,0,2
Earring_Silver_Hoop,17,0,1
Clothes_Leather_Jacket,17,0,1
Clothes_Bone_Tee,17.5,0,2
Clothes_Leather_Punk_Jacket,18,0,1
Fur_Cream,19,0,1
Clothes_Lumberjack_Shirt,19,0,1
Eyes_Closed,19.5,0,2
Earring_Silver_Stud,20,0,1
Eyes_Crazy,20,0,1
Eyes_Cyborg,21,0,1
Fur_Golden_Brown,22,0,1
Eyes_Eyepatch,22,0,1
Clothes_Other,22,0,1
Eyes_Sleepy,23,0,1
Eyes_Heart,23,0,1
Clothes_Prison_Jumpsuit,23,0,1
Hat_Beanie,24,0,1
Eyes_Holographic,24,0,1
Clothes_Prom_Dress,24,0,1
Fur_Pink,25,0,1
Eyes_Hypnotized,25,0,1
Clothes_Puffy_Vest,25,0,1
