model,treatment,ATE_pct,cutoff_raw,split_rule,CI95_lo_pct,CI95_hi_pct,p_value,q_value_bh,kept_pct,total_covariates,count_gt_0_10,count_gt_0_25,median_abs_smd,p90_abs_smd,max_abs_smd,flags
PDS,seller_N_total_value_high,13.5731011635359,1906.9973705057,median,9.05930199876417,18.2737196323603,7.68913228800716e-10,1.02521763840095e-09,72.6693835965359,257,11,4,0.0229661930280241,0.0751027445602073,1.11567404791626,***
PDS,seller_N_1_total_value_high,-12.6084198170783,1642.14456853104,median,-15.6051273663057,-9.50530466445798,3.7182823608004e-14,1.48731294432016e-13,87.6082526744778,257,17,2,0.0240456683775346,0.0887413341930541,1.17562546408474,***
PDS,buyer_N_total_value_high,10.110439810814,1229.58184288379,median,6.48419216913405,13.860176880276,1.72834323804467e-08,1.72834323804467e-08,92.77890983189,257,23,2,0.0262349930961297,0.0829048537591304,1.44020550845068,***
PDS,buyer_N_1_total_value_high,-11.2110126464246,2081.83465951533,median,-14.4466099563882,-7.85304625270047,3.42546171702368e-10,6.85092343404735e-10,72.7203260315843,257,11,4,0.0295944850771067,0.0722257577765001,1.04111615484488,***
