treatment,model,n_used,treated_share,overlap_alpha,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,q_value_bh
seller_N_total_value_high,PDS,5706,0.465825446898002,0.1,0.127276506728584,0.0206912772435108,0.0867216033313033,0.167831410125866,6.15121556928056,7.68913228800716e-10,12.7276506728584,8.67216033313033,16.7831410125866,13.5731011635359,9.05930199876417,18.2737196323603,1.02521763840095e-09
seller_N_1_total_value_high,PDS,6879,0.429277511266172,0.1,-0.134771244547111,0.0178021900357577,-0.169663537017196,-0.0998789520770254,-7.57048679271523,3.7182823608004e-14,-13.4771244547111,-16.9663537017196,-9.98789520770254,-12.6084198170783,-15.6051273663057,-9.50530466445798,1.48731294432016e-13
buyer_N_total_value_high,PDS,7285,0.461084420041181,0.1,0.096313674415273,0.017085365616085,0.0628263578077463,0.1298009910228,5.63720300633183,1.72834323804467e-08,9.6313674415273,6.28263578077463,12.98009910228,10.110439810814,6.48419216913405,13.860176880276,1.72834323804467e-08
buyer_N_1_total_value_high,PDS,5710,0.508056042031524,0.1,-0.118907559969188,0.0189397959215764,-0.156029559975478,-0.0817855599628982,-6.2781859140165,3.42546171702368e-10,-11.8907559969188,-15.6029559975478,-8.17855599628982,-11.2110126464246,-14.4466099563882,-7.85304625270047,6.85092343404735e-10
