decile,n,mean_pct,lo_pct,hi_pct
1,326,57.8076843603756,57.3909454190968,58.256917508568
2,326,68.0866380612766,67.8022814825149,68.3448389999894
3,326,75.0810890663814,74.8908511317454,75.2738338341098
4,325,80.8396099529844,80.6808913485072,81.0169249612419
5,326,85.4029508606726,85.2924886383289,85.5219425013696
6,326,89.1430072226377,89.0352816379229,89.2540567206349
7,325,92.9111077012702,92.804851806643,93.0232767501072
8,326,96.3539959720721,96.2407871414768,96.4651654204301
9,326,100.160734589828,100.033037573744,100.29469414455
10,326,106.568404185045,106.238457833392,106.930124256979
