"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Fur_Brown+Mouth_Bored",2,61,-0.180297162637351,0.0555633493009796,-0.289201327267271,-0.0713929980074306,-16.4977962811772
"Fur_Brown+Mouth_Bored",2,106,-0.178392816748164,0.0578895407607039,-0.291856316639144,-0.0649293168571846,-16.3386276948682
"Fur_Brown+Mouth_Bored",2,173,-0.17839829358004,0.0564861244318018,-0.289111097466372,-0.0676854896937085,-16.3390858928841
"Fur_Brown+Mouth_Bored",2,305,-0.178542095673762,0.0581817443571924,-0.292578314613859,-0.0645058767336654,-16.3511156425231
"Fur_Brown+Mouth_Bored",2,379,-0.178633022300768,0.0608636106589302,-0.297925699192271,-0.0593403454092649,-16.3587212076511
"Fur_Brown+Mouth_Bored",2,489,-0.182923430203936,0.0593649249778659,-0.299278683160553,-0.0665681772473191,-16.7168076933761
"Fur_Brown+Mouth_Bored",2,761,-0.160539036864046,0.0519797656612887,-0.262419377560172,-0.0586586961679203,-14.8315424171985
"Fur_Brown+Mouth_Bored",2,834,-0.182688776676137,0.0555209971052862,-0.291509931002498,-0.073867622349776,-16.6972627054345
"Fur_Brown+Mouth_Bored",2,846,-0.172353731349831,0.0544586226831624,-0.279092631808829,-0.0656148308908327,-15.8318608590478
"Fur_Brown+Mouth_Bored",2,922,-0.179876496132212,0.0610665081240285,-0.299566852055308,-0.0601861402091159,-16.4626623116434
"Fur_Brown+Mouth_Bored",2,965,-0.173453007437717,0.057700232352798,-0.286545462849201,-0.0603605520262331,-15.9243340456738
"Fur_Brown+Mouth_Bored",2,1088,-0.184148429668279,0.0506156356680953,-0.283355075577746,-0.0849417837588119,-16.8187670964832
"Fur_Brown+Mouth_Bored",2,1257,-0.184688128148901,0.0564898485295513,-0.295408231266821,-0.07396802503098,-16.8636477693926
"Fur_Brown+Mouth_Bored",2,1266,-0.183242595792177,0.0557217083757088,-0.292457144208566,-0.0740280473757876,-16.7433845809996
"Fur_Brown+Mouth_Bored",2,1312,-0.181660266388177,0.0623561929539096,-0.30387840457784,-0.0594421281985142,-16.611540907793
"Fur_Brown+Mouth_Bored",2,1341,-0.175629496836506,0.0583072826842394,-0.289911770897615,-0.0613472227753967,-16.1071248480394
"Fur_Brown+Mouth_Bored",2,1354,-0.178314805109949,0.0588007573743357,-0.293564289563647,-0.0630653206562513,-16.3321008795789
"Fur_Brown+Mouth_Bored",2,1393,-0.178499041725595,0.0572414270000098,-0.290692238645615,-0.0663058448055761,-16.3475141502631
"Fur_Brown+Mouth_Bored",2,1524,-0.163165837617085,0.0665068045514878,-0.293519174538001,-0.0328125006961685,-15.0549694081461
"Fur_Brown+Mouth_Bored",2,1586,-0.185557024142751,0.0572191566526571,-0.297706571181959,-0.0734074771035435,-16.9358532387248
"Fur_Brown+Mouth_Bored",2,1607,-0.181155114569173,0.0564305151146554,-0.291758924193898,-0.070551304944449,-16.5694064347418
"Fur_Brown+Mouth_Bored",2,1682,-0.174040104159703,0.0542736180065441,-0.28041639545253,-0.0676638128668768,-15.9736801066816
"Fur_Brown+Mouth_Bored",2,1731,-0.183518606575771,0.0584194935397873,-0.298020813913754,-0.0690163992377875,-16.7663611336268
"Fur_Brown+Mouth_Bored",2,1749,-0.182347190098928,0.0555176123429441,-0.291161710291098,-0.0735326699067573,-16.6688027480369
"Fur_Brown+Mouth_Bored",2,1873,-0.179862293020117,0.0552533094200067,-0.28815877948333,-0.0715658065569042,-16.4614758130462
"Fur_Brown+Mouth_Bored",2,1882,-0.172813001625199,0.0543575099872858,-0.279353721200279,-0.0662722820501186,-15.8705079080885
"Fur_Brown+Mouth_Bored",2,1989,-0.184351247726166,0.0585627493101496,-0.299134236374059,-0.0695682590782723,-16.8356360418721
"Fur_Brown+Mouth_Bored",2,2009,-0.178447121297252,0.0569728144876175,-0.290113837692982,-0.0667804049015213,-16.3431707646115
"Fur_Brown+Mouth_Bored",2,2145,2.7101585445299,9.05347746061431,-15.0346572782741,20.454974367334,1403.16585131974
"Fur_Brown+Mouth_Bored",2,2160,-0.148795713842032,0.0605171437253345,-0.267409315543688,-0.0301821121403766,-13.825486047765
"Fur_Brown+Mouth_Bored",2,2358,-0.176244725987563,0.0582429250131979,-0.290400859013431,-0.0620885929616954,-16.158722316638
"Fur_Brown+Mouth_Bored",2,2417,-0.183522985723419,0.0568488359492228,-0.294946704183896,-0.0720992672629425,-16.7667256252226
"Fur_Brown+Mouth_Bored",2,2477,-0.181002830246763,0.057282061678732,-0.293275671137078,-0.0687299893564481,-16.5567002958841
"Fur_Brown+Mouth_Bored",2,2643,-0.182805845038795,0.0550552447533344,-0.29071412475533,-0.0748975653222591,-16.7070142496847
"Fur_Brown+Mouth_Bored",2,2820,-0.181325708128958,0.0602201763621023,-0.299357253798679,-0.0632941624592377,-16.5836379427568
"Fur_Brown+Mouth_Bored",2,2848,-0.176002439204028,0.0591582647890353,-0.291952638190537,-0.0600522402175187,-16.1384062220794
"Fur_Brown+Mouth_Bored",2,2877,-0.178668920269288,0.0525592082201674,-0.281684968380816,-0.0756528721577595,-16.361723705752
"Fur_Brown+Mouth_Bored",2,2888,-0.18159693497368,0.0615401540174184,-0.30221563684782,-0.0609782330995399,-16.6062596314924
"Fur_Brown+Mouth_Bored",2,2906,-0.183883495076046,0.0568237613744968,-0.29525806737006,-0.0725089227820326,-16.7967265909452
"Fur_Brown+Mouth_Bored",2,2938,-0.180807297023714,0.0590997973344482,-0.296642899799233,-0.064971694248196,-16.5403827632933
"Fur_Brown+Mouth_Bored",2,2965,-0.178672597734166,0.0584349126131589,-0.293205026455957,-0.0641401690123745,-16.36203128201
"Fur_Brown+Mouth_Bored",2,2966,-0.180180091756943,0.0603390336070677,-0.298444597626796,-0.0619155858870903,-16.488020032426
"Fur_Brown+Mouth_Bored",2,3036,-0.180599405698073,0.0535967318273579,-0.285649000079695,-0.075549811316452,-16.5230304291911
"Fur_Brown+Mouth_Bored",2,3058,-0.18113521229589,0.0613890760440411,-0.301457801342211,-0.0608126232495696,-16.567745959745
"Fur_Brown+Mouth_Bored",2,3112,-0.176200554790974,0.0561118316223675,-0.286179744770815,-0.0662213648111337,-16.1550188652869
"Fur_Brown+Mouth_Bored",2,3325,-0.175794228760455,0.0572332587642083,-0.287971415938303,-0.0636170415826063,-16.1209435445473
"Fur_Brown+Mouth_Bored",2,3466,-0.181242917432311,0.054510324918977,-0.288083154273506,-0.0744026805911158,-16.576731558142
"Fur_Brown+Mouth_Bored",2,3477,-0.180655945119562,0.0607192719434634,-0.29966571812875,-0.0616461721103734,-16.5277500353351
"Fur_Brown+Mouth_Bored",2,3596,-0.1761512665442,0.0606223205134608,-0.294971014750583,-0.0573315183378164,-16.1508861913206
"Fur_Brown+Mouth_Bored",2,3838,-0.183867684495439,0.0533199427870984,-0.288374772358152,-0.0793605966327258,-16.7954110884848
"Fur_Brown+Mouth_Bored",2,3955,-0.182096673986817,0.0547703523323094,-0.289446564558143,-0.0747467834154907,-16.6479243254024
"Fur_Brown+Mouth_Bored",2,3958,-0.176825792316398,0.05857621131565,-0.291635166495072,-0.0620164181377242,-16.2074255088034
"Fur_Brown+Mouth_Bored",2,3984,-0.176308874840597,0.0527367926185993,-0.279672988373052,-0.0729447613081426,-16.1641004659354
"Fur_Brown+Mouth_Bored",2,4048,-0.181157169534202,0.0556053359578676,-0.290143628011623,-0.0721707110567818,-16.5695778815178
"Fur_Brown+Mouth_Bored",2,4053,-0.179488975174494,0.0576396713148436,-0.292462730951587,-0.0665152193974007,-16.4302835692218
"Fur_Brown+Mouth_Bored",2,4174,-0.180560724811566,0.0572023380364005,-0.292677307362911,-0.0684441422602216,-16.5198014035548
"Fur_Brown+Mouth_Bored",2,4212,-0.178669239390414,0.0516581298085285,-0.27991917381513,-0.0774193049656981,-16.3617503964887
"Fur_Brown+Mouth_Bored",2,4226,-0.178167770161359,0.0500264925125948,-0.276219695486045,-0.080115844836673,-16.3197978698691
"Fur_Brown+Mouth_Bored",2,4300,-0.178399670202978,0.057177873676367,-0.290468302608657,-0.0663310377972987,-16.3392010623382
"Fur_Brown+Mouth_Bored",2,4361,-0.181969233939994,0.0604564059932231,-0.300463789686712,-0.0634746781932771,-16.6373012560878
"Fur_Brown+Mouth_Bored",2,4415,-0.181223325147276,0.0556622380252564,-0.290321311676779,-0.0721253386177737,-16.5750970896767
"Fur_Brown+Mouth_Bored",2,4432,-0.180237970291231,0.0561052517549415,-0.290204263730916,-0.0702716768515457,-16.4928534435453
