treatment,ATE_pct_grf,p_grf,ATE_pct_pds,p_pds
seller_N_total_value_high,-12.9988293899296,0.00414648474160592,7.13824370935334,0.0082693912841512
seller_N_1_total_value_high,-42.6100919752993,1.49919105201373e-32,-12.1235176307704,2.70350826119142e-08
buyer_N_total_value_high,4.34959240971964,0.318103781439514,3.8300630703932,0.0716946810858952
buyer_N_1_total_value_high,-36.4741522411879,8.45754209981242e-27,-6.09666866873585,0.00129765946054084
buyer_N_gaspaid_high,-14.6721743007461,0.000382940012809249,-5.40741872061182,0.0125728324976112
buyer_N_1_gaspaid_high,48.6727996993892,2.34072453608113e-17,9.50146547905464,0.000174384831363667
seller_N_gaspaid_high,7.35989803885337,0.174766249813704,-3.02430716478859,0.243834732418548
seller_N_1_gaspaid_high,85.2257062989602,1.6512986279202e-28,12.716890080943,9.00181615520727e-06
buyer_N_gaslimit_cost_high,41.8420241895034,6.50382674422925e-18,3.11134112155225,0.0766323520454234
buyer_N_1_gaslimit_cost_high,32.01317293247,6.57122201987109e-10,2.24321288225149,0.332901076696763
seller_N_gaslimit_cost_high,43.6429324512736,6.9254665627054e-14,0.542328306713324,0.826856903458062
seller_N_1_gaslimit_cost_high,6.33542975132231,0.225577342090306,-2.1957644891466,0.394655697631897
