treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log
seller_N_gaspaid_high,GRF,3221,0.436199937907482,0.05,overlap,0.0710165375222116,0.0523316679703442,-0.0315535316996629,0.173586606744086,1.35704708595293,0.174766249813704,7.10165375222116,-3.15535316996629,17.3586606744086,7.35989803885337,-3.10609138907511,18.9563706547947,"log_buyern_1_avg_total_gaspaid:0.0658, log_buyern_1_rolling_avg_value_last10:0.0615, log_sellern_1_avg_total_gaspaid:0.0613, log_buyern_rolling_avg_value_last10:0.0607, log_sellern_1_avg_gasLimit_cost:0.0605, log_buyern_1_avg_gasLimit_cost:0.0578, log_buyern_total_value:0.0574, log_sellern_1_total_value:0.0569",,,,0.0929724848205786,0.0316711178018436
seller_N_gaspaid_high,PDS,3221,0.436199937907482,0.05,,-0.0307098282151777,0.0263500689074956,-0.0823550142640177,0.0209353578336623,-1.16545532852257,0.243834732418548,-3.07098282151777,-8.23550142640177,2.09353578336623,-3.02430716478859,-7.90550479405833,2.11560397653972,,,,,,
seller_N_1_gaspaid_high,GRF,3258,0.440454266421117,0.05,overlap,0.616404929501907,0.0556552893694617,0.507320562337763,0.725489296666052,11.0754060662585,1.6512986279202e-28,61.6404929501907,50.7320562337763,72.5489296666052,85.2257062989602,66.0835123548308,106.574161321021,"sold_after_30d:0.0751, log_sellern_1_total_value:0.0705, log_sellern_avg_gasLimit_cost:0.0663, log_sellern_1_rolling_avg_value_last10:0.0639, log_buyern_1_avg_gasLimit_cost:0.0624, log_price_1_sale:0.0596, log_sellern_avg_total_gaspaid:0.0567, log_sellern_total_value:0.0551",,,,0.598557431726103,0.0316506822910641
seller_N_1_gaspaid_high,PDS,3258,0.440454266421117,0.05,,0.119709091450108,0.0269623680534047,0.066863821127522,0.172554361772695,4.43985822065033,9.00181615520727e-06,11.9709091450108,6.6863821127522,17.2554361772695,12.716890080943,6.91498726364606,18.8336418933424,,,,,,
buyer_N_gaslimit_cost_high,GRF,3646,0.5,0.05,overlap,0.349543746611618,0.0405346892189875,0.270095755742402,0.428991737480833,8.62332370980365,6.50382674422925e-18,34.9543746611617,27.0095755742402,42.8991737480833,41.8420241895034,31.0089893357577,53.5708345525289,"sold_after_30d:0.0799, log_buyern_total_value:0.0677, log_buyern_1_total_value:0.0661, log_buyern_1_avg_gasLimit_cost:0.0607, log_buyern_1_rolling_avg_value_last10:0.0548, log_sellern_1_avg_total_gaspaid:0.0539, log_sellern_1_rolling_avg_value_last10:0.0533, log_sellern_avg_gasLimit_cost:0.0528",,,,0.374414948865957,0.030889113940738
buyer_N_gaslimit_cost_high,PDS,3646,0.5,0.05,,0.0306392001641111,0.0173047167856058,-0.00327742149834207,0.0645558218265642,1.77056929296855,0.0766323520454234,3.06392001641111,-0.327742149834207,6.45558218265642,3.11134112155225,-0.327205661509811,6.66851208945609,,,,,,
buyer_N_1_gaslimit_cost_high,GRF,3611,0.504846302963168,0.05,overlap,0.27773152656205,0.0449688920435373,0.189592498156717,0.365870554967383,6.17608115168058,6.57122201987109e-10,27.773152656205,18.9592498156717,36.5870554967383,32.01317293247,20.8756926606215,44.176860079129,"`log_price_change_n-1`:0.1054, log_buyern_1_total_value:0.0697, log_sellern_1_total_value:0.0627, log_sellern_total_value:0.0610, log_sellern_rolling_avg_value_last10:0.0564, log_sellern_avg_total_gaspaid:0.0544, log_buyern_1_rolling_avg_value_last10:0.0533, log_buyern_avg_gasLimit_cost:0.0531",,,,0.382077604004629,0.0324625204918517
buyer_N_1_gaslimit_cost_high,PDS,3611,0.504846302963168,0.05,,0.022184229052032,0.0229108002359958,-0.0227201142675116,0.0670885723715756,0.968286957396525,0.332901076696763,2.2184229052032,-2.27201142675116,6.70885723715756,2.24321288225149,-2.24639561196189,6.93901924054874,,,,,,
seller_N_gaslimit_cost_high,GRF,3238,0.437615812229771,0.05,overlap,0.362160398444565,0.0483571986425657,0.267380289105136,0.456940507783994,7.4892758185082,6.9254665627054e-14,36.2160398444565,26.7380289105136,45.6940507783994,43.6429324512736,30.653721373489,57.9234929269137,"log_buyern_rolling_avg_value_last10:0.0805, log_sellern_rolling_avg_value_last10:0.0646, `log_price_change_n-1`:0.0574, log_sellern_1_rolling_avg_value_last10:0.0574, log_sellern_1_avg_gasLimit_cost:0.0550, log_buyern_1_avg_total_gaspaid:0.0543, log_buyern_1_rolling_avg_value_last10:0.0534, log_sellern_1_total_value:0.0521",,,,0.359760620454595,0.0343413857288393
seller_N_gaslimit_cost_high,PDS,3238,0.437615812229771,0.05,,0.00540863002205349,0.024726922376857,-0.0430552472851038,0.0538725073292108,0.21873446034334,0.826856903458062,0.540863002205349,-4.30552472851038,5.38725073292108,0.542328306713324,-4.2141530474769,5.53500441819343,,,,,,
seller_N_1_gaslimit_cost_high,GRF,3238,0.437306979617048,0.05,overlap,0.061428343463972,0.0506905486659344,-0.0379251319212595,0.160781818849203,1.21183031315764,0.225577342090306,6.1428343463972,-3.79251319212595,16.0781818849203,6.33542975132231,-3.72149799423566,17.4428702652792,"log_sellern_1_rolling_avg_value_last10:0.0835, log_sellern_1_total_value:0.0761, log_buyern_avg_gasLimit_cost:0.0613, log_buyern_rolling_avg_value_last10:0.0580, `log_price_change_n-1`:0.0576, log_buyern_total_value:0.0559, log_sellern_rolling_avg_value_last10:0.0542, log_price_1_sale:0.0519",,,,0.115143503070346,0.0353709384072634
seller_N_1_gaslimit_cost_high,PDS,3238,0.437306979617048,0.05,,-0.0222023020031424,0.0260833899601187,-0.0733248069196886,0.0289202029134038,-0.851204618613209,0.394655697631897,-2.22023020031424,-7.33248069196886,2.89202029134038,-2.1957644891466,-7.07010617254289,2.93424526690032,,,,,,
