treatment,split_rule,cutoff_log,cutoff_raw,share_high0
seller_N_total_value_high,median,7.6455114884013,2090.23794627941,0.5
seller_N_1_total_value_high,median,7.72138989894616,2255.0931438792,0.5
buyer_N_total_value_high,median,7.70898878185568,2227.28783343222,0.501097092704334
buyer_N_1_total_value_high,median,7.87689274087818,2634.67011273815,0.5
buyer_N_gaspaid_high,median,1.59838501732319,3.94503981852923,0.5
buyer_N_1_gaspaid_high,median,2.402076152544,10.0460859499784,0.500274273176084
seller_N_gaspaid_high,median,1.59185131732872,3.91283573237692,0.501919912232584
seller_N_1_gaspaid_high,median,2.74818397420418,14.6142502398712,0.5
buyer_N_gaslimit_cost_high,median,0.0072172471605218,0.00724335425814251,0.5
buyer_N_1_gaslimit_cost_high,median,0.00838902415812852,0.00842431062528041,0.5
seller_N_gaslimit_cost_high,median,0.00831730437870356,0.00835198924962315,0.500548546352167
seller_N_1_gaslimit_cost_high,median,0.0129822770163632,0.0130669126323884,0.500274273176084
