model,treatment,display_label,subgroup,metric,ATE_pct,CI95_lo_pct,CI95_hi_pct,GATES_lift,GATES_bot_mean,GATES_top_mean,cutoff_raw,split_rule,p_value,q_value_bh,kept_pct,total_covariates,count_gt_0_10,count_gt_0_25,median_abs_smd,p90_abs_smd,max_abs_smd,flags
PDS,seller_N_total_value_high,Seller N High — Total Value,Seller N High,Total Value,7.13824370935334,1.79365284385062,12.7634478618498,8.2354153133435,-16.9144067612212,-8.67899144787769,2090.23794627941,median,0.0082693912841512,0.0198465390819629,87.6577070762479,252,42,6,0.0359500502568203,0.137790190846833,1.66467285202248,***
PDS,seller_N_gaspaid_high,Seller N High — Gas Paid,Seller N High,Gas Paid,-3.02430716478859,-7.90550479405833,2.11560397653972,7.82179042281128,2.67432989880888,10.4961203216202,3.91283573237692,median,0.243834732418548,0.325112976558064,88.3433900164564,252,38,6,0.0367095009981966,0.111965729464547,1.67124473676482,""
PDS,seller_N_gaslimit_cost_high,Seller N High — Gas Limit Cost,Seller N High,Gas Limit Cost,0.542328306713324,-4.2141530474769,5.53500441819343,18.4568042434721,34.7897889535175,53.2465931969896,0.00835198924962315,median,0.826856903458062,0.826856903458062,88.8096544157981,252,36,2,0.0399025311115725,0.116127493576053,1.33250186663306,tiny
PDS,seller_N_1_total_value_high,Seller N-1 High — Total Value,Seller N-1 High,Total Value,-12.1235176307704,-16.0374138091868,-8.02717610389133,23.6136643598508,-53.64524985038,-30.0315854905292,2255.0931438792,median,2.70350826119142e-08,3.2442099134297e-07,86.8348875479978,252,34,5,0.0351626692802167,0.118831807617045,1.46822215469673,***
PDS,seller_N_1_gaspaid_high,Seller N-1 High — Gas Paid,Seller N-1 High,Gas Paid,12.716890080943,6.91498726364606,18.8336418933424,48.7607198246697,57.8076843603756,106.568404185045,14.6142502398712,median,9.00181615520727e-06,5.40108969312436e-05,89.3582007679649,252,27,3,0.0301774449349347,0.100501872202394,1.3596173133214,***
PDS,seller_N_1_gaslimit_cost_high,Seller N-1 High — Gas Limit Cost,Seller N-1 High,Gas Limit Cost,-2.1957644891466,-7.07010617254289,2.93424526690032,13.3057271754814,0.261738978236379,13.5674661537178,0.0130669126323884,median,0.394655697631897,0.430533488325705,88.8096544157981,252,19,2,0.0293188287871649,0.0855182693564456,1.66950835149721,""
PDS,buyer_N_total_value_high,Buyer N High — Total Value,Buyer N High,Total Value,3.8300630703932,-0.331077162305404,8.16492935072231,11.7994705986995,-0.840038618540581,10.9594319801589,2227.28783343222,median,0.0716946810858952,0.114948528068135,100,252,37,7,0.0374251015784663,0.131186801395933,1.58603573683843,""
PDS,buyer_N_gaspaid_high,Buyer N High — Gas Paid,Buyer N High,Gas Paid,-5.40741872061182,-9.44835506799081,-1.18615250097233,9.04306471885413,-19.4171599819345,-10.3740952630804,3.94503981852923,median,0.0125728324976112,0.0251456649952223,99.5885902358749,252,42,9,0.0354866205238559,0.121000728419561,1.65086160047501,***
PDS,buyer_N_gaslimit_cost_high,Buyer N High — Gas Limit Cost,Buyer N High,Gas Limit Cost,3.11134112155225,-0.327205661509811,6.66851208945609,30.9976299883373,23.6730814486876,54.6707114370249,0.00724335425814251,median,0.0766323520454234,0.114948528068135,100,252,52,14,0.0409102599402824,0.186273250667874,0.539490402287531,""
PDS,buyer_N_1_total_value_high,Buyer N-1 High — Total Value,Buyer N-1 High,Total Value,-6.09666866873585,-9.6279283401446,-2.42742615995394,27.6202607487328,-48.3524737712735,-20.7322130225406,2634.67011273815,median,0.00129765946054084,0.00389297838162253,99.7805814591333,252,57,17,0.0471807585480612,0.193086184798448,1.51569134482642,***
PDS,buyer_N_1_gaspaid_high,Buyer N-1 High — Gas Paid,Buyer N-1 High,Gas Paid,9.50146547905464,4.43258289635236,14.816378274978,36.5524006467246,28.5321410026656,65.0845416493902,10.0460859499784,median,0.000174384831363667,0.000697539325454667,96.023038946791,252,45,9,0.0365499561851399,0.154845946379561,1.45318695685114,***
PDS,buyer_N_1_gaslimit_cost_high,Buyer N-1 High — Gas Limit Cost,Buyer N-1 High,Gas Limit Cost,2.24321288225149,-2.24639561196189,6.93901924054874,21.6788484132353,21.971154158876,43.6500025721113,0.00842431062528041,median,0.332901076696763,0.399481292036115,99.0400438837082,252,64,18,0.0432982028592615,0.229447177546994,0.823917922546457,""
