treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0
seller_N_total_value_high,`time_n_sale_str_2024-01`,binary,3196,,,3089,107,-12.8993364952983,-12.9477826227193,-0.0484461274210499
seller_N_total_value_high,`time_n_sale_str_2024-02`,binary,3196,,,3094,102,-12.9083258275614,-12.6774810209048,0.230844806656654
seller_N_total_value_high,`time_n_sale_str_2024-03`,binary,3196,,,3005,191,-12.8897284180534,-13.0776402008214,-0.187911782768015
seller_N_total_value_high,`time_n_sale_str_2024-04`,binary,3196,,,3080,116,-12.9185380027311,-12.434190743065,0.484347259666121
seller_N_total_value_high,`time_n_sale_str_2024-05`,binary,3196,,,3134,62,-12.9134189854041,-12.2710979734032,0.642321012000865
seller_N_total_value_high,`time_n_sale_str_2024-06`,binary,3196,,,3135,61,-12.9144544633141,-12.2073513461919,0.707103117122189
seller_N_total_value_high,`time_n_sale_str_2024-07`,binary,3196,,,3135,61,-12.9158916671953,-12.1334884909864,0.782403176208847
seller_N_total_value_high,`time_n_sale_str_2024-08`,binary,3196,,,3144,52,-12.9142237960862,-12.0989146098535,0.815309186232696
seller_N_total_value_high,`time_n_sale_str_2024-09`,binary,3196,,,3166,30,-12.9098285957372,-11.9648613501101,0.944967245627126
seller_N_total_value_high,`time_n_sale_str_2024-10`,binary,3196,,,3145,51,-12.9161611577539,-11.9634575190463,0.952703638707581
seller_N_total_value_high,`time_n_sale_str_2024-11`,binary,3196,,,3093,103,-12.9454682623237,-11.5643673712623,1.38110089106145
seller_N_total_value_high,`time_n_sale_str_2024-12`,binary,3196,,,3087,109,-12.9311176813561,-12.0468155253319,0.884302156024129
seller_N_total_value_high,`time_n_sale_str_2025-01`,binary,3196,,,3135,61,-12.9256956955893,-11.6296257202442,1.29606997534505
seller_N_total_value_high,`time_n_sale_str_2025-02`,binary,3196,,,3131,65,-12.9243955958124,-11.7720086787515,1.15238691706081
seller_N_total_value_high,`time_n_sale_str_2025-03`,binary,3196,,,3171,25,-12.9066205553369,-12.1827757453634,0.723844809973437
seller_N_total_value_high,`time_n-1_sale_str_2021-06`,binary,3196,,,2881,315,-12.875908528231,-13.1300657294407,-0.254157201209688
seller_N_total_value_high,`time_n-1_sale_str_2021-07`,binary,3196,,,3025,171,-12.8741345427795,-13.3754747526274,-0.501340209847907
seller_N_total_value_high,`time_n-1_sale_str_2021-08`,binary,3196,,,2918,278,-12.8603597621621,-13.3270985202094,-0.466738758047223
seller_N_total_value_high,`time_n-1_sale_str_2021-09`,binary,3196,,,3123,73,-12.8927889414259,-13.2504563086873,-0.357667367261351
seller_N_total_value_high,`time_n-1_sale_str_2021-10`,binary,3196,,,3130,66,-12.9017104811237,-12.8652934650039,0.0364170161197563
seller_N_total_value_high,`time_n-1_sale_str_2021-11`,binary,3196,,,3123,73,-12.897256077071,-13.0593485741716,-0.1620924971006
seller_N_total_value_high,`time_n-1_sale_str_2021-12`,binary,3196,,,3140,56,-12.901498226441,-12.870691849691,0.0308063767499238
