bin,n,mean_cate_pct,sd_cate_pct,treatment,covariate
"[4.59,5.87]",640,-12.3525974189314,2.46502916283004,seller_N_total_value_high,log_sellern_1_total_value
"(0.556,1.05]",638,-13.1062901630134,2.44154924136623,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.109,0.556]",640,-13.0613858855546,2.45818017162343,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"[0,0.0109]",641,-12.9823945213888,2.12777364499207,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.0109,0.109]",638,-13.3230214543933,2.28337790147115,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(1.05,2.24]",639,-12.0321760684455,2.38627812560058,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.287,1.01]",639,-12.5314602430719,2.38038313463713,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"(1.01,1.84]",639,-13.1713411491392,2.39946629087803,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"(1.84,3.08]",639,-13.340881429476,2.29782149767532,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"(3.08,5.06]",639,-12.9409286642972,2.26785968673911,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"[0.041,0.287]",640,-12.5207756797866,2.45917862672669,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"(3.56,5.06]",636,-12.8048268856201,2.3441095337217,seller_N_total_value_high,log_buyern_1_avg_total_gaspaid
"[0.222,0.951]",642,-12.7638539591719,2.43084609346999,seller_N_total_value_high,log_buyern_1_avg_total_gaspaid
"(0.951,1.78]",637,-12.9276853030595,2.43240112750511,seller_N_total_value_high,log_buyern_1_avg_total_gaspaid
"(1.78,2.61]",639,-13.1641222443468,2.3806384876137,seller_N_total_value_high,log_buyern_1_avg_total_gaspaid
"(2.61,3.56]",642,-12.8448432731746,2.31439546619644,seller_N_total_value_high,log_buyern_1_avg_total_gaspaid
"(1.73,2.92]",639,-13.227974307324,2.37054304771304,seller_N_total_value_high,log_sellern_avg_total_gaspaid
"(0.394,1.03]",639,-12.5791051857087,2.34863584731571,seller_N_total_value_high,log_sellern_avg_total_gaspaid
"(1.03,1.73]",639,-12.9474436277982,2.23524756273359,seller_N_total_value_high,log_sellern_avg_total_gaspaid
"[0.0873,0.394]",640,-12.3264323432752,2.29514971728476,seller_N_total_value_high,log_sellern_avg_total_gaspaid
"(2.92,5.06]",639,-13.4247358383415,2.49549353519771,seller_N_total_value_high,log_sellern_avg_total_gaspaid
