treatment,covariate,SMD_raw,SMD_kept,flag_gt_0_1,flag_gt_0_25
seller_N_total_value_high,`time_n_sale_str_2024-04`,0.135275747975904,0.0251890739771176,0,0
seller_N_total_value_high,`time_n_sale_str_2024-05`,0.132083785184645,0.0311521926430374,0,0
seller_N_total_value_high,`time_n_sale_str_2024-06`,0.110257894267652,0.0710856387431528,0,0
seller_N_total_value_high,`time_n_sale_str_2024-07`,0.00936700214743346,-0.0114231373347179,0,0
seller_N_total_value_high,`time_n_sale_str_2024-08`,0.0376998250623371,0.0341710477809985,0,0
seller_N_total_value_high,`time_n_sale_str_2024-09`,0.040953749694059,0.0357674039364402,0,0
seller_N_total_value_high,`time_n_sale_str_2024-10`,0.0580878048145655,0.0502562934408594,0,0
seller_N_total_value_high,`time_n_sale_str_2024-11`,-0.0390226477346404,-0.0679341160140441,0,0
seller_N_total_value_high,`time_n_sale_str_2024-12`,0.0428294875922399,0.0136939447918823,0,0
seller_N_total_value_high,`time_n_sale_str_2025-01`,0.0186057031867937,-0.0440287813714007,0,0
seller_N_total_value_high,`time_n_sale_str_2025-02`,0.0362803528323375,-0.0138231884573356,0,0
seller_N_total_value_high,`time_n_sale_str_2025-03`,0,-0.0185941881768118,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-06`,-0.233450534136202,-0.0848975401721719,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-07`,-0.190409630798648,-0.0839002226277894,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-08`,-0.0497170234120917,0.0175512692096369,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-09`,-0.0313266537303581,-0.0150773587207532,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-10`,-0.0646570332840907,-0.0379510071228506,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-11`,-0.0680900971757188,-0.0351455616091983,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-12`,-0.039732071545355,-0.0149173743346043,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-01`,-0.0154332393117461,0.0163016036365939,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-02`,-0.0390621718028164,-0.0173398098226794,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-03`,-0.0171421820240003,0.00146607614164094,0,0
