model,treatment,subgroup,metric,ATE_pct,CI95_lo_pct,CI95_hi_pct,GATES_lift,GATES_bot_mean,GATES_top_mean,cutoff_raw,split_rule,p_value,q_value_bh,kept_pct,total_covariates,count_gt_0_10,count_gt_0_25,median_abs_smd,p90_abs_smd,max_abs_smd,flags
PDS,seller_N_total_value_high,Seller N High,Total Value,7.13824370935334,1.79365284385062,12.7634478618498,8.2354153133435,-16.9144067612212,-8.67899144787769,2090.23794627941,median,0.0082693912841512,0.0187398196973065,87.6577070762479,,,,,,,***
PDS,seller_N_1_total_value_high,Seller N-1 High,Total Value,-12.1235176307704,-16.0374138091868,-8.02717610389133,23.6136643598508,-53.64524985038,-30.0315854905292,2255.0931438792,median,2.70350826119142e-08,1.68969266324463e-07,86.8348875479978,,,,,,,***
PDS,buyer_N_total_value_high,Buyer N High,Total Value,3.8300630703932,-0.331077162305404,8.16492935072231,11.7994705986995,-0.840038618540581,10.9594319801589,2227.28783343222,median,0.0716946810858952,0.112022939196711,100,,,,,,,""
PDS,buyer_N_1_total_value_high,Buyer N-1 High,Total Value,-6.09666866873585,-9.6279283401446,-2.42742615995394,27.6202607487328,-48.3524737712735,-20.7322130225406,2634.67011273815,median,0.00129765946054084,0.00360460961261345,99.7805814591333,,,,,,,***
PDS,buyer_N_gaspaid_high,Buyer N High,Gas Paid,-5.40741872061182,-9.44835506799081,-1.18615250097233,9.04306471885413,-19.4171599819345,-10.3740952630804,3.94503981852923,median,0.0125728324976112,0.0241785240338676,99.5885902358749,,,,,,,***
PDS,buyer_N_1_gaspaid_high,Buyer N-1 High,Gas Paid,9.50146547905464,4.43258289635236,14.816378274978,36.5524006467246,28.5321410026656,65.0845416493902,10.0460859499784,median,0.000174384831363667,0.000544952598011459,96.023038946791,,,,,,,***
PDS,seller_N_gaspaid_high,Seller N High,Gas Paid,-3.02430716478859,-7.90550479405833,2.11560397653972,7.82179042281128,2.67432989880888,10.4961203216202,3.91283573237692,median,0.243834732418548,0.311672874961783,88.3433900164564,,,,,,,""
PDS,seller_N_1_gaspaid_high,Seller N-1 High,Gas Paid,12.716890080943,6.91498726364606,18.8336418933424,48.7607198246697,57.8076843603756,106.568404185045,14.6142502398712,median,9.00181615520727e-06,3.75075673133636e-05,89.3582007679649,,,,,,,***
PDS,buyer_N_gaslimit_cost_high,Buyer N High,Gas Limit Cost,3.11134112155225,-0.327205661509811,6.66851208945609,30.9976299883373,23.6730814486876,54.6707114370249,0.00724335425814251,median,0.0766323520454234,0.112694635360917,100,,,,,,,""
PDS,buyer_N_1_gaslimit_cost_high,Buyer N-1 High,Gas Limit Cost,2.24321288225149,-2.24639561196189,6.93901924054874,21.6788484132353,21.971154158876,43.6500025721113,0.00842431062528041,median,0.332901076696763,0.378296678064503,99.0400438837082,,,,,,,""
PDS,seller_N_gaslimit_cost_high,Seller N High,Gas Limit Cost,0.542328306713324,-4.2141530474769,5.53500441819343,18.4568042434721,34.7897889535175,53.2465931969896,0.00835198924962315,median,0.826856903458062,0.861309274435482,88.8096544157981,,,,,,,tiny
PDS,seller_N_1_gaslimit_cost_high,Seller N-1 High,Gas Limit Cost,-2.1957644891466,-7.07010617254289,2.93424526690032,13.3057271754814,0.261738978236379,13.5674661537178,0.0130669126323884,median,0.394655697631897,0.428973584382496,88.8096544157981,,,,,,,""
PDS,buyer_N_Tvalue_Gaspaid_11vs00,Combination — Buyer N High,Total Value + Gas Paid,0.375554546274559,-4.30114061966842,5.28079452264447,7.73429682054016,-11.9712305364251,-4.23693371588493,,,0.877622134717201,0.877622134717201,99.9288762446657,,,,,,,tiny
PDS,buyer_N_Tvalue_Gaslimit_11vs00,Combination — Buyer N High,Total Value + Gas Limit,11.7883989061578,0.601483754747156,24.219302375971,31.4592240599706,29.3808867285616,60.8401107885322,,,0.0383181971293451,0.0684253520166877,100,,,,,,,**
PDS,buyer_N_1_Tvalue_Gaspaid_11vs00,Combination — Buyer N-1 High,Total Value + Gas Paid,-4.06237353427842,-8.17791814486926,0.237633322207542,18.2116069868944,-27.9885381429612,-9.7769311560668,,,0.0637586240249304,0.106264373374884,97.9547900968784,,,,,,,""
PDS,buyer_N_1_Tvalue_Gaslimit_11vs00,Combination — Buyer N-1 High,Total Value + Gas Limit,-5.9038838539351,-15.1589433223944,4.36078262696642,11.6265911146371,-21.8558799245251,-10.229288809888,,,0.249338299969426,0.311672874961783,100,,,,,,,""
PDS,buyer_N_1_Tvalue_Gaspaid_Gaslimit_11vs00,Combination — Buyer N-1 High,Total Value + Gas Paid + Gas Limit,4.50026897073592,-2.51863557239027,12.0245523755019,4.62293176011264,10.0658574095212,14.6887891696338,,,0.214649393966647,0.298124158287009,100,,,,,,,""
PDS,seller_N_Tvalue_Gaslimit_11vs00,Combination — Seller N High,Total Value + Gas Limit,6.50213861340623,-5.48033208814954,20.0036540522705,17.4672347052576,13.7784375236818,31.2456722289394,,,0.300930867835602,0.358251033137622,83.1799163179916,,,,,,,""
PDS,seller_N_1_Tvalue_Gaspaid_11vs00,Combination — Seller N-1 High,Total Value + Gas Paid,-7.20857665208502,-12.2738721286005,-1.85081165836917,13.7206370290369,-8.83027460719856,4.89036242183838,,,0.00899511345470711,0.0187398196973065,90.7446808510638,,,,,,,***
PDS,combo_all_TV_BN1_SN_SN1_11vs00,Combination — All,BN-1 TV + S:N TV + S:N-1 TV,-57.9463975549115,-63.8799782748693,-51.0380837512314,10.2152420536116,-74.0221605195642,-63.8069184659526,,,6.23126430773442e-29,7.78908038466803e-28,100,,,,,,,***
PDS,seller_total_value_11vs00,Combination — Seller,S:N + S:N-1: Total Value,-20.6034166310541,-28.8730195555312,-11.3723454690505,12.2438078201126,-54.3401349906903,-42.0963271705778,,,3.93489294453424e-05,0.000140531890876223,76.8281938325991,,,,,,,***
PDS,comboB_lowTV_all_11vs00,Strategy,BN-1 TV ↓ + S:N TV ↓ + S:N-1 TV ↓,137.791756676674,104.240372235258,176.854761497624,100.99581663324,181.530706302597,282.526522935837,,,6.23126430773006e-29,7.78908038466803e-28,100,,,,,,,***
PDS,comboB_BN1_lowTV_highFees_11vs00,Strategy,BN-1 TV ↓ + BN-1 GL ↑ + BN-1 GP ↑,157.971726211623,99.1332157586039,234.195434303024,10.0212615824391,272.241055915347,282.262317497786,,,7.23414014344825e-13,6.02845011954021e-12,100,,,,,,,***
PDS,comboB_SN_lowTV_highFees_11vs00,Strategy,S:N TV ↓ + S:N GL ↑ + S:N GP ↑,49.3335578762963,15.8408646952125,92.5098847170015,5.41936763869839,97.3181148262069,102.737482464905,,,0.00196949467761409,0.00492373669403523,100,,,,,,,***
PDS,comboB_mix_lowTV_highFees_11vs00,Strategy,"BN-1 (TV ↓, GL ↑, GP ↑) + S:N (TV ↓, GL ↑, GP ↑)",647.818709911558,230.9819950785,1589.61705231474,87.2608081744463,694.428134252333,781.688942426779,,,1.31159146980659e-06,6.55795734903296e-06,100,,,,,,,***
