model,treatment,subgroup,metric,ATE_pct,CI95_lo_pct,CI95_hi_pct,GATES_lift,GATES_bot_mean,GATES_top_mean,cutoff_raw,split_rule,p_value,q_value_bh,kept_pct,total_covariates,count_gt_0_10,count_gt_0_25,median_abs_smd,p90_abs_smd,max_abs_smd,flags
GRF,seller_N_total_value_high,Seller N High,Total Value,-12.9988293899296,-20.8995374710426,-4.30898321546958,8.2354153133435,-16.9144067612212,-8.67899144787769,2090.23794627941,median,0.00414648474160592,0.00609777167883224,87.6577070762479,,,,,,,***
GRF,seller_N_1_total_value_high,Seller N-1 High,Total Value,-42.6100919752993,-47.6341343965763,-37.1040370453026,23.6136643598508,-53.64524985038,-30.0315854905292,2255.0931438792,median,1.49919105201373e-32,9.36994407508581e-32,86.8348875479978,,,,,,,***
GRF,buyer_N_total_value_high,Buyer N High,Total Value,4.34959240971964,-4.01808357971769,13.4467599958616,11.7994705986995,-0.840038618540581,10.9594319801589,2227.28783343222,median,0.318103781439514,0.331358105666161,100,,,,,,,""
GRF,buyer_N_1_total_value_high,Buyer N-1 High,Total Value,-36.4741522411879,-41.532684637538,-30.9779607895812,27.6202607487328,-48.3524737712735,-20.7322130225406,2634.67011273815,median,8.45754209981242e-27,3.02055074993301e-26,99.7805814591333,,,,,,,***
GRF,buyer_N_gaspaid_high,Buyer N High,Gas Paid,-14.6721743007461,-21.826098210639,-6.86357375150055,9.04306471885413,-19.4171599819345,-10.3740952630804,3.94503981852923,median,0.000382940012809249,0.000598343770014451,99.5885902358749,,,,,,,***
GRF,buyer_N_1_gaspaid_high,Buyer N-1 High,Gas Paid,48.6727996993892,35.6444891481825,62.9524465701515,36.5524006467246,28.5321410026656,65.0845416493902,10.0460859499784,median,2.34072453608113e-17,5.85181134020283e-17,96.023038946791,,,,,,,***
GRF,seller_N_gaspaid_high,Seller N High,Gas Paid,7.35989803885337,-3.10609138907511,18.9563706547947,7.82179042281128,2.67432989880888,10.4961203216202,3.91283573237692,median,0.174766249813704,0.198598011151936,88.3433900164564,,,,,,,""
GRF,seller_N_1_gaspaid_high,Seller N-1 High,Gas Paid,85.2257062989602,66.0835123548308,106.574161321021,48.7607198246697,57.8076843603756,106.568404185045,14.6142502398712,median,1.6512986279202e-28,6.88041094966752e-28,89.3582007679649,,,,,,,***
GRF,buyer_N_gaslimit_cost_high,Buyer N High,Gas Limit Cost,41.8420241895034,31.0089893357577,53.5708345525289,30.9976299883373,23.6730814486876,54.6707114370249,0.00724335425814251,median,6.50382674422925e-18,1.80661854006368e-17,100,,,,,,,***
GRF,buyer_N_1_gaslimit_cost_high,Buyer N-1 High,Gas Limit Cost,32.01317293247,20.8756926606215,44.176860079129,21.6788484132353,21.971154158876,43.6500025721113,0.00842431062528041,median,6.57122201987109e-10,1.2636965422829e-09,99.0400438837082,,,,,,,***
