treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log,q_value_bh
seller_N_gaslimit_cost_high,GRF,3238,0.437615812229771,0.05,overlap,0.362160398444565,0.0483571986425657,0.267380289105136,0.456940507783994,7.4892758185082,6.9254665627054e-14,36.2160398444565,26.7380289105136,45.6940507783994,43.6429324512736,30.653721373489,57.9234929269137,"log_buyern_rolling_avg_value_last10:0.0805, log_sellern_rolling_avg_value_last10:0.0646, `log_price_change_n-1`:0.0574, log_sellern_1_rolling_avg_value_last10:0.0574, log_sellern_1_avg_gasLimit_cost:0.0550, log_buyern_1_avg_total_gaspaid:0.0543, log_buyern_1_rolling_avg_value_last10:0.0534, log_sellern_1_total_value:0.0521",,,,0.359760620454595,0.0343413857288393,1.57396967334214e-13
seller_N_1_gaslimit_cost_high,GRF,3238,0.437306979617048,0.05,overlap,0.061428343463972,0.0506905486659344,-0.0379251319212595,0.160781818849203,1.21183031315764,0.225577342090306,6.1428343463972,-3.79251319212595,16.0781818849203,6.33542975132231,-3.72149799423566,17.4428702652792,"log_sellern_1_rolling_avg_value_last10:0.0835, log_sellern_1_total_value:0.0761, log_buyern_avg_gasLimit_cost:0.0613, log_buyern_rolling_avg_value_last10:0.0580, `log_price_change_n-1`:0.0576, log_buyern_total_value:0.0559, log_sellern_rolling_avg_value_last10:0.0542, log_price_1_sale:0.0519",,,,0.115143503070346,0.0353709384072634,0.245192763141637
buyer_N_Tvalue_Gaspaid_11vs00,GRF,2810,0.500355871886121,0.05,overlap,-0.0853189579695655,0.0469361360301843,-0.177313784588727,0.00667586864959578,-1.81776697414328,0.0690997563630535,-8.53189579695655,-17.7313784588727,0.667586864959578,-8.17806356947134,-16.2483056622229,0.669820193106663,"log_price_1_sale:0.0877, log_sellern_1_total_value:0.0685, `log_price_change_n-1`:0.0636, log_buyern_1_total_value:0.0616, log_buyern_avg_gasLimit_cost:0.0608, log_buyern_1_avg_gasLimit_cost:0.0591, log_buyern_rolling_avg_value_last10:0.0586, log_sellern_1_avg_gasLimit_cost:0.0585",,,,-0.0961026238949878,0.0364378390526937,0.0822616147179208
buyer_N_Tvalue_Gaslimit_11vs00,GRF,1844,0.501084598698482,0.05,overlap,0.384158601097201,0.0764208442047632,0.234373746455865,0.533943455738537,5.0268824571982,4.98517701713299e-07,38.4158601097201,23.4373746455865,53.3943455738537,46.8378309625958,26.4116863126193,70.5645200276665,"log_buyern_1_avg_gasLimit_cost:0.0852, log_sellern_1_rolling_avg_value_last10:0.0807, log_sellern_1_avg_total_gaspaid:0.0714, log_buyern_rolling_avg_value_last10:0.0639, log_sellern_1_total_value:0.0635, log_price_1_sale:0.0586, sold_after_30d:0.0570, log_buyern_1_total_value:0.0561",,,,0.362690828106505,0.0399233989967702,8.90210181630891e-07
buyer_N_1_Tvalue_Gaspaid_11vs00,GRF,2730,0.48974358974359,0.05,overlap,-0.223218961922413,0.0511229023337136,-0.323419850496492,-0.123018073348334,-4.36632021525915,1.26357199532894e-05,-22.3218961922413,-32.3419850496492,-12.3018073348334,-20.0060326211916,-27.6330042614175,-11.5752318899952,"log_price_1_sale:0.0992, log_buyern_1_avg_gasLimit_cost:0.0856, log_buyern_avg_gasLimit_cost:0.0815, log_sellern_avg_total_gaspaid:0.0724, log_sellern_total_value:0.0645, log_buyern_1_rolling_avg_value_last10:0.0625, log_sellern_avg_gasLimit_cost:0.0624, log_sellern_rolling_avg_value_last10:0.0544",,,,-0.328201306775673,0.0370976228859541,2.10595332554823e-05
buyer_N_1_Tvalue_Gaslimit_11vs00,GRF,1574,0.5,0.05,overlap,-0.182098117066153,0.0826118295686166,-0.344017303020642,-0.0201789311116646,-2.20426200481257,0.0275059233912954,-18.2098117066153,-34.4017303020642,-2.01789311116646,-16.6480446089736,-29.1083338456241,-1.99766990412592,"log_price_1_sale:0.0726, log_sellern_1_avg_gasLimit_cost:0.0712, log_sellern_1_rolling_avg_value_last10:0.0631, log_sellern_1_total_value:0.0606, log_sellern_1_avg_total_gaspaid:0.0595, log_buyern_total_value:0.0594, log_sellern_avg_gasLimit_cost:0.0587, log_sellern_avg_total_gaspaid:0.0579",,,,-0.0839631494754747,0.042651120482803,0.0370955958844689
buyer_N_1_Tvalue_Gaspaid_Gaslimit_11vs00,GRF,1342,0.492548435171386,0.05,overlap,0.116634867526912,0.0621301611375399,-0.00514024830266627,0.23840998335649,1.87726645789173,0.0604815829828152,11.6634867526912,-0.514024830266627,23.840998335649,12.3709052108778,-0.512705983337169,26.9229449119119,"log_sellern_1_avg_total_gaspaid:0.0682, log_sellern_1_avg_gasLimit_cost:0.0670, log_buyern_total_value:0.0659, log_price_1_sale:0.0639, log_sellern_avg_gasLimit_cost:0.0620, log_buyern_rolling_avg_value_last10:0.0593, log_sellern_1_rolling_avg_value_last10:0.0593, log_sellern_rolling_avg_value_last10:0.0589",,,,0.125225039956464,0.0586601834615461,0.075601978728519
seller_N_Tvalue_Gaslimit_11vs00,GRF,1988,0.399396378269618,0.05,overlap,0.209018564176384,0.0952424257568663,0.0223434096929261,0.395693718659842,2.19459513463007,0.0281926528721964,20.9018564176384,2.23434096929261,39.5693718659842,23.246787806896,2.2594893178175,48.5414293191803,"log_price_1_sale:0.1013, log_buyern_1_rolling_avg_value_last10:0.0755, log_buyern_1_avg_total_gaspaid:0.0725, `log_price_change_n-1`:0.0700, log_sellern_1_avg_total_gaspaid:0.0651, log_sellern_1_avg_gasLimit_cost:0.0614, log_buyern_total_value:0.0604, log_sellern_1_rolling_avg_value_last10:0.0589",,,,0.0899871001688695,0.03895556882301,0.0370955958844689
seller_N_1_Tvalue_Gaspaid_11vs00,GRF,2559,0.449003516998828,0.05,overlap,-0.0162415479095107,0.0606383631394059,-0.135092739662746,0.102609643843725,-0.267842782500113,0.788820337775587,-1.62415479095107,-13.5092739662746,10.2609643843725,-1.61103651342307,-12.6365112673807,10.8058787074121,"log_price_1_sale:0.1070, log_sellern_1_rolling_avg_value_last10:0.0789, log_buyern_1_avg_gasLimit_cost:0.0650, log_buyern_1_rolling_avg_value_last10:0.0647, log_buyern_total_value:0.0632, log_buyern_avg_total_gaspaid:0.0615, log_sellern_total_value:0.0601, log_buyern_rolling_avg_value_last10:0.0599",,,,-0.0420402399036763,0.0365902304303907,0.788820337775587
combo_all_TV_BN1_SN_SN1_11vs00,GRF,1660,0.509036144578313,0,all,-1.221566024602,0.0334416899683365,-1.28711173693994,-1.15602031226406,-36.5282384281002,3.95160096245259e-292,-122.1566024602,-128.711173693994,-115.602031226406,-70.5231808953433,-72.3933013206561,-68.526375622784,"log_price_1_sale:0.1728, log_buyern_1_rolling_avg_value_last10:0.1081, log_buyern_rolling_avg_value_last10:0.1016, log_buyern_avg_gasLimit_cost:0.0876, log_buyern_avg_total_gaspaid:0.0725, log_buyern_total_value:0.0722, log_buyern_1_avg_gasLimit_cost:0.0575, `log_price_change_n-1`:0.0543",,,,-1.34804256998815,0.0380044967272116,4.93950120306574e-291
seller_total_value_11vs00,GRF,1744,0.349197247706422,0.05,overlap,-0.677781562346315,0.076394441666638,-0.827514668012925,-0.528048456679704,-8.87213189284041,7.17587203524069e-19,-67.7781562346315,-82.7514668012925,-52.8048456679704,-49.2257861851111,-56.2865638611874,-41.0245220637995,"log_price_1_sale:0.1233, log_sellern_1_rolling_avg_value_last10:0.0987, log_buyern_1_rolling_avg_value_last10:0.0678, log_sellern_avg_gasLimit_cost:0.0642, log_buyern_rolling_avg_value_last10:0.0602, log_buyern_total_value:0.0528, sold_after_30d:0.0516, log_buyern_avg_total_gaspaid:0.0497",,,,-0.893926832290259,0.0487144624582341,2.24246001101272e-18
comboB_lowTV_all_11vs00,GRF,1660,0.490963855421687,0,all,1.22383676171561,0.0333576579118443,1.15845575220839,1.28921777122282,36.6883300065578,1.12102829297168e-294,122.383676171561,115.845575220839,128.921777122282,240.020852871236,218.501103026099,262.994599669592,"log_price_1_sale:0.1722, log_buyern_rolling_avg_value_last10:0.1128, log_buyern_1_rolling_avg_value_last10:0.1040, log_buyern_avg_gasLimit_cost:0.0828, log_buyern_avg_total_gaspaid:0.0799, log_buyern_total_value:0.0785, log_buyern_1_avg_gasLimit_cost:0.0634, `log_price_change_n-1`:0.0606",,,,1.35664586714585,0.0378145678754591,2.8025707324292e-293
comboB_BN1_lowTV_highFees_11vs00,GRF,627,0.516746411483254,0,all,1.35977291632993,0.0775880544362547,1.20770032963487,1.51184550302499,17.5255447015636,9.14614333585836e-69,135.977291632993,120.770032963487,151.184550302499,289.530864037083,234.578160390477,353.509260318698,"log_price_1_sale:0.0000, sold_after_30d:0.0000, log_buyern_total_value:0.0000, log_buyern_rolling_avg_value_last10:0.0000, log_sellern_total_value:0.0000, log_sellern_rolling_avg_value_last10:0.0000, log_buyern_1_rolling_avg_value_last10:0.0000, log_sellern_1_total_value:0.0000",,,,1.57416485294254,0.0808823475182456,7.6217861132153e-68
comboB_SN_lowTV_highFees_11vs00,GRF,499,0.49498997995992,0,all,0.689618486272822,0.0938215467494464,0.505728254643907,0.873508717901737,7.35032101010306,1.97731399695217e-13,68.9618486272822,50.5728254643907,87.3508717901737,99.2955048475976,65.8192667362831,139.530056031588,"log_price_1_sale:0.0000, sold_after_30d:0.0000, log_buyern_total_value:0.0000, log_buyern_rolling_avg_value_last10:0.0000, log_sellern_rolling_avg_value_last10:0.0000, log_buyern_1_total_value:0.0000, log_buyern_1_rolling_avg_value_last10:0.0000, log_sellern_1_total_value:0.0000",,,,0.854452694611109,0.0996441754911482,4.11940416031701e-13
comboB_mix_lowTV_highFees_11vs00,GRF,105,0.60952380952381,0,all,2.1116744444442,0.182552382035489,1.75387177565464,2.46947711323376,11.5674987140605,6.02125218188481e-31,211.16744444442,175.387177565464,246.947711323376,726.206407593853,477.692639487721,1081.62666665523,"log_price_1_sale:0.0000, sold_after_30d:0.0000, log_buyern_total_value:0.0000, log_buyern_rolling_avg_value_last10:0.0000, log_sellern_rolling_avg_value_last10:0.0000, log_buyern_1_rolling_avg_value_last10:0.0000, log_sellern_1_total_value:0.0000, log_sellern_1_rolling_avg_value_last10:0.0000",,,,2.12611377231912,0.179140953552945,3.01062609094241e-30
