"treatment","covariate","cor","slope_catepct_per_unit","SMD_kept","abs_smd","coef_pct","p_value","q_value_bh","n_obs","method","r2_tau","r2_tau_oos"
"seller_N_1_gaspaid_high","log_sellern_avg_total_gaspaid",-0.372438103249512,-6.38610654687914,0.133602337104879,0.133602337104879,-7.3006610970154,6.59065824094415e-12,2.38205219279839e-10,7478,"grf_blp_single",0.828818469753388,0.940892064232097
"seller_N_1_total_value_high","log_unique_makers_count",0.349172093091342,8.38957958683614,0.0273780746088475,0.0273780746088475,24.0259240996411,1.03833907977944e-24,8.75665957280661e-23,7320,"grf_blp_single",0.789904710776743,0.899040378297898
"seller_N_1_total_value_high","log_median_offer_price",0.246551777244257,3.97414854708705,-0.0422849631973243,0.0422849631973243,11.3327396961399,2.94921595852792e-22,1.86537909376891e-20,7320,"grf_blp_single",0.789904710776743,0.899040378297898
"seller_N_1_total_value_high","log_sellern_1_avg_total_gaspaid",-0.331535896082976,-2.27605245417865,1.33790560890562,1.33790560890562,-8.02357912790225,1.2030174877131e-15,5.0727237398569e-14,7320,"grf_blp_single",0.789904710776743,0.899040378297898
"seller_N_gaslimit_cost_high","log_sellern_avg_total_gaspaid",-0.27317848734371,-0.767528967659444,1.31746020641184,1.31746020641184,-3.1138353823126,0.00151641195512373,0.043422369549996,7568,"grf_blp_single",0.590056758451221,0.601192493161626
"seller_N_gaslimit_cost_high","log_buyern_1_rolling_avg_value_last10",0.487577437737978,2.65084141563142,-0.134794342075318,0.134794342075318,6.62237670771393,0.00255646911066383,0.0587987895452681,7568,"grf_blp_single",0.590056758451221,0.601192493161626
"seller_N_gaslimit_cost_high","log_sellern_rolling_avg_value_last10",0.504082710617906,2.65327603176354,-0.191285604158547,0.191285604158547,6.98213706576421,0.0057574832154901,0.115999681787375,7568,"grf_blp_single",0.590056758451221,0.601192493161626
"seller_N_gaspaid_high","log_sellern_avg_gasLimit_cost",-0.440503017662655,-404.481558945073,1.1536106743715,1.1536106743715,-99.9991576682326,6.32679582673644e-08,1.60067934416432e-05,7344,"grf_blp_single",0.655716204172821,0.68454152792841
"seller_N_gaspaid_high","log_buyern_1_avg_gasLimit_cost",-0.618968910032842,-549.308113080692,0.43777332785458,0.43777332785458,-99.9925601802002,4.11737533017648e-05,0.0020833919170693,7344,"grf_blp_single",0.655716204172821,0.68454152792841
"seller_N_gaspaid_high","log_buyern_1_avg_total_gaspaid",-0.199276671143938,-0.952501253584833,1.1545433212377,1.1545433212377,-4.10274741122318,0.000805197943026607,0.0203715079585732,7344,"grf_blp_single",0.655716204172821,0.68454152792841
"seller_N_total_value_high","log_sellern_avg_total_gaspaid",-0.507520238986684,-1.23439761281838,1.2528234291852,1.2528234291852,-3.98857925996428,0.000122461963552732,0.0309828767788412,7323,"grf_blp_single",0.687531631108703,0.717559547564858
"seller_N_total_value_high","log_buyern_1_avg_total_gaspaid",-0.469090871756824,-1.23000685014756,0.633428114893258,0.633428114893258,-4.56899727151561,0.000517413327195621,0.0436351905934974,7323,"grf_blp_single",0.687531631108703,0.717559547564858
"seller_N_total_value_high","log_buyern_rolling_avg_value_last10",-0.464279224824847,-1.6182310560063,0.0611190022028327,0.0611190022028327,-6.28700560678302,0.00126992456311418,0.0614104993296088,7323,"grf_blp_single",0.687531631108703,0.717559547564858
