"treatment","covariate","cor","slope_catepct_per_unit","SMD_kept","abs_smd","coef_pct","p_value","q_value_bh","n_obs","method","r2_tau","r2_tau_oos"
"buyer_N_1_gaslimit_cost_high","`log_price_change_n-1`",-0.52608887093325,-3.44845395510868,0.305270950300882,0.305270950300882,-8.7874789520285,1.59042814525764e-07,2.01189160375091e-05,7771,"grf_blp_single",0.618911871772493,0.651673512612482
"buyer_N_1_gaslimit_cost_high","log_buyern_total_value",0.194415299979764,0.720819481332234,-0.106779305786682,0.106779305786682,3.12518063943363,0.00170614387263198,0.0431654399775891,7771,"grf_blp_single",0.618911871772493,0.651673512612482
"buyer_N_1_gaslimit_cost_high","log_sellern_avg_total_gaspaid",-0.328610337859856,-1.41727405536404,0.11618517757682,0.11618517757682,-2.78505992572711,0.00620480774740505,0.0981135225058423,7771,"grf_blp_single",0.618911871772493,0.651673512612482
"buyer_N_1_gaspaid_high","log_unique_makers_count",-0.45664827887493,-16.1453779189582,-0.0658680173733495,0.0658680173733495,-19.6412995164925,2.77097699191085e-24,7.01057178953445e-22,7628,"grf_blp_single",0.828098104722985,0.875443141537824
"buyer_N_1_gaspaid_high","log_median_offer_price",-0.274474547971525,-6.72610367548425,-0.12565303555848,0.12565303555848,-9.95807640387774,3.58280623861481e-21,4.53224989184773e-19,7628,"grf_blp_single",0.828098104722985,0.875443141537824
"buyer_N_1_gaspaid_high","log_buyern_1_total_value",-0.636572618156418,-6.19674669049288,1.16835107983159,1.16835107983159,-6.62093982136711,3.20645989950112e-11,1.35205725762297e-09,7628,"grf_blp_single",0.828098104722985,0.875443141537824
"buyer_N_1_total_value_high","log_unique_makers_count",0.420677294612588,8.92320568072353,0.401692162090794,0.401692162090794,23.5470849987162,1.27260287177592e-22,1.60984263279654e-20,7803,"grf_blp_single",0.781813561731085,0.856424297584895
"buyer_N_1_total_value_high","log_median_offer_price",0.248353958826031,3.69347064210373,0.203072482588391,0.203072482588391,9.49557076290366,1.74669204019647e-13,8.83826172339414e-12,7803,"grf_blp_single",0.781813561731085,0.856424297584895
"buyer_N_1_total_value_high","log_price_1_sale",0.211956415843753,1.79604075190731,0.213771065821207,0.213771065821207,9.08443804157355,4.41238204490021e-09,1.11633265735975e-07,7803,"grf_blp_single",0.781813561731085,0.856424297584895
"buyer_N_gaslimit_cost_high","log_unique_makers_count",-0.264863215595364,-6.0939617861879,-0.429085593290871,0.429085593290871,-9.67866112912016,2.96399506512934e-06,0.000149978150295545,7852,"grf_blp_single",0.790375939346495,0.899018534449509
"buyer_N_gaslimit_cost_high","log_median_offer_price",-0.160479109679897,-2.60847744039429,-0.214178719484116,0.214178719484116,-4.86259667144668,1.26860524215261e-05,0.000458510180378015,7852,"grf_blp_single",0.790375939346495,0.899018534449509
"buyer_N_gaslimit_cost_high","log_buyern_total_value",0.374550867028461,2.13699683892497,0.307190450376864,0.307190450376864,3.81325505628962,0.000152660441490084,0.00386230916969913,7852,"grf_blp_single",0.790375939346495,0.899018534449509
"buyer_N_gaspaid_high","log_price_1_sale",0.236480412266219,0.836222863435815,-0.0437104766882443,0.0437104766882443,5.7146249341274,1.09176868607831e-05,0.00138108738788906,7845,"grf_blp_single",0.775082523046761,0.852673021599109
"buyer_N_gaspaid_high","log_unique_makers_count",0.395304780045361,3.47109103733155,-0.0198525371852713,0.0198525371852713,5.19913721218701,0.00540109569086829,0.121315339039868,7845,"grf_blp_single",0.775082523046761,0.852673021599109
"buyer_N_gaspaid_high","log_median_offer_price",0.247375832416615,1.53306098023297,-0.0848958522661765,0.0848958522661765,2.47023509742577,0.0109138724927117,0.153400541147559,7845,"grf_blp_single",0.775082523046761,0.852673021599109
"buyer_N_total_value_high","log_unique_makers_count",-0.358788407099821,-4.61550277676454,0.0779527379638665,0.0779527379638665,-7.95695566592887,4.24144332917322e-05,0.00214617032456165,7704,"grf_blp_single",0.740042614362453,0.779225134913128
"buyer_N_total_value_high","log_buyern_1_rolling_avg_value_last10",-0.363926388649251,-2.70068001703665,0.0174850310417921,0.0174850310417921,-7.5508996802704,8.85486162590395e-05,0.00320039998764814,7704,"grf_blp_single",0.740042614362453,0.779225134913128
"buyer_N_total_value_high","log_buyern_rolling_avg_value_last10",-0.475438008183647,-2.77183969831695,0.123234326733072,0.123234326733072,-7.5628904495859,7.96142884705034e-05,0.00320039998764814,7704,"grf_blp_single",0.740042614362453,0.779225134913128
"seller_N_1_gaslimit_cost_high","log_buyern_rolling_avg_value_last10",-0.445413785383521,-1.60614033782846,-0.0150264244059259,0.0150264244059259,-6.92430950966603,0.000420809176337965,0.035488240537835,7460,"grf_blp_single",0.682010406815676,0.700433257574669
"seller_N_1_gaslimit_cost_high","log_sellern_1_total_value",0.416377209646196,0.909280540576702,0.739649985617872,0.739649985617872,2.97425134366263,0.00973802317913881,0.343371155755276,7460,"grf_blp_single",0.682010406815676,0.700433257574669
"seller_N_1_gaslimit_cost_high","log_buyern_total_value",0.282282214519758,0.556740432853133,0.0210016693220242,0.0210016693220242,2.25558436926356,0.0325812022596494,0.484884951275959,7460,"grf_blp_single",0.682010406815676,0.700433257574669
"seller_N_1_gaspaid_high","log_unique_makers_count",-0.282009012831331,-16.2288552755195,-0.205678800000314,0.205678800000314,-20.1532473663906,7.93714667469223e-28,1.00404905434857e-25,7478,"grf_blp_single",0.828818469753388,0.940892064232097
"seller_N_1_gaspaid_high","log_median_offer_price",-0.175168918595849,-6.8752092808604,-0.255117383095839,0.255117383095839,-9.87879467876128,2.17197651990012e-22,1.8317001984491e-20,7478,"grf_blp_single",0.828818469753388,0.940892064232097
