treatment,ATE_pct_grf,p_grf,ATE_pct_pds,p_pds
seller_N_total_value_high,0.679310775994746,0.862111688802821,12.8638212489641,5.74942160267408e-10
seller_N_1_total_value_high,-28.8731129023087,8.02548125843672e-36,-11.2566776855722,4.68848809006064e-12
buyer_N_total_value_high,10.8153147039276,0.00011188178606593,11.0566741295929,3.24245184969044e-10
buyer_N_1_total_value_high,-32.2166011685676,1.45618696057182e-26,-9.65374460524473,2.19853568560796e-08
buyer_N_gaspaid_high,-12.3246667556789,1.96309829333616e-07,-9.31776281205314,8.14484368698729e-10
buyer_N_1_gaspaid_high,41.9226770644609,4.99170174241314e-20,8.67530362503064,1.56656878801224e-05
seller_N_gaspaid_high,-5.20283854024035,0.194130935474514,-5.20703911617176,0.00778993122914947
seller_N_1_gaspaid_high,50.6889993313264,3.95348014748686e-40,15.3747492273923,2.038552744527e-15
buyer_N_gaslimit_cost_high,24.1817245373528,1.01233122311758e-19,-2.13069022838865,0.141715096115964
buyer_N_1_gaslimit_cost_high,14.6201286238218,0.00030700543026841,1.00447516782565,0.58409111051091
seller_N_gaslimit_cost_high,10.6993260493867,0.00982593430845597,-5.51619623243658,0.00217934199097669
seller_N_1_gaslimit_cost_high,2.15557471790611,0.43899893881297,-1.41110953870374,0.417612622315357
