treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log
seller_N_total_value_high,GRF,7323,0.46388092311894,0.05,overlap,0.00677013856622713,0.0389790264963896,-0.0696287533666965,0.0831690304991507,0.173686702176983,0.862111688802821,0.677013856622713,-6.96287533666965,8.31690304991507,0.679310775994746,-6.72599677663945,8.6725482775321,"log_buyern_rolling_avg_value_last10:0.0801, log_sellern_1_rolling_avg_value_last10:0.0574, log_buyern_1_avg_gasLimit_cost:0.0549, log_price_1_sale:0.0545, log_sellern_rolling_avg_value_last10:0.0510, log_buyern_1_rolling_avg_value_last10:0.0504, log_sellern_avg_gasLimit_cost:0.0456, log_sellern_1_total_value:0.0455",,,,-0.0467865006403703,0.0200306788623896
seller_N_total_value_high,PDS,7323,0.46388092311894,0.05,,0.121011784290586,0.0195270016456054,0.0827395643391455,0.159284004242027,6.19715133366726,5.74942160267408e-10,12.1011784290586,8.27395643391455,15.9284004242027,12.8638212489641,8.62588711593748,17.2670942914598,,,,,,
seller_N_1_total_value_high,GRF,7320,0.463661202185792,0.05,overlap,-0.34070476176434,0.0272689361232856,-0.39415187656598,-0.2872576469627,-12.4942447414883,8.02548125843672e-36,-34.070476176434,-39.415187656598,-28.72576469627,-28.8731129023087,-32.5748354560775,-24.9681613322258,"sold_after_30d:0.1159, log_sellern_1_avg_total_gaspaid:0.1109, log_sellern_1_rolling_avg_value_last10:0.0860, `log_price_change_n-1`:0.0583, log_price_1_sale:0.0480, log_buyern_total_value:0.0457, log_buyern_avg_total_gaspaid:0.0418, log_sellern_avg_total_gaspaid:0.0398",,,,-0.352501469437124,0.0189804422077319
seller_N_1_total_value_high,PDS,7320,0.463661202185792,0.05,,-0.119422001990926,0.0172707380250836,-0.153272026506517,-0.085571977475336,-6.91470172366001,4.68848809006064e-12,-11.9422001990926,-15.3272026506517,-8.5571977475336,-11.2566776855722,-14.2103680471726,-8.20129337152543,,,,,,
buyer_N_total_value_high,GRF,7704,0.490394600207684,0.05,overlap,0.102694798123205,0.0265823891037756,0.0505933154798044,0.154796280766605,3.86326442376161,0.00011188178606593,10.2694798123205,5.05933154798044,15.4796280766605,10.8153147039276,5.18950168635137,16.7420110948569,"log_buyern_rolling_avg_value_last10:0.0809, log_sellern_1_rolling_avg_value_last10:0.0641, log_buyern_1_avg_gasLimit_cost:0.0631, log_buyern_avg_gasLimit_cost:0.0584, log_buyern_1_avg_total_gaspaid:0.0556, log_sellern_1_total_value:0.0546, log_sellern_1_avg_total_gaspaid:0.0539, `log_price_change_n-1`:0.0520",,,,0.0554617284007604,0.0177405146501132
buyer_N_total_value_high,PDS,7704,0.490394600207684,0.05,,0.104870462767857,0.0166812705101843,0.0721757733515262,0.137565152184189,6.28671915030884,3.24245184969044e-10,10.4870462767857,7.21757733515262,13.7565152184189,11.0566741295929,7.48442564377694,14.747646413466,,,,,,
buyer_N_1_total_value_high,GRF,7803,0.497885428681277,0.05,overlap,-0.388852876017242,0.0364546447487418,-0.460303979724776,-0.317401772309708,-10.6667580687551,1.45618696057182e-26,-38.8852876017242,-46.0303979724776,-31.7401772309708,-32.2166011685676,-36.8908222758382,-27.1961809227953,"sold_after_30d:0.0906, log_buyern_1_avg_gasLimit_cost:0.0899, log_buyern_1_avg_total_gaspaid:0.0841, log_price_1_sale:0.0665, log_sellern_avg_total_gaspaid:0.0599, log_buyern_1_rolling_avg_value_last10:0.0546, log_sellern_avg_gasLimit_cost:0.0511, log_sellern_rolling_avg_value_last10:0.0494",,,,-0.359528748699881,0.0178916716251306
buyer_N_1_total_value_high,PDS,7803,0.497885428681277,0.05,,-0.101520615356555,0.0181429198274968,-0.137080084792847,-0.0659611459202641,-5.59560513532636,2.19853568560796e-08,-10.1520615356555,-13.7080084792847,-6.59611459202641,-9.65374460524473,-12.8099602626671,-6.38327624985174,,,,,,
buyer_N_gaspaid_high,GRF,7845,0.49955385595921,0.05,overlap,-0.131529589064356,0.0252805470942894,-0.181079461369163,-0.0819797167595487,-5.20279836404597,1.96309829333616e-07,-13.1529589064356,-18.1079461369163,-8.19797167595487,-12.3246667556789,-16.5630944046002,-7.87093547334806,"log_sellern_1_rolling_avg_value_last10:0.0700, log_sellern_1_avg_total_gaspaid:0.0694, log_price_1_sale:0.0635, log_buyern_rolling_avg_value_last10:0.0604, sold_after_30d:0.0603, log_buyern_1_total_value:0.0529, log_buyern_1_avg_gasLimit_cost:0.0493, log_sellern_rolling_avg_value_last10:0.0480",,,,-0.0840304661542593,0.0162848994102563
buyer_N_gaspaid_high,PDS,7845,0.49955385595921,0.05,,-0.0978086894141556,0.0159243625427645,-0.129019866474733,-0.0665975123535785,-6.142078789747,8.14484368698729e-10,-9.78086894141556,-12.9019866474733,-6.65975123535785,-9.31776281205314,-12.104349639504,-6.44283183884452,,,,,,
